,open,high,low,close,volume
2000-01-03,21.25,21.5,20.75,20.88,188571
2000-01-04,20.81,20.94,20.63,20.81,260169
2000-01-05,20.81,21.0,20.56,20.94,76571
2000-01-06,20.88,20.94,20.69,20.75,78434
2000-01-07,20.88,20.88,20.44,20.63,76656
2000-01-10,20.53,20.56,20.0,20.25,133630
2000-01-11,20.06,20.88,20.06,20.75,63048
2000-01-12,20.69,20.94,20.25,20.69,48381
2000-01-13,20.41,21.13,20.38,20.94,73228
2000-01-14,21.13,21.75,20.88,21.44,85185
2000-01-18,21.44,21.63,20.63,20.94,45989
2000-01-19,20.75,21.13,20.69,20.94,33058
2000-01-20,21.0,21.19,20.5,20.5,57587
2000-01-21,20.56,20.88,20.0,20.06,53989
2000-01-24,20.0,20.5,19.38,19.38,146434
2000-01-25,19.44,19.5,18.88,19.13,270159
2000-01-26,19.25,20.0,19.16,20.0,103767
2000-01-27,20.0,20.13,19.56,19.63,47767
2000-01-28,19.94,20.06,19.0,19.75,124656
2000-01-31,19.94,20.88,19.75,20.69,715365
2000-02-01,20.81,20.81,20.38,20.38,83238
2000-02-02,20.63,20.63,19.5,19.81,64381
2000-02-03,19.66,20.0,19.38,20.0,92000
2000-02-04,19.88,20.94,19.88,20.44,60656
2000-02-07,20.44,20.5,19.88,19.94,80974
2000-02-08,19.94,19.94,19.13,19.38,82561
2000-02-09,19.38,19.56,19.13,19.44,136169
2000-02-10,19.5,19.75,19.06,19.13,68656
2000-02-11,19.06,19.25,18.69,19.0,154561
2000-02-14,18.75,19.25,18.63,18.69,53778
2000-02-15,18.72,19.13,18.63,19.0,204000
2000-02-16,19.0,19.75,18.88,19.5,98032
2000-02-17,19.38,19.63,19.13,19.44,76571
2000-02-18,19.13,19.5,18.88,19.0,45058
2000-02-22,18.88,19.13,18.63,18.69,103450
2000-02-23,18.69,19.0,18.56,18.75,99852
2000-02-24,18.75,18.81,18.44,18.69,99852
2000-02-25,18.63,19.0,18.19,18.75,114434
2000-02-28,19.0,19.0,18.38,18.56,71450
2000-02-29,18.63,20.0,18.25,19.95,256825
2000-03-01,19.81,19.88,18.25,18.25,166836
2000-03-02,18.44,18.44,18.0,18.0,106434
2000-03-03,18.13,18.75,18.06,18.75,158561
2000-03-06,18.63,19.13,18.38,18.75,76169
2000-03-07,18.94,19.06,17.75,17.77,76571
2000-03-08,17.84,17.88,17.5,17.5,157989
2000-03-09,17.63,17.63,17.25,17.38,118434
2000-03-10,17.44,17.56,17.25,17.38,184254
2000-03-13,17.13,17.31,16.38,17.0,232571
2000-03-14,17.31,18.38,17.13,17.91,175196
2000-03-15,17.75,19.63,17.63,19.38,84381
2000-03-16,19.75,21.13,19.63,21.13,160571
2000-03-17,21.09,21.13,20.5,20.69,133587
2000-03-20,20.5,20.75,19.63,19.63,35852
2000-03-21,19.94,20.69,19.75,20.63,51196
2000-03-22,20.38,21.13,20.38,21.06,220656
2000-03-23,21.06,21.13,20.81,21.06,120974
2000-03-24,20.94,21.25,19.63,19.94,113185
2000-03-27,19.88,20.56,19.88,20.0,101185
2000-03-28,20.09,20.19,19.81,19.81,50434
2000-03-29,20.06,20.19,19.81,20.0,221630
2000-03-30,20.0,20.38,19.88,20.31,117862
2000-03-31,20.31,21.25,20.25,20.94,222032
2000-04-03,20.91,21.31,20.75,21.31,315196
2000-04-04,21.25,22.37,20.94,21.19,263640
2000-04-05,21.19,21.25,21.0,21.19,592974
2000-04-06,21.13,21.44,21.0,21.13,390265
2000-04-07,21.13,21.19,20.63,20.88,120254
2000-04-10,20.63,20.88,20.13,20.13,41058
2000-04-11,20.0,20.06,19.69,19.94,75238
2000-04-12,19.69,21.13,19.63,20.94,58561
2000-04-13,21.25,21.25,19.75,20.06,65376
2000-04-14,20.06,20.25,19.25,19.63,139852
2000-04-17,19.75,20.88,19.38,20.63,121058
2000-04-18,20.69,20.69,19.44,19.63,118794
2000-04-19,19.59,20.75,19.5,19.88,102963
2000-04-20,20.19,20.69,19.75,20.0,88825
2000-04-24,20.03,20.06,19.0,19.5,49228
2000-04-25,19.13,20.5,19.13,20.38,33058
2000-04-26,20.41,20.44,19.38,19.69,33630
2000-04-27,19.38,20.25,19.38,20.0,20656
2000-04-28,20.13,20.44,19.75,20.38,77862
2000-05-01,20.5,20.63,20.06,20.63,125228
2000-05-02,20.63,20.75,20.25,20.5,107852
2000-05-03,20.5,20.63,19.88,20.13,67598
2000-05-04,20.16,20.38,19.25,19.31,50392
2000-05-05,19.25,19.88,19.25,19.7,58646
2000-05-08,20.0,20.5,19.88,19.94,41587
2000-05-09,20.0,20.38,19.63,20.0,102265
2000-05-10,20.09,20.13,19.88,20.0,60423
2000-05-11,20.09,20.5,20.06,20.19,37376
2000-05-12,20.22,20.63,19.94,20.44,25630
2000-05-15,20.44,21.13,20.38,20.88,136974
2000-05-16,21.06,21.06,20.75,20.94,85757
2000-05-17,20.84,20.84,20.63,20.63,28254
2000-05-18,20.63,21.0,20.38,20.44,55365
2000-05-19,20.44,20.63,20.06,20.56,26667
2000-05-22,20.31,20.5,19.44,20.44,94265
2000-05-23,20.13,20.75,20.13,20.63,55238
2000-05-24,20.63,21.31,20.63,21.0,321376
2000-05-25,21.0,21.13,20.38,20.81,31238
2000-05-26,20.5,20.75,20.38,20.69,64169
2000-05-30,20.44,21.13,20.31,21.06,60423
2000-05-31,21.0,21.19,20.88,21.06,161757
2000-06-01,21.13,21.19,21.0,21.11,1199196
2000-06-02,21.13,22.94,21.13,22.94,102836
2000-06-05,22.75,22.81,22.25,22.56,50667
2000-06-06,22.44,22.59,21.75,22.0,66032
2000-06-07,21.81,22.5,21.81,21.94,17228
2000-06-08,21.75,21.88,21.5,21.63,12656
2000-06-09,21.63,21.63,21.44,21.63,35365
2000-06-12,21.88,22.0,21.06,21.19,172042
2000-06-13,21.13,21.5,21.13,21.31,46561
2000-06-14,21.5,21.5,20.75,21.06,41376
2000-06-15,20.88,20.94,20.38,20.94,124381
2000-06-16,20.84,20.84,20.06,20.25,536423
2000-06-19,20.0,20.06,19.31,19.56,169630
2000-06-20,19.56,19.94,19.38,19.94,114434
2000-06-21,19.75,19.81,19.38,19.63,81460
2000-06-22,19.5,19.56,19.38,19.44,16974
2000-06-23,19.41,19.63,19.38,19.56,215048
2000-06-26,19.5,19.81,19.5,19.81,190265
