,open,high,low,close,volume
2000-01-03,23.88,23.94,23.75,23.94,168100
2000-01-04,23.63,24.19,23.13,23.88,206800
2000-01-05,23.63,24.44,23.63,24.25,128800
2000-01-06,24.38,25.38,24.38,25.19,193100
2000-01-07,25.06,25.75,25.0,25.75,166000
2000-01-10,25.69,26.0,25.44,25.88,210900
2000-01-11,25.88,25.94,25.44,25.56,126200
2000-01-12,25.75,26.0,25.56,25.81,163100
2000-01-13,25.81,26.13,25.69,26.0,182800
2000-01-14,25.88,25.94,25.75,25.81,103900
2000-01-18,25.56,25.75,25.13,25.19,177000
2000-01-19,25.06,25.75,25.06,25.63,88400
2000-01-20,25.63,25.94,25.5,25.75,103400
2000-01-21,25.56,26.0,25.56,26.0,121300
2000-01-24,25.75,25.94,25.5,25.56,131000
2000-01-25,25.63,25.94,25.5,25.75,73000
2000-01-26,25.63,25.81,25.5,25.75,111900
2000-01-27,25.75,26.06,25.75,25.94,127700
2000-01-28,26.13,26.13,25.25,25.31,102500
2000-01-31,25.31,25.81,25.31,25.56,142500
2000-02-01,24.88,25.16,24.44,25.0,206900
2000-02-02,24.88,25.13,24.88,25.13,124900
2000-02-03,25.13,25.25,24.88,25.06,103600
2000-02-04,24.94,25.13,24.81,25.13,95500
2000-02-07,25.0,25.19,25.0,25.0,128300
2000-02-08,25.0,25.13,24.94,25.06,143600
2000-02-09,25.0,25.38,24.94,25.0,96300
2000-02-10,25.13,25.19,25.0,25.06,72300
2000-02-11,25.0,25.06,24.75,24.75,112800
2000-02-14,24.5,24.56,24.25,24.31,100300
2000-02-15,24.56,24.56,24.0,24.44,211600
2000-02-16,24.25,24.31,23.81,24.19,112900
2000-02-17,24.31,25.0,24.25,24.88,84500
2000-02-18,24.81,25.06,24.5,24.5,84200
2000-02-22,25.13,25.13,24.44,24.69,76100
2000-02-23,24.5,24.56,24.06,24.25,126100
2000-02-24,24.5,24.5,23.63,23.69,111600
2000-02-25,23.88,24.63,23.88,24.38,89400
2000-02-28,24.13,24.94,24.13,24.88,123100
2000-02-29,24.63,25.06,24.5,24.88,125100
2000-03-01,24.81,24.94,24.25,24.56,40200
2000-03-02,24.56,24.81,24.38,24.69,45400
2000-03-03,24.69,24.88,24.5,24.69,60800
2000-03-06,24.44,24.81,24.25,24.56,73200
2000-03-07,24.5,24.69,24.25,24.5,95300
2000-03-08,24.44,24.88,24.06,24.63,80800
2000-03-09,24.5,24.69,24.44,24.63,66800
2000-03-10,24.56,24.81,24.38,24.5,115100
2000-03-13,24.25,24.81,24.25,24.56,129100
2000-03-14,24.38,24.69,24.38,24.56,98600
2000-03-15,24.44,24.94,24.44,24.81,89800
2000-03-16,24.81,25.88,24.63,25.5,140800
2000-03-17,25.38,25.75,25.31,25.75,73300
2000-03-20,25.5,25.88,25.5,25.81,74100
2000-03-21,25.56,25.88,25.5,25.88,65100
2000-03-22,25.38,25.88,25.38,25.56,80800
2000-03-23,25.19,25.69,25.06,25.5,118000
2000-03-24,25.25,25.75,25.19,25.5,67400
2000-03-27,25.5,25.69,25.31,25.5,56900
2000-03-28,25.63,25.75,25.44,25.5,97100
2000-03-29,25.31,25.69,25.13,25.31,95600
2000-03-30,25.13,25.56,25.06,25.25,90700
2000-03-31,25.06,25.56,25.06,25.44,107200
2000-04-03,25.31,25.44,25.06,25.25,116400
2000-04-04,25.25,25.25,24.56,25.0,190300
2000-04-05,24.81,25.38,24.56,25.25,136900
2000-04-06,25.13,25.38,25.06,25.06,100900
2000-04-07,25.19,25.31,25.0,25.19,55500
2000-04-10,25.19,25.5,25.13,25.25,106400
2000-04-11,25.06,25.44,25.06,25.38,157000
2000-04-12,25.38,26.56,25.38,26.31,141600
2000-04-13,26.0,26.75,25.94,26.0,89700
2000-04-14,25.94,26.88,25.81,26.31,170400
2000-04-17,26.31,27.5,26.25,26.75,103200
