,open,high,low,close,volume
2000-01-03,35.0,35.0,34.06,34.06,2675600
2000-01-04,34.13,34.63,34.06,34.31,1041100
2000-01-05,34.31,35.19,34.31,35.13,746400
2000-01-06,35.19,35.63,35.13,35.31,504500
2000-01-07,35.31,35.38,35.06,35.06,535900
2000-01-10,35.19,35.38,34.94,35.0,674100
2000-01-11,35.0,35.56,35.0,35.44,811400
2000-01-12,35.44,35.94,35.44,35.5,551400
2000-01-13,35.44,35.81,35.25,35.31,2198500
2000-01-14,35.06,35.19,34.69,34.75,636900
2000-01-18,34.5,34.56,34.13,34.19,429200
2000-01-19,34.44,35.25,34.44,34.81,567900
2000-01-20,34.75,35.06,34.5,34.88,621200
2000-01-21,35.0,35.63,34.75,35.56,423800
2000-01-24,35.63,36.0,35.13,35.25,581300
2000-01-25,35.31,35.31,33.88,34.69,934600
2000-01-26,34.13,34.5,33.94,34.5,768900
2000-01-27,34.38,34.75,33.94,34.59,502400
2000-01-28,34.13,34.38,33.38,33.5,636500
2000-01-31,33.5,34.38,33.44,34.38,414600
2000-02-01,34.44,34.56,33.88,34.44,366000
2000-02-02,34.31,34.44,33.88,33.94,311400
2000-02-03,33.88,34.75,33.88,34.44,612000
2000-02-04,34.38,34.44,33.31,33.69,552900
2000-02-07,33.25,33.69,33.19,33.5,455600
2000-02-08,33.44,33.88,33.31,33.5,262300
2000-02-09,33.25,33.63,32.94,33.13,548100
2000-02-10,33.13,33.25,32.44,32.69,264500
2000-02-11,32.56,32.88,32.31,32.56,254000
2000-02-14,32.63,33.31,32.5,32.63,529800
2000-02-15,32.5,32.69,32.06,32.25,324200
2000-02-16,32.19,32.31,32.0,32.06,251600
2000-02-17,32.44,32.44,31.44,31.63,332900
2000-02-18,31.13,31.38,30.63,30.69,710400
2000-02-22,30.56,31.0,30.5,30.56,576400
2000-02-23,30.31,30.31,29.88,29.94,776800
2000-02-24,29.88,29.88,28.44,29.06,1250900
2000-02-25,29.06,29.13,28.31,28.5,383200
2000-02-28,28.5,29.0,28.5,28.94,763600
2000-02-29,28.94,29.13,28.88,29.0,953200
2000-03-01,28.94,29.0,28.38,28.56,508200
2000-03-02,28.5,29.06,28.44,28.81,437400
2000-03-03,28.88,29.13,28.69,28.94,842600
2000-03-06,28.63,28.69,26.75,27.06,792800
2000-03-07,27.06,27.63,27.0,27.25,528100
2000-03-08,26.44,27.19,26.31,26.75,1203300
2000-03-09,26.5,26.63,26.06,26.38,468600
2000-03-10,26.38,26.44,26.13,26.13,420800
2000-03-13,26.0,26.31,25.75,25.88,394400
2000-03-14,25.88,26.19,25.69,25.94,430600
2000-03-15,25.81,27.69,25.81,27.5,840700
2000-03-16,27.63,29.81,27.56,29.63,916600
2000-03-17,29.0,29.5,28.56,28.69,998300
2000-03-20,28.88,29.31,28.5,28.56,514000
2000-03-21,28.81,28.88,28.25,28.5,444400
2000-03-22,28.25,28.38,27.5,27.63,418700
2000-03-23,27.38,28.81,27.38,28.44,493000
2000-03-24,28.0,28.25,27.88,27.94,487000
2000-03-27,27.94,28.44,27.94,28.06,243900
2000-03-28,28.13,29.5,28.06,28.13,727700
2000-03-29,28.25,29.5,28.25,29.44,803600
2000-03-30,29.44,29.94,29.44,29.75,687300
2000-03-31,29.56,30.13,29.13,29.63,680900
2000-04-03,29.69,29.88,29.5,29.69,503800
2000-04-04,29.63,30.75,29.25,30.06,848600
2000-04-05,30.06,31.13,30.06,30.13,517100
2000-04-06,30.19,30.44,29.63,30.0,385400
2000-04-07,29.88,30.06,29.25,29.44,802900
2000-04-10,29.56,30.81,29.38,30.75,513700
2000-04-11,30.63,31.56,30.63,31.25,660600
2000-04-12,31.5,32.63,31.5,32.06,527600
2000-04-13,31.88,33.69,31.69,33.5,731700
2000-04-14,33.5,34.38,33.0,33.31,1012300
2000-04-17,33.13,33.63,32.25,33.63,920900
2000-04-18,33.5,33.88,33.31,33.5,615300
2000-04-19,33.31,33.69,33.06,33.56,694700
2000-04-20,33.69,34.19,33.5,34.0,451000
2000-04-24,34.06,35.44,34.06,35.06,500100
2000-04-25,35.0,36.56,34.75,36.25,630700
2000-04-26,36.25,37.69,36.06,37.63,856400
2000-04-27,37.56,37.75,36.63,36.81,1011100
2000-04-28,36.63,36.75,35.69,35.88,691200
2000-05-01,35.81,35.88,35.13,35.25,671800
2000-05-02,35.31,35.75,34.81,34.81,686400
2000-05-03,34.69,35.13,34.63,34.69,504900
2000-05-04,34.5,35.5,33.75,35.13,794400
2000-05-05,35.0,35.06,34.19,34.38,403100
