,open,high,low,close,volume
2000-01-03,51.31,51.31,48.5,48.81,395600
2000-01-04,48.81,49.25,46.88,46.88,145067
2000-01-05,47.06,47.75,46.63,47.06,280600
2000-01-06,47.0,47.75,46.13,47.75,802267
2000-01-07,52.0,54.0,51.75,52.13,1753400
2000-01-10,52.13,53.44,50.75,51.5,516600
2000-01-11,51.25,51.81,50.0,50.19,349000
2000-01-12,50.44,51.19,50.38,50.88,719267
2000-01-13,50.94,50.94,49.81,50.25,367667
2000-01-14,50.38,50.38,48.63,49.63,494067
2000-01-18,49.0,49.19,45.56,46.69,875200
2000-01-19,46.0,47.88,45.75,47.88,599467
2000-01-20,49.0,49.0,47.31,47.56,575200
2000-01-21,47.56,48.0,46.0,46.75,503467
2000-01-24,46.81,46.81,44.13,44.31,522600
2000-01-25,44.38,44.5,42.75,43.13,370667
2000-01-26,43.31,44.63,41.81,44.06,731800
2000-01-27,44.0,45.0,43.5,43.88,295000
2000-01-28,43.63,43.63,42.0,42.19,378067
2000-01-31,42.13,43.63,41.69,43.25,258600
2000-02-01,43.13,44.44,43.13,44.13,470267
2000-02-02,44.13,44.75,42.75,43.06,204067
2000-02-03,43.19,43.56,41.88,42.56,213600
2000-02-04,42.81,42.81,41.44,41.94,269600
2000-02-07,42.0,42.44,40.25,40.94,435467
2000-02-08,40.94,42.25,40.94,40.94,391800
2000-02-09,41.13,41.19,38.19,38.69,701400
2000-02-10,39.19,39.25,37.63,37.81,552400
2000-02-11,37.81,37.81,35.38,35.5,562200
2000-02-14,35.75,38.81,35.63,38.19,509067
2000-02-15,38.44,41.94,38.44,41.69,986667
2000-02-16,41.5,43.38,41.5,41.94,800667
2000-02-17,42.19,42.19,40.0,40.5,322600
2000-02-18,41.25,42.44,41.06,41.19,531267
2000-02-22,40.5,41.63,40.5,41.31,517667
2000-02-23,41.31,41.38,40.63,41.25,402600
2000-02-24,40.25,40.25,37.0,37.44,514600
2000-02-25,37.69,38.25,34.13,34.31,906600
2000-02-28,34.75,35.5,34.13,34.94,1482667
2000-02-29,34.94,36.75,34.5,36.25,828467
2000-03-01,35.88,37.31,35.81,37.06,523800
2000-03-02,37.19,37.19,34.5,35.69,506667
2000-03-03,35.69,37.75,35.38,35.94,535800
2000-03-06,36.88,36.88,34.97,35.44,355400
2000-03-07,35.25,35.25,34.06,34.06,419867
2000-03-08,34.31,35.25,34.13,35.25,329200
2000-03-09,35.5,36.25,35.44,36.0,472400
2000-03-10,35.88,36.19,35.38,35.5,293800
2000-03-13,34.63,35.31,34.56,35.0,323200
2000-03-14,35.25,35.25,33.94,33.94,195000
2000-03-15,34.0,37.38,33.94,36.5,1030200
2000-03-16,36.56,40.63,36.56,40.25,535667
2000-03-17,38.5,39.5,37.06,38.0,755200
2000-03-20,38.0,39.5,38.0,39.25,319867
2000-03-21,39.13,39.38,38.0,38.56,278267
2000-03-22,38.56,38.56,37.06,37.38,373400
2000-03-23,37.25,38.63,36.88,38.56,369200
