,open,high,low,close,volume
2000-01-03,38.5,38.5,34.75,36.19,367000
2000-01-04,36.38,36.38,34.88,35.62,175200
2000-01-05,35.62,36.5,35.12,36.19,213800
2000-01-06,35.94,36.12,35.31,36.0,511800
2000-01-07,36.25,37.75,35.94,37.44,339800
2000-01-10,38.12,38.12,36.25,36.38,297400
2000-01-11,36.56,36.75,35.94,36.0,238600
2000-01-12,36.19,36.88,35.69,36.0,187400
2000-01-13,36.0,36.19,35.56,35.88,272600
2000-01-14,36.0,36.19,35.0,35.44,330600
2000-01-18,35.31,35.5,34.62,34.88,247000
2000-01-19,34.94,35.25,34.69,34.88,162400
2000-01-20,34.88,35.25,33.94,34.25,189800
2000-01-21,34.75,34.88,34.06,34.56,183200
2000-01-24,34.31,34.5,32.56,33.0,476800
2000-01-25,33.5,33.5,31.25,31.94,716800
2000-01-26,32.12,32.5,31.56,31.81,289400
2000-01-27,32.06,33.62,31.88,32.88,661400
2000-01-28,32.88,33.12,32.12,32.75,260000
2000-01-31,33.0,34.25,32.25,33.5,657200
2000-02-01,33.75,34.25,33.25,33.69,342600
2000-02-02,34.25,35.5,34.25,34.31,732200
2000-02-03,34.12,34.88,33.81,34.44,589200
2000-02-04,34.38,34.88,34.38,34.56,271200
2000-02-07,35.12,37.38,34.75,36.69,774800
2000-02-08,36.94,38.0,35.62,36.0,526800
2000-02-09,36.0,36.38,35.25,36.06,396000
2000-02-10,35.94,36.0,35.31,35.88,414800
2000-02-11,36.25,36.25,34.38,34.38,154200
2000-02-14,34.75,35.94,34.62,35.88,376400
2000-02-15,35.62,36.25,34.94,35.62,595000
2000-02-16,35.69,36.69,35.69,36.12,388400
2000-02-17,36.25,36.44,35.5,35.5,239600
2000-02-18,35.38,36.25,35.31,35.94,278600
2000-02-22,37.44,37.62,36.31,36.62,390600
2000-02-23,36.5,36.75,35.75,36.75,260200
2000-02-24,36.56,36.56,34.06,34.62,433600
2000-02-25,34.62,34.94,33.88,34.44,258800
2000-02-28,34.31,34.44,33.75,34.19,289400
2000-02-29,34.75,35.75,34.06,34.38,503400
2000-03-01,34.69,35.88,34.62,35.75,353600
2000-03-02,35.75,35.75,34.94,35.12,331000
2000-03-03,35.19,36.56,35.06,36.25,212600
2000-03-06,36.0,36.06,35.0,36.06,356400
2000-03-07,36.0,37.0,35.75,37.0,222000
2000-03-08,36.5,36.5,35.75,36.25,319600
2000-03-09,36.0,37.75,35.5,37.12,311000
2000-03-10,37.62,37.81,36.62,37.19,193200
2000-03-13,37.38,37.38,35.75,36.0,329400
2000-03-14,36.06,36.75,34.5,35.0,427800
2000-03-15,34.75,36.5,34.62,36.5,502200
2000-03-16,37.25,39.88,37.12,39.44,674200
2000-03-17,38.0,39.0,37.88,37.94,307400
2000-03-20,37.38,37.81,37.0,37.12,300800
2000-03-21,37.19,37.69,36.75,36.88,401600
2000-03-22,37.0,38.0,36.94,37.5,323800
2000-03-23,37.0,37.5,36.62,37.31,198200
2000-03-24,36.81,37.38,36.62,37.31,617000
2000-03-27,37.5,37.5,35.69,36.75,205600
2000-03-28,36.5,36.56,35.62,35.62,379000
2000-03-29,35.69,36.31,35.0,35.31,338800
2000-03-30,35.19,36.88,35.19,36.81,847000
2000-03-31,37.0,37.69,36.81,37.06,500400
2000-04-03,36.81,39.5,36.56,39.5,585600
2000-04-04,39.5,40.94,38.5,39.31,790400
2000-04-05,39.38,40.0,38.25,38.25,268600
2000-04-06,38.5,38.88,37.56,37.75,569800
2000-04-07,37.56,39.25,37.25,38.56,546200
2000-04-10,38.69,39.38,38.5,38.69,277800
2000-04-11,39.19,40.38,38.75,39.69,386600
2000-04-12,39.69,40.0,38.5,38.81,212400
2000-04-13,39.12,40.0,38.12,38.38,250200
2000-04-14,38.25,38.5,35.5,35.94,296400
2000-04-17,36.19,38.0,35.94,37.88,386400
2000-04-18,37.88,39.69,37.38,38.62,534200
2000-04-19,38.44,38.94,37.44,38.0,276600
2000-04-20,38.19,38.19,37.12,38.06,402400
2000-04-24,38.12,38.5,37.25,37.31,423600
2000-04-25,37.88,38.62,37.56,38.38,450200
2000-04-26,38.25,39.5,37.88,37.88,279600
2000-04-27,37.75,39.0,37.25,38.06,261800
2000-04-28,37.94,38.69,37.94,38.25,173800
2000-05-01,38.88,40.12,38.5,39.12,729600
2000-05-02,39.12,40.88,38.75,40.25,358000
2000-05-03,39.88,40.69,39.12,39.25,315600
2000-05-04,39.5,39.75,39.25,39.75,570200
2000-05-05,39.75,40.19,39.56,39.88,218600
2000-05-08,40.0,40.25,39.56,40.12,313200
2000-05-09,40.25,40.44,39.75,39.88,428200
2000-05-10,39.94,41.0,39.81,40.25,381800
2000-05-11,41.0,42.88,41.0,42.75,764800
2000-05-12,42.81,43.69,42.56,43.62,406400
2000-05-15,43.62,44.25,43.0,43.0,375200
2000-05-16,43.25,44.62,43.25,44.0,450400
2000-05-17,44.06,44.06,42.81,42.88,229400
2000-05-18,42.88,43.25,42.06,42.06,313400
2000-05-19,42.12,42.12,40.5,40.69,404200
2000-05-22,40.94,41.88,40.25,41.62,274000
2000-05-23,41.5,42.38,40.25,40.38,289800
2000-05-24,40.38,42.75,40.38,41.25,248800
2000-05-25,41.0,41.19,39.88,40.25,468400
2000-05-26,40.5,40.5,39.62,39.81,256800
2000-05-30,39.81,40.0,39.31,39.75,316800
2000-05-31,39.62,39.88,39.0,39.25,259200
2000-06-01,39.25,39.88,38.62,39.88,324200
2000-06-02,40.0,40.5,39.19,39.94,356200
2000-06-05,39.94,39.94,39.25,39.62,462200
2000-06-06,39.69,39.69,39.0,39.38,279600
2000-06-07,39.12,39.19,37.75,39.19,428800
2000-06-08,39.0,39.0,37.88,37.94,355600
2000-06-09,38.06,38.44,37.38,37.44,332000
2000-06-12,37.56,37.69,37.0,37.06,182800
2000-06-13,37.06,37.44,37.06,37.25,310600
2000-06-14,37.25,37.25,36.38,36.75,173000
2000-06-15,37.0,37.31,36.88,37.25,726000
2000-06-16,37.12,37.12,36.5,36.69,374400
2000-06-19,36.56,36.69,34.88,35.31,515600
2000-06-20,35.0,36.44,34.62,36.44,674400
2000-06-21,36.25,38.0,36.25,36.75,506600
2000-06-22,36.88,37.62,36.5,37.38,468400
2000-06-23,37.12,37.19,36.56,36.88,369000
2000-06-26,37.12,38.25,37.12,37.44,249600
2000-06-27,37.44,37.75,36.56,36.75,557600
2000-06-28,36.75,36.75,35.62,36.31,351200
2000-06-29,36.31,36.31,35.44,35.88,545800
2000-06-30,35.88,38.31,35.25,35.52,783400
2000-07-03,35.75,36.38,35.62,36.38,195400
2000-07-05,36.38,36.38,35.12,35.75,646000
2000-07-06,35.62,36.25,35.12,35.25,444000
2000-07-07,35.5,35.88,34.88,35.56,392400
2000-07-10,35.56,35.75,34.88,35.12,805600
2000-07-11,35.25,35.38,34.81,35.0,582200
2000-07-12,30.0,30.5,27.25,30.5,5508800
2000-07-13,30.12,30.88,29.06,30.44,1545800
2000-07-14,30.44,30.44,29.0,29.44,751800
2000-07-17,29.62,29.75,28.25,29.06,892800
2000-07-18,29.06,29.5,28.81,29.0,557400
2000-07-19,28.75,28.88,27.88,28.25,675400
2000-07-20,28.5,31.5,28.25,31.38,960000
2000-07-21,31.5,31.5,30.06,30.38,664600
2000-07-24,30.12,30.12,29.81,30.0,723800
2000-07-25,30.0,31.0,29.75,31.0,458000
