,open,high,low,close,volume
2000-01-03,62.63,62.63,59.69,60.0,550000
2000-01-04,59.75,59.94,57.81,57.94,589800
2000-01-05,58.0,59.63,58.0,59.63,830200
2000-01-06,60.13,64.44,60.13,63.0,1075700
2000-01-07,63.44,64.5,63.25,64.13,812300
2000-01-10,63.88,63.88,61.81,62.13,572700
2000-01-11,61.88,62.13,60.94,61.88,559300
2000-01-12,61.88,63.63,61.88,62.81,581600
2000-01-13,63.0,65.06,62.88,64.38,847200
2000-01-14,64.25,64.5,62.38,63.0,957800
2000-01-18,62.13,62.75,61.5,61.5,809900
2000-01-19,60.88,61.44,59.38,60.31,791300
2000-01-20,60.56,60.56,57.5,57.88,435100
2000-01-21,58.13,59.31,57.13,58.63,766500
2000-01-24,59.13,59.5,57.63,58.0,564600
2000-01-25,58.25,58.81,55.5,56.56,854300
2000-01-26,56.75,58.13,56.5,57.44,861500
2000-01-27,58.0,58.81,57.81,58.13,759800
2000-01-28,57.94,57.94,54.75,56.69,563100
2000-01-31,56.75,56.94,54.81,55.06,558400
2000-02-01,55.31,56.25,55.13,56.06,590100
2000-02-02,55.75,55.81,54.63,55.06,270500
2000-02-03,55.06,55.25,54.13,54.75,313600
2000-02-04,55.06,55.06,53.88,54.06,400400
2000-02-07,54.13,54.13,52.0,52.31,663700
2000-02-08,52.5,52.75,51.63,51.88,418500
2000-02-09,51.5,51.88,51.0,51.0,591600
2000-02-10,51.5,51.63,50.13,50.5,505300
2000-02-11,50.75,50.88,48.19,48.63,700900
2000-02-14,49.13,50.63,48.31,50.63,793800
2000-02-15,50.63,52.81,50.38,52.5,697100
2000-02-16,53.5,53.5,52.19,53.0,543400
2000-02-17,53.0,53.5,51.75,52.5,595900
2000-02-18,52.31,52.31,50.63,51.06,463700
2000-02-22,51.06,53.56,51.06,52.63,359400
2000-02-23,52.06,53.81,51.63,53.38,589300
2000-02-24,53.13,53.13,49.69,50.25,661600
2000-02-25,50.31,50.31,48.56,49.06,694800
2000-02-28,49.31,50.25,48.63,49.06,782900
2000-02-29,49.0,49.38,48.19,49.38,694300
2000-03-01,49.13,49.13,47.56,48.31,406300
2000-03-02,47.75,48.19,46.63,47.13,288000
2000-03-03,47.19,50.63,47.0,49.06,965200
2000-03-06,48.25,48.5,46.81,48.0,493800
2000-03-07,47.25,47.63,46.0,46.5,457100
2000-03-08,46.0,46.69,45.63,46.06,581400
2000-03-09,45.63,45.88,44.38,45.56,484800
2000-03-10,45.63,47.19,45.13,46.69,389700
2000-03-13,46.0,46.69,45.13,45.94,368100
2000-03-14,46.13,46.94,45.56,46.0,344900
2000-03-15,45.5,50.38,45.25,50.19,714500
2000-03-16,49.94,52.81,49.88,52.81,713500
2000-03-17,51.25,51.56,49.63,50.06,626000
2000-03-20,50.25,52.0,50.25,51.06,382500
2000-03-21,51.0,52.88,50.63,52.19,495400
2000-03-22,51.94,51.94,49.5,49.81,429000
2000-03-23,49.0,50.81,48.69,50.38,502300
2000-03-24,50.63,51.0,50.06,50.56,472300
2000-03-27,50.25,50.44,49.25,49.5,274200
2000-03-28,49.0,51.19,49.0,49.75,458500
2000-03-29,48.5,51.19,48.5,50.88,393700
2000-03-30,50.94,53.94,50.88,53.13,533500
2000-03-31,53.38,53.38,51.56,52.31,728400
2000-04-03,51.38,53.06,51.38,53.0,541400
