,open,high,low,close,volume
2000-01-03,25.25,25.25,23.5,23.5,1042996
2000-01-04,23.56,23.56,22.44,22.81,1266559
2000-01-05,22.75,23.81,22.44,22.81,513765
2000-01-06,22.38,23.06,22.19,22.75,774899
2000-01-07,22.81,23.19,22.5,23.0,594089
2000-01-10,23.38,23.5,21.88,22.0,866478
2000-01-11,22.25,22.5,22.25,22.38,698462
2000-01-12,22.56,22.88,22.38,22.75,399919
2000-01-13,22.81,23.88,22.75,23.63,613441
2000-01-14,23.69,24.31,23.63,24.13,705425
2000-01-18,24.06,24.19,24.06,24.06,710931
2000-01-19,24.13,24.5,24.13,24.31,575951
2000-01-20,23.88,24.19,22.63,23.06,508097
2000-01-21,23.5,23.81,22.94,23.06,781700
2000-01-24,22.94,23.19,22.38,22.72,560486
2000-01-25,22.81,23.25,22.31,22.88,483320
2000-01-26,23.0,23.63,22.75,23.63,484130
2000-01-27,23.56,23.81,23.38,23.69,608259
2000-01-28,23.69,23.69,22.5,22.75,733036
2000-01-31,23.13,24.31,22.88,24.25,674170
2000-02-01,24.0,24.38,23.88,24.25,461134
2000-02-02,23.94,24.13,23.75,23.88,576275
2000-02-03,23.81,24.25,23.69,23.94,454899
2000-02-04,23.91,24.0,23.5,23.5,453927
2000-02-07,23.5,23.56,23.25,23.31,341862
2000-02-08,23.5,23.81,23.38,23.59,371255
2000-02-09,23.63,24.06,23.5,23.94,967530
2000-02-10,23.75,24.06,23.44,23.81,1076113
2000-02-11,23.69,24.06,23.5,23.63,531579
2000-02-14,23.63,23.75,23.13,23.25,691903
2000-02-15,23.25,23.56,22.94,23.44,522591
2000-02-16,23.38,23.63,23.25,23.44,437085
2000-02-17,23.5,23.56,22.5,22.88,451498
2000-02-18,22.56,22.63,21.75,21.75,798138
2000-02-22,21.88,22.0,21.69,21.81,530121
2000-02-23,21.88,21.88,21.25,21.25,671903
2000-02-24,21.25,21.38,20.38,20.81,844696
2000-02-25,20.81,21.13,20.25,20.31,873198
2000-02-28,20.31,21.25,20.25,21.25,800081
2000-02-29,21.25,21.25,20.0,20.25,863320
2000-03-01,20.38,20.38,19.63,19.88,503563
2000-03-02,20.0,20.0,19.19,19.25,801134
2000-03-03,19.56,19.63,19.13,19.31,1228421
2000-03-06,19.25,19.5,19.0,19.38,1351741
2000-03-07,19.56,19.56,19.0,19.13,676923
2000-03-08,19.13,19.19,18.31,18.44,1022267
2000-03-09,18.44,19.38,18.31,19.25,754980
2000-03-10,19.25,19.5,18.94,19.06,407206
2000-03-13,19.25,19.63,18.88,19.38,725587
2000-03-14,19.31,19.56,19.25,19.38,411498
2000-03-15,19.38,21.0,19.19,20.56,969879
2000-03-16,20.75,23.69,20.75,23.44,1104534
2000-03-17,23.06,24.0,22.5,22.63,1181457
2000-03-20,22.5,22.63,21.25,21.81,450283
2000-03-21,21.75,22.75,21.69,22.72,571012
2000-03-22,22.69,23.0,22.06,22.75,465911
2000-03-23,22.94,23.13,21.5,23.06,365830
2000-03-24,22.88,23.06,22.75,22.75,326559
2000-03-27,22.94,23.11,21.88,22.0,407854
