Date,Open,High,Low,Close,Adj Close,Volume
1996-12-31,9.78125,9.8125,9.71875,9.78125,8.294373512268066,156800
1997-01-02,9.78125,9.78125,9.59375,9.71875,8.241378784179688,60000
1997-01-03,9.71875,9.8125,9.6875,9.75,8.267877578735352,414800
1997-01-06,9.8125,9.8125,9.75,9.78125,8.294373512268066,77600
1997-01-07,9.8125,9.90625,9.8125,9.84375,8.34737491607666,140000
1997-01-08,9.8125,9.84375,9.71875,9.78125,8.299220085144043,44800
1997-01-09,9.78125,9.84375,9.78125,9.78125,8.299220085144043,48800
1997-01-10,9.8125,9.84375,9.6875,9.75,8.272710800170898,93600
1997-01-13,9.75,9.84375,9.625,9.71875,8.246195793151855,177600
1997-01-14,9.71875,9.71875,9.59375,9.6875,8.219681739807129,124000
1997-01-15,9.625,9.6875,9.625,9.625,8.166651725769043,216400
1997-01-16,9.65625,9.65625,9.53125,9.5625,8.113617897033691,95200
1997-01-17,9.53125,9.625,9.46875,9.46875,8.034074783325195,114000
1997-01-20,9.46875,9.46875,9.40625,9.40625,7.981043338775635,163600
1997-01-21,9.46875,9.53125,9.375,9.4375,8.007558822631836,371200
1997-01-22,9.3125,9.46875,9.3125,9.40625,7.981043338775635,503200
1997-01-23,9.34375,9.40625,9.28125,9.34375,7.928018569946289,557200
1997-01-24,9.34375,9.34375,9.28125,9.3125,7.901494979858398,574800
1997-01-27,9.34375,9.5,9.34375,9.46875,8.034074783325195,166400
1997-01-28,9.5,9.5,9.4375,9.5,8.060589790344238,80000
1997-01-29,9.5,9.5,9.40625,9.40625,7.981043338775635,265600
1997-01-30,9.5,9.875,9.5,9.875,8.378769874572754,645600
1997-01-31,9.9375,10.1875,9.9375,10.1875,8.643924713134766,99600
1997-02-03,10.25,10.5,10.1875,10.46875,8.882558822631836,380400
1997-02-04,10.375,10.5,10.375,10.375,8.803011894226074,429200
1997-02-05,10.375,10.375,10.15625,10.21875,8.670438766479492,431600
1997-02-06,10.21875,10.21875,10.1875,10.1875,8.643924713134766,319600
1997-02-07,10.21875,10.21875,10.21875,10.21875,8.670438766479492,185200
1997-02-10,10.25,10.25,10.21875,10.25,8.696953773498535,18400
1997-02-11,10.25,10.25,10.0,10.0625,8.537861824035645,116400
1997-02-12,10.03125,10.03125,9.875,9.875,8.378769874572754,107600
1997-02-13,9.875,9.96875,9.875,9.90625,8.405282974243164,221600
1997-02-14,9.90625,9.96875,9.875,9.96875,8.458313941955566,520400
1997-02-18,10.0,10.3125,10.0,10.3125,8.749983787536621,142800
1997-02-19,10.3125,10.3125,10.0625,10.15625,8.61740493774414,118400
1997-02-20,10.1875,10.1875,10.125,10.15625,8.61740493774414,13600
1997-02-21,10.0,10.15625,9.96875,10.15625,8.61740493774414,74000
1997-02-24,10.1875,10.40625,10.15625,10.40625,8.8295259475708,141600
1997-02-25,10.40625,10.40625,10.34375,10.40625,8.8295259475708,31600
1997-02-26,10.40625,10.40625,10.21875,10.21875,8.670438766479492,130800
1997-02-27,10.25,10.25,10.0625,10.09375,8.564377784729004,76800
1997-02-28,10.0625,10.0625,10.03125,10.0625,8.537861824035645,45600
1997-03-03,10.0,10.0,9.96875,10.0,8.484830856323242,72400
1997-03-04,10.03125,10.03125,9.96875,10.03125,8.511346817016602,41200
1997-03-05,10.0625,10.1875,10.0625,10.15625,8.61740493774414,36400
1997-03-06,10.1875,10.5,10.15625,10.375,8.803011894226074,82000
1997-03-07,10.40625,10.40625,10.28125,10.375,8.803011894226074,139200
1997-03-10,10.375,10.4375,10.375,10.40625,8.8295259475708,228800
1997-03-11,10.46875,10.46875,10.375,10.46875,8.882558822631836,158800
1997-03-12,10.53125,10.84375,10.53125,10.78125,9.147705078125,218400
1997-03-13,10.6875,11.25,10.6875,11.21875,9.518918991088867,200000
1997-03-14,11.28125,11.53125,11.28125,11.40625,9.678009033203125,258000
1997-03-17,11.40625,11.40625,11.0625,11.15625,9.465886116027832,88400
1997-03-18,11.125,11.1875,11.0625,11.125,9.43936824798584,40000
1997-03-19,11.09375,11.125,11.0,11.03125,9.359830856323242,36400
1997-03-20,10.96875,10.96875,10.90625,10.90625,9.253766059875488,34000
1997-03-21,10.90625,10.90625,10.875,10.90625,9.253766059875488,80800
1997-03-24,10.90625,10.90625,10.71875,10.75,9.121195793151855,38400
1997-03-25,10.75,10.75,10.375,10.5625,8.962099075317383,222400
1997-03-26,10.5625,10.59375,10.53125,10.5625,8.962099075317383,174400
1997-03-27,10.5625,10.59375,10.5,10.53125,8.935585975646973,32400
1997-03-31,10.5,10.5625,10.4375,10.53125,8.935585975646973,70000
1997-04-01,10.5625,10.75,10.53125,10.75,9.121195793151855,111200
1997-04-02,10.75,10.75,10.6875,10.6875,9.068161964416504,135600
1997-04-03,10.6875,10.6875,10.5,10.5625,8.962099075317383,18800
1997-04-04,10.46875,10.5,10.375,10.375,8.803011894226074,50400
1997-04-07,10.375,10.375,10.25,10.28125,8.723465919494629,159600
1997-04-08,10.28125,10.28125,10.21875,10.28125,8.723465919494629,69200
1997-04-09,10.3125,10.5,10.3125,10.4375,8.860992431640625,175200
1997-04-10,10.40625,10.5,10.34375,10.4375,8.860992431640625,33200
1997-04-11,10.46875,10.46875,10.25,10.3125,8.754875183105469,50000
1997-04-14,10.25,10.25,10.1875,10.21875,8.675292015075684,86400
1997-04-15,10.1875,10.375,10.1875,10.1875,8.648757934570312,300000
1997-04-16,10.1875,10.1875,10.15625,10.1875,8.648757934570312,32000
1997-04-17,10.1875,10.21875,10.09375,10.21875,8.675292015075684,206000
1997-04-18,10.21875,10.25,10.1875,10.21875,8.675292015075684,41200
1997-04-21,10.21875,10.21875,10.15625,10.1875,8.648757934570312,34400
