,open,high,low,close,volume
2000-01-03,14.63,14.63,14.13,14.13,511400
2000-01-04,13.94,13.94,13.06,13.25,449267
2000-01-05,13.38,13.44,12.88,12.94,521800
2000-01-06,13.0,13.06,12.75,12.94,743667
2000-01-07,13.06,13.63,13.0,13.63,595067
2000-01-10,13.5,13.75,13.13,13.69,267667
2000-01-11,13.69,14.0,13.25,13.38,522267
2000-01-12,13.38,13.44,13.25,13.44,307667
2000-01-13,13.38,13.81,13.25,13.5,613200
2000-01-14,13.38,13.44,13.25,13.44,854867
2000-01-18,13.5,13.69,13.13,13.25,865200
2000-01-19,13.13,13.25,12.81,13.0,527200
2000-01-20,13.0,13.13,12.88,13.0,720200
2000-01-21,13.06,13.13,12.75,13.0,411000
2000-01-24,13.0,13.0,12.56,12.69,350867
2000-01-25,12.75,12.75,12.25,12.5,352667
2000-01-26,12.38,12.38,11.56,11.88,1676467
2000-01-27,12.38,12.88,11.94,12.0,2576867
2000-01-28,12.0,12.25,11.5,11.75,2272467
2000-01-31,11.75,12.0,11.63,11.75,1141467
2000-02-01,11.88,11.88,11.13,11.13,1891600
2000-02-02,11.13,11.5,11.13,11.19,1068400
2000-02-03,11.06,11.13,10.63,10.81,3113267
2000-02-04,10.94,11.56,10.88,11.5,853667
2000-02-07,11.5,11.56,11.38,11.38,493200
2000-02-08,11.5,11.56,11.31,11.31,653867
2000-02-09,11.25,11.25,10.88,11.0,612000
2000-02-10,10.94,11.0,9.813,10.38,3370200
2000-02-11,10.38,10.56,10.0,10.06,1788800
2000-02-14,10.31,10.44,10.06,10.44,1015800
2000-02-15,10.31,10.94,10.06,10.94,1005000
2000-02-16,10.94,11.13,10.56,10.75,406000
2000-02-17,10.94,11.5,10.63,11.5,1314667
2000-02-18,11.63,11.63,10.25,10.88,942267
2000-02-22,11.06,11.31,10.56,11.31,314600
2000-02-23,11.19,11.94,11.13,11.56,875000
2000-02-24,11.69,11.69,11.06,11.31,599800
2000-02-25,11.06,11.63,11.0,11.31,497800
2000-02-28,11.25,11.31,10.63,10.69,600467
2000-02-29,10.69,10.88,10.44,10.75,515867
2000-03-01,10.5,10.63,10.06,10.63,1465600
