,open,high,low,close,volume
2000-01-03,51.38,52.38,51.13,52.19,493800
2000-01-04,51.63,55.13,51.63,54.19,852300
2000-01-05,54.25,54.5,53.25,54.31,516900
2000-01-06,54.38,55.88,54.25,55.63,462900
2000-01-07,56.5,57.75,56.38,57.63,598700
2000-01-10,58.25,59.75,57.84,59.31,879700
2000-01-11,59.13,59.25,58.44,58.56,470200
2000-01-12,58.75,60.38,58.38,59.75,615700
2000-01-13,59.81,61.88,59.69,60.75,1947800
2000-01-14,61.0,61.13,58.94,60.19,1009500
2000-01-18,60.19,60.19,58.25,59.19,391800
2000-01-19,58.5,58.75,56.88,57.63,489800
2000-01-20,57.38,57.5,54.5,55.44,679300
2000-01-21,56.5,56.75,54.81,54.94,459200
2000-01-24,55.0,55.5,53.5,54.0,600500
2000-01-25,54.0,54.75,53.0,53.31,234500
2000-01-26,55.0,57.0,54.75,56.06,709400
2000-01-27,55.88,57.94,55.88,57.25,457800
2000-01-28,57.25,58.75,55.88,57.31,469600
2000-01-31,57.06,57.06,54.25,56.13,461500
2000-02-01,55.88,56.13,54.75,55.13,272100
2000-02-02,55.38,56.0,54.19,54.38,302100
2000-02-03,54.63,55.13,53.0,53.44,405400
2000-02-04,53.69,53.94,52.0,52.5,430000
2000-02-07,52.25,52.25,50.5,51.0,385200
2000-02-08,49.5,51.75,49.5,51.13,723900
2000-02-09,52.13,53.0,51.63,51.81,505600
2000-02-10,52.06,53.38,51.13,51.81,951200
2000-02-11,52.0,52.0,50.5,50.69,392200
2000-02-14,50.38,50.88,49.94,50.0,200700
2000-02-15,50.63,51.13,49.94,50.75,305500
2000-02-16,50.5,50.88,48.94,49.0,412400
2000-02-17,48.75,50.25,48.5,49.19,628400
2000-02-18,48.94,49.0,46.5,47.75,457100
2000-02-22,48.25,49.69,48.0,49.44,264600
2000-02-23,49.44,50.25,49.44,49.94,271700
2000-02-24,49.94,49.94,48.44,48.63,506600
2000-02-25,48.56,49.63,48.25,48.25,242900
2000-02-28,47.75,47.88,47.19,47.31,303400
2000-02-29,47.31,50.31,47.31,49.69,618500
2000-03-01,50.5,51.81,50.25,51.44,573700
2000-03-02,51.44,52.13,50.88,51.0,559800
2000-03-03,50.94,52.13,50.63,51.13,488400
2000-03-06,51.13,51.13,49.19,49.63,346000
2000-03-07,50.0,50.13,47.69,48.06,1653200
2000-03-08,47.38,47.5,44.25,44.38,2345400
2000-03-09,45.0,45.63,44.38,44.94,812300
2000-03-10,44.88,46.0,44.63,44.75,509500
2000-03-13,43.75,45.63,43.38,45.13,641800
2000-03-14,45.19,46.44,43.94,44.38,920400
2000-03-15,44.5,46.44,43.44,45.44,1068300
2000-03-16,46.5,50.0,46.25,49.06,916700
2000-03-17,49.13,49.5,47.88,48.0,441800
2000-03-20,48.56,50.0,48.5,48.63,425000
2000-03-21,48.63,50.25,48.38,50.13,667800
2000-03-22,50.06,50.19,48.75,48.88,1307600
2000-03-23,48.75,52.63,48.75,51.56,1515900
2000-03-24,51.56,52.5,51.0,52.0,409200
2000-03-27,52.0,52.19,49.38,49.81,448300
2000-03-28,50.06,51.13,49.5,49.94,341700
2000-03-29,49.94,50.69,48.19,49.63,624000
2000-03-30,51.0,53.63,50.94,52.69,724400
2000-03-31,52.44,55.06,52.25,54.31,608600
2000-04-03,54.56,55.75,54.13,55.25,359200
2000-04-04,55.5,55.81,53.25,54.75,768600
2000-04-05,55.5,55.5,53.38,53.69,260300
2000-04-06,53.88,54.44,53.38,53.56,182300
2000-04-07,55.13,56.44,53.88,56.19,433600
2000-04-10,57.44,59.0,57.13,58.69,901600
2000-04-11,58.44,58.75,57.69,58.63,622100
2000-04-12,59.0,59.5,57.75,57.81,542700
2000-04-13,57.94,57.94,56.44,56.94,312900
2000-04-14,56.19,56.38,54.25,54.81,329600
2000-04-17,54.56,54.56,52.88,53.38,429500
2000-04-18,53.38,56.0,52.25,53.94,576000
2000-04-19,53.81,54.38,53.38,53.94,185100
2000-04-20,53.31,54.75,53.0,54.69,348700
2000-04-24,54.44,55.0,54.19,54.75,506800
2000-04-25,54.5,57.75,54.5,57.38,369400
2000-04-26,57.38,57.75,55.88,57.06,381800
2000-04-27,55.69,56.81,53.06,56.44,1059800
2000-04-28,57.0,57.0,54.94,55.63,377900
2000-05-01,55.63,56.25,55.31,56.19,329200
2000-05-02,55.5,56.0,53.56,54.31,382800
2000-05-03,54.13,54.56,53.5,53.94,607200
2000-05-04,53.75,54.25,53.56,53.69,460100
2000-05-05,53.56,54.13,52.69,53.81,534400
2000-05-08,53.56,54.94,53.5,54.31,412600
2000-05-09,54.19,55.5,53.44,53.44,815700
2000-05-10,53.0,53.69,51.13,52.63,884300
2000-05-11,52.63,55.13,52.63,54.25,415200
2000-05-12,54.0,54.5,53.0,53.38,317700
2000-05-15,53.38,55.63,53.25,55.0,560400
2000-05-16,55.25,55.63,54.94,55.5,430000
2000-05-17,54.88,55.94,54.88,55.38,297300
2000-05-18,55.25,56.38,55.13,55.88,264000
2000-05-19,55.88,56.0,55.31,55.31,263000
2000-05-22,55.56,56.69,55.31,55.38,366100
2000-05-23,56.38,58.25,56.0,56.5,1090200
2000-05-24,56.56,58.0,56.38,57.88,582600
2000-05-25,57.88,58.5,56.69,57.69,1346400
2000-05-26,57.69,58.19,56.19,56.44,792300
2000-05-30,56.63,57.25,55.88,56.75,288800
2000-05-31,56.5,57.25,56.13,56.13,479000
2000-06-01,56.0,56.38,55.31,56.19,1082900
2000-06-02,57.5,57.81,56.63,57.13,753300
2000-06-05,56.88,57.56,56.88,57.13,569800
2000-06-06,56.88,56.94,55.44,56.0,520600
2000-06-07,56.0,56.0,55.38,55.38,2215100
2000-06-08,55.5,56.5,55.5,56.06,2392100
2000-06-09,56.13,56.25,55.38,55.75,308100
2000-06-12,55.63,56.13,55.25,55.31,564100
2000-06-13,55.06,55.5,53.5,53.69,363000
2000-06-14,53.94,55.38,53.94,54.81,440100
2000-06-15,54.81,55.0,53.5,54.0,607800
2000-06-16,53.5,54.63,53.5,53.84,650900
2000-06-19,53.88,53.88,52.63,53.13,306200
2000-06-20,52.88,53.13,51.88,52.13,316800
2000-06-21,52.0,52.38,51.13,52.31,709400
2000-06-22,52.0,52.25,51.44,51.56,257000
2000-06-23,51.56,52.0,50.75,51.44,266600
2000-06-26,51.44,51.5,50.63,51.19,358300
2000-06-27,51.44,52.75,50.75,52.19,528100
2000-06-28,52.06,53.44,50.63,53.04,498600
2000-06-29,53.0,53.5,52.0,53.06,212200
2000-06-30,53.0,53.06,52.36,52.38,380500
2000-07-03,52.63,53.94,52.63,53.75,173200
2000-07-05,53.69,54.75,53.63,54.13,342000
2000-07-06,48.75,49.88,44.0,49.88,6148100
2000-07-07,49.63,49.63,47.94,48.81,1798200
2000-07-10,48.31,48.75,47.56,48.5,1159300
2000-07-11,48.31,49.13,47.63,49.0,1304000
2000-07-12,49.63,49.63,47.94,48.5,937900
2000-07-13,48.5,48.88,48.31,48.81,1093800
2000-07-14,49.13,49.81,48.75,49.38,786900
2000-07-17,49.38,49.69,48.75,49.53,676300
2000-07-18,49.38,49.88,49.25,49.75,1835800
2000-07-19,49.75,50.75,49.44,50.69,404000
2000-07-20,50.75,50.88,49.88,50.13,450100
2000-07-21,50.19,51.0,49.88,50.75,662600
2000-07-24,50.75,50.75,49.5,50.0,474300
2000-07-25,50.0,50.69,49.81,50.19,295900
2000-07-26,50.13,50.19,48.38,48.69,1577500
2000-07-27,48.5,51.75,48.44,51.0,820700
2000-07-28,51.13,51.88,50.63,50.69,280900
2000-07-31,50.69,51.63,49.5,50.38,385200
2000-08-01,50.13,51.44,50.13,51.25,257800
2000-08-02,51.0,51.69,50.13,51.44,189300
2000-08-03,51.75,52.94,51.44,52.31,358400
2000-08-04,52.06,52.06,51.0,51.25,196000
2000-08-07,51.25,52.81,51.25,52.19,188500
2000-08-08,52.44,52.88,51.94,52.13,206000
2000-08-09,52.13,52.38,51.69,52.13,199400
2000-08-10,52.19,52.63,51.19,51.44,127400
2000-08-11,51.5,53.13,51.44,52.5,235100
2000-08-14,52.56,53.25,52.56,52.75,130700
2000-08-15,52.75,53.13,52.63,53.0,291500
2000-08-16,53.25,54.19,53.13,53.56,332000
2000-08-17,53.63,54.5,53.63,53.81,511500
2000-08-18,53.63,53.88,51.94,52.81,241300
2000-08-21,52.63,53.13,50.25,51.63,2893300
2000-08-22,51.75,53.88,51.56,53.25,507500
2000-08-23,53.0,53.25,51.5,51.75,247000
2000-08-24,51.75,52.25,51.31,52.0,1203900
2000-08-25,52.75,52.75,51.75,52.13,462900
2000-08-28,52.0,52.38,51.56,51.69,329800
2000-08-29,51.44,52.13,51.19,51.44,185300
2000-08-30,51.19,51.44,50.25,50.44,298700
2000-08-31,50.38,51.56,50.19,51.33,245400
2000-09-01,51.25,51.25,50.0,50.44,292800
2000-09-05,50.5,50.5,49.81,49.88,369200
2000-09-06,49.88,51.31,49.88,51.0,1608700
2000-09-07,50.63,50.63,48.13,49.38,1826600
2000-09-08,49.38,49.38,48.69,48.69,858000
2000-09-11,48.75,50.0,48.38,48.75,567200
2000-09-12,48.63,48.63,47.0,47.5,840900
2000-09-13,46.75,48.0,46.63,47.5,693000
2000-09-14,47.5,47.88,47.0,47.25,658100
2000-09-15,46.75,47.25,46.31,46.31,643300
2000-09-18,45.25,46.06,45.25,45.63,883500
2000-09-19,45.5,45.94,45.0,45.06,571700
2000-09-20,45.13,45.13,43.88,44.13,1656300
2000-09-21,43.81,44.75,43.81,44.44,765900
2000-09-22,44.38,45.0,44.13,44.5,655100
2000-09-25,45.0,45.94,44.88,45.56,530300
2000-09-26,45.38,46.69,44.75,45.25,702100
2000-09-27,45.0,46.25,44.5,44.69,535000
2000-09-28,44.88,45.63,44.63,45.56,591700
2000-09-29,45.5,45.94,44.75,45.25,575700
2000-10-02,45.5,45.75,43.75,44.75,636800
2000-10-03,44.75,47.31,44.25,46.31,930900
2000-10-04,46.0,47.06,46.0,46.94,774500
2000-10-05,46.75,47.25,46.25,46.5,1244700
2000-10-06,46.56,48.31,46.56,47.06,423300
2000-10-09,47.25,47.88,46.0,46.31,594100
2000-10-10,46.56,47.5,46.44,47.31,720600
2000-10-11,47.06,47.44,45.38,45.63,640900
2000-10-12,45.75,45.75,44.19,44.81,515900
2000-10-13,44.75,44.94,44.19,44.69,397900
2000-10-16,44.69,45.56,43.44,45.13,518000
2000-10-17,45.25,45.63,43.31,43.38,374400
2000-10-18,43.44,44.06,41.63,44.0,615500
2000-10-19,43.81,45.38,43.81,45.0,241000
2000-10-20,44.75,44.88,43.56,44.69,393300
2000-10-23,44.5,44.5,42.38,42.75,565900
2000-10-24,43.0,43.94,41.63,43.94,1085100
2000-10-25,43.69,45.13,42.38,43.44,652700
2000-10-26,43.0,47.0,41.88,46.56,1177300
2000-10-27,47.0,47.56,45.88,47.5,628600
2000-10-30,47.5,49.88,47.5,49.75,527100
2000-10-31,49.69,49.69,47.81,48.13,449000
2000-11-01,48.13,48.5,46.88,47.75,575800
2000-11-02,47.75,48.63,47.56,48.25,373300
2000-11-03,48.06,49.38,47.13,47.75,413900
2000-11-06,48.06,49.81,48.06,49.69,506300
2000-11-07,49.69,52.5,49.69,52.0,1093900
2000-11-08,51.13,51.31,50.13,51.06,806900
2000-11-09,51.19,51.19,49.38,50.31,682300
2000-11-10,50.06,51.13,49.0,49.88,628600
2000-11-13,49.63,51.25,49.38,50.75,468000
2000-11-14,50.75,51.13,50.44,50.69,207200
2000-11-15,50.94,51.38,50.63,50.94,1030600
2000-11-16,48.5,50.0,48.5,49.13,1442400
2000-11-17,49.13,49.13,45.13,46.31,1642500
2000-11-20,46.25,46.25,42.13,42.25,2597700
2000-11-21,43.13,43.88,39.5,40.0,3595800
2000-11-22,39.94,40.0,37.56,37.69,4053400
2000-11-24,37.75,38.44,35.38,37.63,1048100
2000-11-27,38.25,38.38,35.81,36.0,2231400
2000-11-28,35.25,35.31,31.5,32.25,3001600
2000-11-29,32.25,33.63,31.5,33.13,3733300
2000-11-30,33.19,34.19,31.63,31.81,2944800
2000-12-01,32.19,33.88,32.19,33.31,2099800
2000-12-04,33.31,34.44,32.0,32.44,1340300
2000-12-05,32.44,33.56,32.44,33.25,1151600
2000-12-06,33.25,34.44,32.5,32.69,1785500
2000-12-07,32.19,32.63,31.56,31.81,3431000
2000-12-08,32.06,32.56,31.81,31.88,1353900
2000-12-11,32.25,32.38,31.25,31.25,1321700
2000-12-12,31.0,31.19,29.81,30.0,1961500
2000-12-13,30.5,30.75,29.69,30.06,1062700
2000-12-14,30.0,30.0,29.0,29.19,974300
2000-12-15,29.44,29.63,28.13,28.19,1408100
2000-12-18,28.38,29.0,28.19,28.44,833100
2000-12-19,28.5,28.5,26.38,26.75,1607700
2000-12-20,26.75,27.88,26.38,27.25,1412700
2000-12-21,27.38,28.13,27.0,27.25,1475700
2000-12-22,27.0,27.19,26.38,26.88,1224700
2000-12-26,28.0,28.81,27.38,28.38,780600
2000-12-27,28.38,29.38,28.38,29.06,1178200
2000-12-28,28.81,30.0,28.81,29.75,910400
2000-12-29,30.0,31.44,30.0,30.5,1191500
2001-01-02,30.63,31.5,29.94,31.13,1139400
2001-01-03,32.13,34.0,31.31,32.44,1489300
2001-01-04,32.63,34.5,32.63,33.75,1279700
2001-01-05,34.0,34.25,31.0,33.06,1388900
2001-01-08,33.06,33.25,32.0,32.81,440200
2001-01-09,33.25,33.38,31.44,32.25,1203900
2001-01-10,32.13,33.44,32.13,33.38,1007300
2001-01-11,32.88,33.31,32.63,33.19,710200
2001-01-12,33.38,33.38,32.5,33.0,524300
2001-01-16,32.75,34.13,32.56,34.06,536400
2001-01-17,34.75,34.75,33.69,34.19,620800
2001-01-18,33.94,34.5,33.63,33.75,975700
2001-01-19,33.38,33.56,31.63,32.25,850200
2001-01-22,32.5,32.94,31.88,32.13,486200
2001-01-23,32.31,32.31,31.75,32.0,663900
