,open,high,low,close,volume
2000-01-03,51.0,51.0,48.25,49.81,108600
2000-01-04,51.5,52.0,47.31,47.94,155000
2000-01-05,48.19,49.63,47.25,49.56,275600
2000-01-06,49.81,51.94,49.56,51.5,159200
2000-01-07,51.75,53.56,51.75,53.0,84700
2000-01-10,52.75,53.63,48.88,51.0,322400
2000-01-11,51.0,51.0,49.25,50.44,137300
2000-01-12,50.19,51.13,50.06,50.88,73500
2000-01-13,51.0,51.5,50.94,51.44,74900
2000-01-14,51.5,52.25,51.5,51.88,45100
2000-01-18,51.94,52.44,51.56,52.25,63600
2000-01-19,52.31,53.56,52.31,53.44,85100
2000-01-20,53.25,54.13,52.75,53.69,58400
2000-01-21,53.5,53.56,51.63,52.13,26900
2000-01-24,52.38,52.88,50.56,50.69,75600
2000-01-25,50.75,51.0,50.5,51.0,87200
2000-01-26,51.25,52.94,51.25,52.0,54000
2000-01-27,52.06,52.06,50.63,51.5,41200
2000-01-28,51.25,51.44,50.56,50.94,41700
2000-01-31,50.94,52.25,50.38,51.88,55400
2000-02-01,51.94,53.0,51.63,52.75,101500
2000-02-02,52.75,53.5,52.75,52.94,59000
2000-02-03,52.75,53.38,52.75,52.88,42300
2000-02-04,52.94,52.94,50.75,51.0,58800
2000-02-07,51.13,53.25,51.13,52.63,48300
2000-02-08,52.63,52.94,51.5,51.5,27400
2000-02-09,51.56,53.0,51.38,52.63,54600
2000-02-10,52.69,54.69,52.5,53.5,110100
2000-02-11,53.25,53.75,52.5,52.56,95500
2000-02-14,52.63,54.0,52.56,53.44,54100
2000-02-15,53.44,54.63,53.0,53.19,96300
2000-02-16,52.94,53.13,51.13,52.06,107800
2000-02-17,52.25,52.63,51.69,51.69,107000
2000-02-18,51.63,51.69,49.81,50.06,49400
2000-02-22,50.0,52.38,49.13,52.19,98400
2000-02-23,51.94,52.0,49.75,49.75,86000
2000-02-24,49.63,50.25,48.31,49.63,48800
2000-02-25,49.63,49.81,48.63,48.69,48100
2000-02-28,48.94,49.13,47.75,49.13,63600
2000-02-29,51.38,51.63,48.44,49.0,104300
2000-03-01,48.75,49.88,48.63,49.69,39200
2000-03-02,49.75,49.75,48.19,48.25,36700
2000-03-03,48.06,50.06,47.88,49.81,49900
2000-03-06,50.06,50.13,49.81,49.81,37600
2000-03-07,49.56,49.56,46.75,46.75,62500
2000-03-08,46.75,46.75,44.75,44.75,94900
2000-03-09,45.0,45.0,42.63,44.56,96400
2000-03-10,44.38,44.38,42.44,42.94,73200
2000-03-13,42.94,44.81,42.31,44.19,111900
2000-03-14,44.06,44.5,42.56,42.56,26400
2000-03-15,42.81,45.75,40.38,45.56,223100
2000-03-16,45.38,50.0,45.31,49.69,163900
2000-03-17,49.38,49.5,46.56,46.69,81800
2000-03-20,46.94,47.0,45.5,45.69,24300
2000-03-21,45.75,47.63,45.75,47.13,93900
2000-03-22,47.13,47.75,47.06,47.75,25800
2000-03-23,47.56,49.44,47.13,49.31,72700
2000-03-24,49.56,49.56,48.13,48.38,111800
2000-03-27,49.0,49.19,46.63,48.25,165100
2000-03-28,48.13,49.13,48.0,48.75,57500
2000-03-29,48.5,48.56,46.94,47.94,38000
2000-03-30,47.69,49.44,47.69,48.75,97800
2000-03-31,49.0,51.0,49.0,51.0,55800
2000-04-03,50.81,52.25,50.75,51.5,113200
2000-04-04,51.5,52.0,50.0,50.81,109900
2000-04-05,50.81,52.0,50.56,52.0,69600
2000-04-06,52.13,52.5,50.56,51.5,114000
2000-04-07,51.63,52.13,50.84,52.06,75400
2000-04-10,52.06,52.5,49.63,50.13,72400
2000-04-11,50.38,51.5,50.19,50.75,61700
2000-04-12,51.0,54.94,51.0,54.06,124800
2000-04-13,55.13,55.75,52.38,52.38,86700
2000-04-14,52.13,52.13,48.13,49.31,80900
2000-04-17,49.44,51.0,48.75,50.88,59500
2000-04-18,50.63,51.88,50.13,51.88,71800
2000-04-19,51.69,51.88,50.19,50.56,56800
2000-04-20,50.56,51.0,50.5,50.63,25100
2000-04-24,50.75,50.75,49.94,50.38,53400
2000-04-25,50.5,50.63,50.13,50.44,42100
2000-04-26,50.44,51.0,49.5,49.88,35900
2000-04-27,49.75,49.75,49.0,49.06,50300
2000-04-28,49.06,50.44,49.06,50.38,44000
2000-05-01,50.5,51.38,50.0,50.56,48600
2000-05-02,50.31,50.69,50.0,50.5,26600
2000-05-03,50.31,52.19,50.31,51.69,56400
2000-05-04,51.44,52.13,51.0,52.0,44000
2000-05-05,52.25,52.88,49.44,50.75,98700
2000-05-08,50.63,52.88,50.56,51.44,67900
2000-05-09,51.25,52.75,51.25,52.69,36000
2000-05-10,52.44,52.69,51.13,51.13,31900
2000-05-11,51.0,53.5,51.0,53.5,49700
2000-05-12,53.75,54.44,53.25,53.38,45100
2000-05-15,53.13,54.38,52.5,53.38,26700
2000-05-16,53.63,54.44,53.63,53.75,32100
2000-05-17,53.5,53.5,51.56,51.69,47300
2000-05-18,51.44,51.75,51.13,51.25,21300
2000-05-19,51.38,52.06,51.38,51.94,36000
2000-05-22,51.75,52.94,51.19,52.94,31600
2000-05-23,52.94,53.63,52.38,53.06,45100
2000-05-24,53.06,54.69,52.75,53.88,40900
2000-05-25,54.0,54.0,52.5,52.5,17300
2000-05-26,52.5,52.94,51.25,51.81,50300
2000-05-30,51.81,51.88,51.25,51.75,16800
2000-05-31,51.5,52.5,51.5,52.38,45900
2000-06-01,52.25,53.38,52.25,52.63,59000
2000-06-02,52.88,52.88,51.19,51.38,40500
2000-06-05,51.63,51.63,50.5,50.88,39000
2000-06-06,51.13,52.44,51.13,52.0,20700
2000-06-07,52.25,53.19,52.0,53.0,42800
2000-06-08,53.25,53.75,53.0,53.5,25100
2000-06-09,53.75,54.81,53.75,54.75,48100
