,open,high,low,close,volume
2000-01-03,52.5,52.63,50.56,50.69,99900
2000-01-04,50.44,51.25,50.0,50.06,86700
2000-01-05,50.06,52.94,50.06,52.69,232400
2000-01-06,52.19,53.75,51.81,51.81,100000
2000-01-07,51.56,53.63,51.56,52.94,111100
2000-01-10,52.69,52.69,50.56,50.88,156000
2000-01-11,50.75,50.81,49.75,50.19,119300
2000-01-12,50.25,50.75,50.13,50.69,157300
2000-01-13,51.25,52.88,51.25,52.69,161200
2000-01-14,52.44,52.5,51.19,51.19,138400
2000-01-18,50.94,50.94,49.31,49.63,163600
2000-01-19,49.88,51.44,49.88,50.25,102300
2000-01-20,50.19,50.44,49.5,49.81,72000
2000-01-21,50.13,50.13,48.38,48.75,122000
2000-01-24,48.81,49.31,47.13,47.5,122800
2000-01-25,47.75,48.38,47.13,47.13,91800
2000-01-26,47.13,47.19,45.75,46.56,170100
2000-01-27,46.5,47.19,46.38,47.06,102600
2000-01-28,47.06,47.5,46.88,46.88,147100
2000-01-31,46.81,48.63,46.69,48.5,107000
2000-02-01,48.31,48.75,48.13,48.63,96100
2000-02-02,48.75,49.13,48.5,48.5,119800
2000-02-03,48.5,50.13,48.5,49.31,238900
2000-02-04,49.19,49.19,47.0,47.5,205500
2000-02-07,47.5,50.0,47.5,49.25,191200
2000-02-08,49.25,49.69,46.56,46.81,93700
2000-02-09,47.88,48.56,47.5,47.69,160400
2000-02-10,47.94,49.25,47.31,49.13,250900
2000-02-11,49.13,49.44,48.5,49.19,151700
2000-02-14,50.0,51.13,49.38,49.69,190000
2000-02-15,49.69,50.56,48.75,50.5,180000
2000-02-16,50.38,50.44,48.56,48.63,169500
2000-02-17,48.75,49.5,47.38,47.38,107700
2000-02-18,47.38,47.5,46.0,46.19,155900
2000-02-22,46.19,46.19,44.81,45.94,192400
2000-02-23,46.31,46.38,44.88,45.5,129700
2000-02-24,45.25,45.25,42.0,42.44,238700
2000-02-25,42.25,42.75,41.44,41.94,223000
2000-02-28,42.31,43.63,42.0,43.06,119800
2000-02-29,43.5,44.63,43.5,43.88,204300
2000-03-01,44.19,44.69,43.38,43.5,115600
2000-03-02,43.31,43.38,42.06,42.38,134300
2000-03-03,42.38,42.5,41.5,42.31,229000
2000-03-06,42.31,42.31,41.94,42.0,159900
2000-03-07,41.88,41.88,38.69,38.81,358000
2000-03-08,38.56,39.38,37.38,39.25,367200
2000-03-09,39.25,39.81,38.38,39.81,131900
2000-03-10,39.81,39.88,39.56,39.88,263000
2000-03-13,39.38,40.25,38.63,39.13,105900
2000-03-14,39.0,39.44,38.5,39.31,61800
2000-03-15,39.13,42.31,39.13,41.75,196100
2000-03-16,41.88,44.63,41.88,43.25,331500
2000-03-17,45.25,46.0,44.25,44.38,263100
2000-03-20,44.25,44.25,43.25,43.63,137400
2000-03-21,44.56,44.69,43.81,43.94,127600
2000-03-22,43.88,43.88,42.63,42.94,84900
2000-03-23,42.94,45.0,42.25,44.63,186900
2000-03-24,44.63,44.63,42.25,42.81,86600
2000-03-27,42.81,43.75,42.44,43.5,177100
2000-03-28,43.56,44.94,43.56,43.88,125400
2000-03-29,43.88,45.0,43.88,44.88,125300
2000-03-30,44.94,49.13,44.5,48.31,209200
2000-03-31,48.69,49.38,47.81,48.0,232200
2000-04-03,47.56,49.5,47.44,49.25,176100
2000-04-04,49.13,50.25,47.5,48.13,184400
2000-04-05,48.75,49.25,47.5,48.63,113400
2000-04-06,48.69,50.0,48.56,50.0,127500
2000-04-07,50.5,50.75,49.38,49.69,125300
2000-04-10,50.13,50.19,49.38,49.63,113900
2000-04-11,49.63,51.0,49.63,50.69,74600
2000-04-12,50.69,51.25,50.5,50.63,156200
2000-04-13,50.69,51.56,50.06,50.38,99300
2000-04-14,50.0,50.0,47.44,47.44,120200
2000-04-17,47.44,49.0,47.44,49.0,206700
2000-04-18,49.0,49.88,48.38,49.44,166100
2000-04-19,49.69,49.69,48.63,48.88,97600
2000-04-20,48.63,50.38,48.19,50.0,205500
2000-04-24,50.19,54.5,50.19,53.5,422400
2000-04-25,53.56,55.25,53.56,54.63,292900
2000-04-26,54.56,55.0,53.38,53.75,232100
2000-04-27,53.13,54.0,51.75,51.81,261900
2000-04-28,51.81,51.81,49.88,51.0,219300
2000-05-01,51.5,52.5,51.38,51.81,125900
2000-05-02,52.0,53.25,50.75,51.0,278600
2000-05-03,50.75,53.75,50.69,53.44,227300
2000-05-04,53.38,55.5,53.0,55.06,202600
2000-05-05,54.88,55.06,53.06,53.25,144700
2000-05-08,53.44,55.94,53.31,55.69,209800
2000-05-09,55.5,55.5,54.38,55.25,222700
2000-05-10,55.25,56.38,55.0,55.56,258300
2000-05-11,55.56,57.63,55.38,57.38,183800
2000-05-12,57.19,57.19,54.94,55.69,120600
2000-05-15,55.5,56.5,54.5,56.38,120400
2000-05-16,56.5,56.94,56.0,56.5,194800
2000-05-17,55.75,56.75,55.5,56.69,158100
2000-05-18,56.5,56.5,55.75,56.25,157000
2000-05-19,56.25,56.75,55.75,55.88,113500
2000-05-22,56.0,58.63,56.0,57.94,296300
2000-05-23,57.75,58.81,57.56,58.63,230200
2000-05-24,58.88,62.19,58.88,62.06,422600
2000-05-25,60.56,60.56,58.25,59.94,276100
2000-05-26,59.81,60.13,58.19,58.63,155700
2000-05-30,59.25,59.44,57.25,58.06,175400
2000-05-31,58.31,58.5,56.75,56.75,151700
2000-06-01,56.5,58.69,56.44,58.19,243100
2000-06-02,58.25,58.88,55.5,55.56,202000
2000-06-05,55.5,56.13,54.75,56.0,154600
2000-06-06,57.25,59.31,57.0,59.25,346500
2000-06-07,62.0,62.75,61.13,61.38,411800
2000-06-08,61.38,61.88,59.75,61.63,149800
2000-06-09,62.0,62.88,60.63,61.06,135000
2000-06-12,61.06,61.56,59.19,59.56,185600
2000-06-13,60.13,63.75,60.13,63.56,274100
2000-06-14,63.63,64.69,62.38,64.69,295300
2000-06-15,64.69,66.19,64.69,66.0,145200
2000-06-16,65.88,66.25,65.06,65.53,200700
2000-06-19,64.75,66.5,64.38,65.38,254600
2000-06-20,62.0,63.0,59.25,60.44,465300
2000-06-21,57.0,61.88,57.0,61.44,566300
2000-06-22,61.44,63.5,61.25,62.69,184400
2000-06-23,62.69,62.69,59.81,60.75,218200
2000-06-26,60.88,63.44,60.88,63.19,214000
2000-06-27,63.44,63.44,61.75,62.0,176400
2000-06-28,62.25,63.69,62.25,62.36,166500
2000-06-29,62.44,63.69,61.88,61.88,228000
2000-06-30,62.0,62.75,60.5,60.52,243100
2000-07-03,60.25,61.75,60.19,61.75,120600
2000-07-05,62.75,65.0,62.63,64.19,149600
2000-07-06,64.44,65.56,64.25,64.38,88800
2000-07-07,64.44,65.5,63.31,64.69,120100
2000-07-10,65.0,66.25,64.94,65.19,235900
2000-07-11,65.38,65.56,64.06,64.44,152200
2000-07-12,64.25,64.31,63.56,63.81,146900
2000-07-13,63.94,64.69,63.19,63.44,95200
2000-07-14,63.69,63.75,63.06,63.25,126100
2000-07-17,63.44,64.75,63.44,64.03,172400
2000-07-18,64.06,65.81,64.06,65.0,110000
2000-07-19,65.13,66.0,64.63,64.69,55000
2000-07-20,64.69,66.38,62.81,62.81,357400
2000-07-21,62.31,62.69,61.19,62.5,307700
2000-07-24,62.44,64.0,62.44,63.63,114300
2000-07-25,63.5,64.81,63.31,63.38,128800
2000-07-26,63.31,63.38,61.81,62.06,201800
2000-07-27,62.06,64.19,62.0,62.31,195900
2000-07-28,62.31,62.5,59.75,59.75,240500
2000-07-31,60.5,63.0,60.13,63.0,296900
2000-08-01,62.88,64.19,62.81,63.69,185500
2000-08-02,63.56,64.44,62.75,64.19,148400
2000-08-03,64.31,65.31,64.0,64.25,168500
2000-08-04,64.13,65.38,64.0,65.19,236200
2000-08-07,65.06,65.06,62.0,64.06,258400
2000-08-08,64.31,65.56,62.88,64.0,152300
2000-08-09,64.25,65.0,62.88,63.94,69500
2000-08-10,63.81,63.88,63.13,63.31,86500
2000-08-11,63.56,65.75,63.38,64.94,122500
2000-08-14,65.0,67.63,65.0,66.31,207000
2000-08-15,66.31,66.56,65.25,65.38,75000
2000-08-16,63.88,63.88,62.63,63.19,177500
2000-08-17,63.0,63.81,62.5,63.0,159500
2000-08-18,63.13,64.25,63.06,63.38,158000
2000-08-21,63.56,66.0,63.56,65.5,200400
2000-08-22,64.0,64.38,63.06,63.44,263500
2000-08-23,63.63,64.56,63.5,63.81,135200
2000-08-24,63.94,64.19,62.5,63.13,102200
2000-08-25,63.13,63.13,60.75,60.75,232900
2000-08-28,61.0,61.5,60.75,60.81,161000
2000-08-29,60.75,61.94,60.38,61.31,128900
2000-08-30,60.94,61.19,58.94,58.94,115000
2000-08-31,59.19,60.44,59.19,59.56,209300
2000-09-01,59.69,59.69,58.75,58.75,103000
2000-09-05,58.88,59.56,57.75,57.88,294400
2000-09-06,57.75,57.81,57.13,57.5,311700
2000-09-07,57.31,59.0,57.31,58.5,134200
2000-09-08,58.56,61.0,58.56,60.75,223900
2000-09-11,60.75,61.0,60.0,60.75,98400
2000-09-12,60.94,61.38,59.81,60.5,159200
2000-09-13,60.63,62.06,60.63,62.06,141200
2000-09-14,61.94,62.06,60.44,61.06,195500
2000-09-15,60.94,61.38,60.63,61.06,148400
2000-09-18,60.81,61.81,60.81,61.38,119600
2000-09-19,62.25,64.19,61.88,62.88,237800
2000-09-20,62.75,63.38,61.88,62.19,154100
2000-09-21,62.25,63.75,62.13,63.75,132700
2000-09-22,63.75,66.88,63.75,66.75,180400
2000-09-25,66.69,66.69,65.19,65.5,162000
2000-09-26,65.25,65.88,64.44,65.06,127300
2000-09-27,65.06,67.25,65.06,65.44,215000
2000-09-28,65.94,66.94,65.63,65.94,266600
2000-09-29,65.94,66.0,63.19,63.19,225600
2000-10-02,63.44,63.75,62.38,63.0,179500
2000-10-03,63.0,64.94,63.0,64.06,211000
2000-10-04,64.19,65.0,61.88,62.31,169500
2000-10-05,62.44,64.13,62.44,63.81,198900
2000-10-06,63.81,64.5,62.94,63.5,168500
2000-10-09,63.75,64.38,62.25,62.63,99300
2000-10-10,62.81,65.0,62.81,64.75,121600
2000-10-11,64.63,65.38,62.94,63.19,168500
2000-10-12,63.13,65.25,63.13,64.06,177000
2000-10-13,64.19,64.81,62.06,62.44,253300
2000-10-16,62.75,66.63,62.75,65.88,346200
2000-10-17,67.5,68.38,64.81,65.19,316500
2000-10-18,65.38,67.0,65.06,67.0,296300
2000-10-19,65.0,65.0,63.13,63.25,351100
2000-10-20,62.63,62.63,60.0,61.63,443100
2000-10-23,61.63,62.63,61.44,62.25,298200
2000-10-24,62.25,63.25,61.31,62.94,226100
2000-10-25,62.75,63.5,59.94,60.06,349400
2000-10-26,60.06,60.25,58.94,60.19,443400
2000-10-27,60.31,62.38,59.88,61.88,147800
2000-10-30,62.38,65.0,62.31,64.69,191300
2000-10-31,65.69,65.69,63.0,63.69,155500
2000-11-01,63.69,65.38,61.94,63.25,215600
2000-11-02,63.75,63.75,62.81,63.44,102700
2000-11-03,64.0,65.0,63.81,64.94,127900
2000-11-06,64.75,65.25,64.06,64.13,184300
2000-11-07,64.25,64.25,62.75,62.94,171000
2000-11-08,62.88,64.5,62.63,63.75,333600
2000-11-09,64.0,65.94,64.0,65.5,301900
2000-11-10,64.44,68.0,64.44,66.88,212900
2000-11-13,66.94,68.75,65.19,66.0,352300
2000-11-14,66.0,67.56,65.31,66.69,262900
2000-11-15,65.69,68.0,65.38,67.56,2363900
2000-11-16,67.63,70.0,67.38,68.94,619200
2000-11-17,70.88,72.63,70.06,71.63,1211300
2000-11-20,71.38,72.25,70.69,72.19,697500
2000-11-21,72.63,76.25,71.75,75.06,1245600
2000-11-22,74.63,74.75,73.56,74.0,696800
2000-11-24,74.5,74.88,73.75,74.56,189000
2000-11-27,74.56,76.38,74.0,76.0,547000
2000-11-28,74.56,75.25,74.0,75.0,814600
2000-11-29,74.63,75.06,74.25,74.56,383600
2000-11-30,74.75,75.38,74.0,75.0,517800
2000-12-01,75.0,76.0,74.69,75.44,355600
2000-12-04,75.44,75.5,74.75,74.94,425100
2000-12-05,75.31,76.5,74.75,75.06,426700
2000-12-06,74.75,75.25,74.06,74.63,795100
2000-12-07,74.5,77.06,74.5,76.56,500500
2000-12-08,76.31,76.63,75.0,75.0,598900
2000-12-11,75.0,75.75,74.38,74.81,452900
2000-12-12,74.81,76.5,74.75,75.38,322300
2000-12-13,75.44,76.5,75.0,75.63,268100
2000-12-14,75.44,76.06,74.75,75.5,167000
2000-12-15,75.0,79.5,75.0,79.0,836300
2000-12-18,78.5,78.5,77.06,78.13,387000
2000-12-19,78.19,79.25,78.13,78.81,289500
2000-12-20,77.88,78.38,76.63,77.5,611700
2000-12-21,77.0,77.25,75.0,75.88,407300
2000-12-22,75.63,76.19,74.25,75.94,424800
2000-12-26,76.06,79.62,76.06,79.44,328200
2000-12-27,79.44,81.31,79.19,80.19,406200
2000-12-28,80.44,81.44,79.69,80.75,415300
2000-12-29,81.13,82.31,80.19,80.31,461600
2001-01-02,80.31,81.19,77.63,78.25,370500
2001-01-03,75.63,76.0,72.88,72.88,1536100
2001-01-04,72.63,72.63,66.94,67.25,1257400
2001-01-05,66.69,67.88,65.5,66.25,1373700
2001-01-08,66.63,67.31,62.69,63.75,1094600
2001-01-09,64.75,64.81,62.75,64.38,510700
2001-01-10,64.13,64.75,61.63,63.44,519000
2001-01-11,64.25,65.19,63.06,63.56,397000
2001-01-12,63.63,64.5,63.0,63.56,227700
2001-01-16,63.0,65.69,62.44,65.44,365400
2001-01-17,65.69,66.13,62.25,63.38,453800
2001-01-18,62.38,63.5,61.5,63.19,439900
2001-01-19,63.19,63.19,63.19,63.19,639700
2001-01-22,62.0,62.75,61.5,62.69,289900
2001-01-23,63.0,63.13,61.56,62.75,289900
2001-01-24,63.0,63.13,61.19,61.38,239200
2001-01-25,62.5,64.69,61.5,64.19,389300
2001-01-26,64.44,65.63,63.44,64.75,264000
2001-01-29,64.65,67.25,64.61,66.99,264600
2001-01-30,66.74,68.73,66.59,67.75,589000
2001-01-31,68.65,69.55,67.75,69.55,414200
2001-02-01,69.55,70.05,68.86,69.6,299300
2001-02-02,69.5,69.65,68.33,68.84,256300
2001-02-05,69.55,69.63,68.5,69.37,294600
2001-02-06,69.92,70.39,68.14,68.42,330500
2001-02-07,68.65,70.44,68.6,70.08,325300
2001-02-08,70.75,72.4,67.4,67.66,729900
2001-02-09,67.75,70.83,66.4,68.87,482900
2001-02-12,69.12,69.2,68.06,68.67,177500
