,open,high,low,close,volume
2000-01-03,16.06,16.25,15.88,15.88,8200
2000-01-04,15.75,16.13,15.38,15.53,4200
2000-01-05,16.0,16.0,15.63,15.63,8100
2000-01-06,15.63,15.63,15.38,15.38,11800
2000-01-07,15.38,15.75,15.0,15.75,7300
2000-01-10,15.0,15.75,15.0,15.0,1200
2000-01-11,15.75,16.0,15.13,15.13,5400
2000-01-12,15.5,16.0,15.5,16.0,3800
2000-01-13,16.0,16.25,15.75,15.75,9800
2000-01-14,15.81,16.25,15.81,16.25,21300
2000-01-18,16.13,16.25,15.94,16.06,9800
2000-01-19,16.06,16.06,15.19,15.34,15100
2000-01-20,15.19,16.13,15.19,15.75,18800
2000-01-21,15.69,15.75,15.19,15.25,17200
2000-01-24,15.25,15.75,14.81,14.81,20400
2000-01-25,15.63,15.63,14.63,14.63,161700
2000-01-26,14.88,15.0,14.88,15.0,14600
2000-01-27,15.34,17.5,15.19,17.06,51100
2000-01-28,17.25,17.25,16.13,16.5,31500
2000-01-31,16.88,18.75,16.75,18.0,61400
2000-02-01,17.38,17.75,17.38,17.63,6100
2000-02-02,17.69,17.75,15.19,16.13,67100
2000-02-03,16.0,16.25,15.56,15.88,35800
2000-02-04,16.25,16.25,16.06,16.25,24300
2000-02-07,16.25,17.13,15.88,17.13,7900
2000-02-08,16.81,17.63,16.38,17.19,4700
2000-02-09,17.63,17.63,16.75,17.13,9200
2000-02-10,18.06,18.25,17.5,17.5,28400
2000-02-11,17.5,18.5,17.31,17.75,20700
2000-02-14,18.0,18.0,16.5,16.75,13800
2000-02-15,16.63,17.25,16.63,16.63,62900
2000-02-16,16.75,17.25,16.69,16.72,127600
2000-02-17,16.5,17.0,16.38,16.75,41400
2000-02-18,16.38,17.38,16.38,16.5,49600
2000-02-22,16.38,16.69,16.38,16.5,12600
2000-02-23,16.5,16.56,16.13,16.25,12800
2000-02-24,16.0,16.75,16.0,16.38,29800
2000-02-25,16.63,16.88,16.25,16.88,23400
2000-02-28,17.38,17.75,16.5,17.38,7600
2000-02-29,17.38,18.0,17.38,18.0,15300
2000-03-01,18.0,19.5,17.75,18.88,20600
