Date,Open,High,Low,Close,Adj Close,Volume
1996-12-31,15.5,15.5,15.375,15.5,3.9001636505126953,104500
1997-01-02,15.5,15.5,15.25,15.375,3.8687098026275635,107800
1997-01-03,15.5,15.5,15.125,15.25,3.8372559547424316,181400
1997-01-06,15.125,15.25,14.75,15.0,3.7743518352508545,209300
1997-01-07,14.875,15.0,14.875,15.0,3.7743518352508545,254900
1997-01-08,14.875,15.125,14.875,15.0,3.7743518352508545,320300
1997-01-09,15.125,15.625,15.125,15.625,3.9316165447235107,359000
1997-01-10,15.625,15.625,15.375,15.5,3.9001636505126953,241500
1997-01-13,15.5,15.625,15.375,15.5,3.9001636505126953,204800
1997-01-14,15.5,15.625,15.25,15.625,3.9316165447235107,292600
1997-01-15,15.625,15.625,15.375,15.5,3.9001636505126953,217600
1997-01-16,15.625,15.625,15.375,15.625,3.9316165447235107,182900
1997-01-17,15.5,15.75,15.5,15.75,3.9630682468414307,210200
1997-01-20,15.75,16.0,15.75,15.875,3.9945218563079834,104500
1997-01-21,15.75,16.0,15.75,15.875,3.9945218563079834,162800
1997-01-22,15.75,15.875,15.75,15.75,3.9630682468414307,103800
1997-01-23,15.875,15.875,15.375,15.875,3.9945218563079834,2019200
1997-01-24,15.75,15.875,15.625,15.625,3.9316165447235107,421900
1997-01-27,15.625,15.75,15.625,15.75,3.9630682468414307,195700
1997-01-28,15.75,15.75,15.625,15.625,3.9316165447235107,161300
1997-01-29,15.625,15.75,15.5,15.625,3.9316165447235107,364000
1997-01-30,15.625,15.75,15.625,15.625,3.9316165447235107,187500
1997-01-31,15.75,15.75,15.375,15.5,3.9001636505126953,263800
1997-02-03,15.375,15.375,15.0,15.25,3.8372559547424316,245900
1997-02-04,15.25,15.375,15.125,15.375,3.8687098026275635,176600
1997-02-05,15.25,15.5,15.25,15.5,3.9001636505126953,165100
1997-02-06,15.5,15.5,15.0,15.0,3.7743518352508545,471900
1997-02-07,15.25,15.375,15.125,15.25,3.8372559547424316,597000
1997-02-10,15.125,15.25,15.125,15.25,3.8372559547424316,106000
1997-02-11,15.25,15.375,15.125,15.25,3.8372559547424316,249600
1997-02-12,15.375,15.375,15.25,15.25,3.8372559547424316,124700
1997-02-13,15.5,15.625,15.5,15.625,3.9316165447235107,172400
1997-02-14,15.625,15.625,15.375,15.5,3.9001636505126953,134300
1997-02-18,15.375,15.5,15.375,15.5,3.9001636505126953,106400
1997-02-19,15.5,15.5,15.0,15.125,3.805803060531616,314100
1997-02-20,15.0,15.125,14.875,15.0,3.7743518352508545,241300
1997-02-21,15.125,15.25,15.125,15.25,3.8372559547424316,130300
1997-02-24,15.125,15.25,15.125,15.25,3.8372559547424316,180700
1997-02-25,15.25,15.25,15.0,15.25,3.8372559547424316,356300
1997-02-26,15.25,15.25,14.875,15.125,3.805803060531616,342300
1997-02-27,15.0,15.125,14.875,15.0,3.7743518352508545,179800
1997-02-28,14.875,15.0,14.75,15.0,3.7743518352508545,238300
1997-03-03,14.875,15.125,14.875,15.125,3.805803060531616,146700
1997-03-04,15.0,15.125,15.0,15.0,3.7743518352508545,168600
1997-03-05,15.125,15.25,15.0,15.125,3.805803060531616,179000
