,open,high,low,close,volume
2000-01-03,69.69,69.75,67.0,67.06,1273200
2000-01-04,67.0,67.0,64.63,64.94,1385800
2000-01-05,64.88,66.5,64.75,65.94,1401700
2000-01-06,65.88,68.13,65.0,68.0,1959100
2000-01-07,67.63,67.63,65.75,66.38,996000
2000-01-10,66.88,67.44,66.44,67.06,1191700
2000-01-11,67.13,67.44,66.31,66.38,1020000
2000-01-12,66.13,67.5,65.44,67.38,1097700
2000-01-13,67.63,68.5,67.38,68.31,1071200
2000-01-14,68.88,69.25,68.31,69.06,1160000
2000-01-18,69.0,69.0,67.38,68.69,980500
2000-01-19,68.5,68.56,67.44,68.25,1087300
2000-01-20,68.13,69.13,68.13,68.88,1972000
2000-01-21,68.88,68.88,66.69,67.25,1270100
2000-01-24,67.88,68.25,66.0,66.0,831400
2000-01-25,65.63,66.63,64.75,65.88,1263000
2000-01-26,65.25,65.63,64.5,65.13,933400
2000-01-27,65.31,65.38,64.0,65.13,1128400
2000-01-28,65.13,65.88,64.0,64.94,1324700
2000-01-31,63.0,64.0,59.0,60.0,5745800
2000-02-01,59.69,61.5,58.31,61.38,4761000
2000-02-02,59.75,59.94,57.19,58.25,4740600
2000-02-03,59.25,59.5,57.38,57.63,1951900
2000-02-04,58.19,58.19,56.06,56.38,1745200
2000-02-07,56.63,56.81,55.5,55.75,1480200
2000-02-08,56.25,59.38,55.75,59.38,2055100
2000-02-09,59.5,59.63,58.0,58.0,1209400
2000-02-10,58.06,58.5,56.5,57.06,995700
2000-02-11,56.81,57.0,55.13,55.13,1013900
2000-02-14,55.31,55.5,54.13,54.38,2052800
2000-02-15,54.44,55.0,53.56,54.94,1182900
2000-02-16,55.19,56.44,54.5,56.0,1530000
2000-02-17,56.5,58.25,56.13,58.0,1036000
2000-02-18,58.0,59.44,55.25,56.94,1529200
2000-02-22,56.94,56.94,54.56,55.0,1226000
2000-02-23,55.06,56.25,54.06,54.94,855700
2000-02-24,55.0,55.0,53.81,54.06,1049300
2000-02-25,54.94,55.75,54.06,55.5,961700
2000-02-28,55.56,55.63,54.5,55.0,565600
2000-02-29,55.0,55.31,54.5,54.63,750900
2000-03-01,54.63,54.69,51.88,52.5,1471000
2000-03-02,52.13,53.63,52.06,53.31,1136600
2000-03-03,53.31,53.5,52.56,52.69,1030700
2000-03-06,54.38,54.38,52.5,52.75,1431500
2000-03-07,52.75,52.81,49.0,50.63,2319100
2000-03-08,52.75,54.5,51.31,54.31,2275300
2000-03-09,54.5,54.5,52.44,53.0,1199700
2000-03-10,53.75,54.38,53.06,53.44,776700
2000-03-13,52.25,54.19,52.13,52.75,671700
2000-03-14,52.5,53.5,52.31,52.56,1072500
2000-03-15,52.94,55.38,51.63,54.94,2274800
2000-03-16,55.88,57.63,55.06,56.25,1635300
2000-03-17,57.06,57.06,55.5,55.5,622400
2000-03-20,56.5,56.88,55.25,56.56,843400
2000-03-21,56.31,58.38,55.25,58.19,889000
2000-03-22,58.19,59.06,56.81,56.88,763100
2000-03-23,56.81,59.94,56.0,59.63,1472900
2000-03-24,60.0,64.13,59.81,63.75,2148200
2000-03-27,63.0,64.0,62.63,63.19,960400
2000-03-28,62.5,63.0,60.06,60.25,639300
2000-03-29,61.25,61.25,58.31,59.06,869700
2000-03-30,58.81,60.13,58.31,58.56,682400
2000-03-31,59.56,63.0,58.19,62.99,727100
2000-04-03,62.0,62.0,59.0,59.38,830000
2000-04-04,59.38,59.75,55.38,57.81,1309000
2000-04-05,56.81,58.25,56.81,58.19,478000
2000-04-06,58.31,60.19,58.31,59.88,800700
2000-04-07,59.88,61.44,59.13,60.88,778200
2000-04-10,61.13,63.94,61.06,62.94,1275600
2000-04-11,63.31,63.31,62.13,63.19,616700
2000-04-12,62.81,62.88,61.25,61.5,608700
2000-04-13,61.5,61.5,59.44,60.25,566300
2000-04-14,58.5,58.75,55.0,55.0,859800
2000-04-17,57.0,59.5,55.0,58.0,1152900
2000-04-18,58.0,61.19,58.0,60.69,714900
2000-04-19,60.19,60.5,58.75,59.06,510200
2000-04-20,61.0,63.88,60.63,63.5,1730600
2000-04-24,63.0,63.25,62.0,62.63,1071000
2000-04-25,64.31,66.44,63.81,66.44,1644600
2000-04-26,66.5,66.94,64.94,66.19,1239300
2000-04-27,65.5,66.56,65.19,65.94,689400
2000-04-28,66.69,66.75,65.5,66.5,1011200
2000-05-01,66.63,66.94,64.25,64.25,904600
2000-05-02,64.06,64.44,63.25,63.81,1565300
2000-05-03,64.06,64.06,62.31,62.38,566400
2000-05-04,62.13,62.13,60.0,60.94,669000
2000-05-05,59.75,60.88,59.0,59.88,834300
2000-05-08,59.0,61.75,58.31,61.06,1726400
2000-05-09,61.5,63.38,60.81,62.5,859200
2000-05-10,62.0,62.38,60.63,60.81,880400
2000-05-11,60.88,61.69,60.88,61.25,934200
2000-05-12,61.5,62.63,61.38,61.56,603600
2000-05-15,61.56,64.0,60.69,63.31,1110200
2000-05-16,64.0,64.0,61.88,62.0,526500
2000-05-17,61.75,62.88,61.19,62.31,466300
2000-05-18,62.25,62.25,61.38,62.13,626500
2000-05-19,61.88,62.19,60.5,61.88,754800
2000-05-22,61.63,61.88,59.88,61.44,701700
2000-05-23,61.19,62.25,61.13,61.88,669500
2000-05-24,61.0,61.38,59.13,59.63,592700
2000-05-25,59.44,60.25,58.0,58.88,795300
2000-05-26,59.0,59.31,56.75,57.19,1003100
2000-05-30,57.0,59.31,57.0,59.06,602100
2000-05-31,59.94,60.38,59.63,60.0,794000
2000-06-01,60.81,62.06,60.63,61.5,1261000
2000-06-02,62.19,62.44,60.94,61.0,745100
2000-06-05,60.88,62.5,60.81,61.56,812100
2000-06-06,61.56,61.88,60.75,61.75,585000
2000-06-07,61.75,62.19,61.44,62.06,729800
2000-06-08,62.0,62.13,60.25,60.25,606300
2000-06-09,60.25,60.25,59.31,59.31,505500
2000-06-12,59.0,59.88,57.5,59.34,1105100
2000-06-13,59.5,62.06,59.25,61.31,958400
2000-06-14,61.19,61.88,60.88,61.25,898600
2000-06-15,61.5,62.5,61.44,62.38,1076100
2000-06-16,62.44,62.75,61.38,61.75,721300
2000-06-19,61.75,62.19,60.25,62.13,1019300
2000-06-20,61.88,62.0,60.88,61.44,630200
2000-06-21,60.94,61.81,60.56,61.75,627200
2000-06-22,61.56,62.94,61.25,62.94,1331900
2000-06-23,62.81,62.81,61.31,61.44,672500
2000-06-26,60.75,61.0,60.31,60.75,596300
2000-06-27,60.75,60.94,59.63,60.13,1001700
2000-06-28,60.19,60.81,59.56,59.63,754100
2000-06-29,59.63,60.31,58.63,60.25,1002300
2000-06-30,60.31,62.0,58.9,58.9,1990200
2000-07-03,59.5,59.88,59.31,59.44,375000
2000-07-05,59.63,61.31,59.5,61.0,829500
2000-07-06,61.0,61.44,61.0,61.31,570100
2000-07-07,60.38,61.0,60.13,60.69,733000
2000-07-10,60.0,61.06,59.88,61.0,596000
2000-07-11,60.31,60.94,60.31,60.81,469800
2000-07-12,60.5,61.06,60.19,60.69,613300
2000-07-13,60.56,60.75,60.06,60.31,631200
2000-07-14,60.69,61.0,60.44,60.88,678100
2000-07-17,60.94,61.38,60.06,60.44,944800
2000-07-18,60.19,60.88,60.19,60.75,565500
2000-07-19,60.75,61.5,60.63,61.25,1013500
2000-07-20,60.88,60.94,59.19,59.56,1154700
2000-07-21,59.31,60.0,59.0,59.5,1013100
2000-07-24,58.75,59.5,58.5,59.0,930800
2000-07-25,58.56,59.06,58.56,58.69,572700
2000-07-26,58.63,58.69,57.56,58.13,868000
2000-07-27,58.0,58.69,57.5,58.13,508100
2000-07-28,58.69,58.88,57.25,57.38,468600
2000-07-31,57.38,58.75,57.25,58.75,644900
2000-08-01,58.56,58.56,57.88,58.31,365400
2000-08-02,58.38,58.5,57.75,58.19,314000
2000-08-03,57.63,58.5,57.31,57.94,447800
2000-08-04,57.44,58.0,57.44,57.69,339500
2000-08-07,57.81,57.94,57.25,57.38,507300
2000-08-08,57.13,57.25,56.69,56.88,637200
2000-08-09,56.88,57.0,55.69,55.75,705200
2000-08-10,55.44,58.75,54.88,58.5,2150100
2000-08-11,58.0,59.0,57.75,59.0,734100
2000-08-14,58.75,59.06,58.5,58.63,990300
2000-08-15,58.38,58.5,57.56,57.88,756500
2000-08-16,57.63,57.75,57.25,57.31,487600
2000-08-17,57.31,57.44,56.75,56.75,718500
2000-08-18,56.75,57.0,55.81,56.19,736100
2000-08-21,56.25,56.81,55.75,55.81,590800
2000-08-22,55.81,56.38,55.75,56.25,789700
2000-08-23,56.0,56.25,55.69,55.75,710800
2000-08-24,55.56,56.81,55.56,56.44,678600
2000-08-25,56.44,57.94,56.44,57.63,815400
2000-08-28,57.63,57.75,56.75,56.75,975400
2000-08-29,56.5,56.94,56.0,56.25,543500
2000-08-30,55.25,55.81,55.0,55.13,849500
2000-08-31,55.44,56.13,55.25,55.44,673000
2000-09-01,55.63,56.19,55.38,55.88,869000
2000-09-05,55.25,56.19,55.13,55.56,735800
2000-09-06,55.31,56.0,54.75,55.81,1159900
2000-09-07,55.13,55.75,54.25,54.56,1080200
2000-09-08,54.44,54.5,53.13,53.31,981700
2000-09-11,53.56,53.69,51.88,52.38,1184200
2000-09-12,52.94,53.94,52.5,53.56,747900
2000-09-13,53.75,56.25,53.75,55.0,2352100
2000-09-14,56.5,56.63,55.19,55.44,1018700
2000-09-15,55.5,55.94,55.06,55.38,571400
2000-09-18,55.06,55.13,52.75,53.0,938200
2000-09-19,52.38,52.69,52.0,52.5,1429600
2000-09-20,52.5,54.19,52.5,54.0,1792900
2000-09-21,55.5,56.5,55.25,55.25,4193000
2000-09-22,55.5,56.19,55.06,56.0,1909700
2000-09-25,56.44,57.0,56.31,56.75,1227000
2000-09-26,56.88,57.25,56.5,56.94,1777500
2000-09-27,56.81,56.81,56.5,56.63,785100
2000-09-28,56.5,57.56,56.5,57.31,1712800
2000-09-29,56.31,56.75,55.25,56.38,1004800
2000-10-02,56.0,56.88,55.88,56.69,694100
2000-10-03,56.63,57.25,56.5,56.63,575700
2000-10-04,56.63,59.81,56.5,58.75,2134700
2000-10-05,59.0,59.19,58.25,58.5,1271500
2000-10-06,58.38,58.88,57.81,58.06,531300
2000-10-09,58.31,58.38,56.56,56.88,549900
2000-10-10,56.88,59.38,56.63,58.88,1053300
2000-10-11,59.0,59.0,57.38,57.5,856500
2000-10-12,57.0,57.19,54.75,54.75,902100
2000-10-13,54.81,57.0,54.56,56.63,930400
2000-10-16,56.5,56.5,55.63,55.94,474200
2000-10-17,55.81,55.94,54.94,55.13,924900
2000-10-18,52.5,54.0,51.25,53.06,3462100
2000-10-19,57.75,61.0,57.31,60.0,3883400
2000-10-20,59.94,62.19,59.63,62.0,1827500
2000-10-23,61.44,61.63,60.75,60.81,1449700
2000-10-24,59.5,59.94,59.44,59.75,1838300
2000-10-25,59.88,59.94,59.25,59.63,1044100
2000-10-26,59.19,59.75,58.75,59.75,697600
2000-10-27,59.75,59.88,59.19,59.31,380800
2000-10-30,59.0,61.38,58.5,61.13,1395000
2000-10-31,61.88,61.94,60.06,60.75,812600
2000-11-01,60.63,60.69,59.5,59.63,568000
2000-11-02,59.5,61.5,58.0,61.38,1145800
2000-11-03,60.5,61.06,59.75,60.56,1713400
2000-11-06,60.44,60.44,59.38,60.0,811600
2000-11-07,60.0,60.63,59.5,59.94,757600
2000-11-08,60.0,60.13,59.38,59.75,523000
2000-11-09,59.38,59.88,58.5,58.63,574400
2000-11-10,58.38,59.13,58.19,58.31,638500
2000-11-13,57.75,60.0,57.75,59.0,723800
