,open,high,low,close,volume
2000-01-03,29.75,30.06,29.44,29.62,216100
2000-01-04,29.38,29.94,28.75,29.31,192400
2000-01-05,29.38,30.0,28.75,29.44,296400
2000-01-06,29.38,29.56,27.94,28.56,454600
2000-01-07,28.81,29.44,28.0,29.19,514800
2000-01-10,29.5,29.94,29.25,29.56,221400
2000-01-11,29.75,30.38,29.56,29.81,152800
2000-01-12,29.5,30.0,29.0,29.88,231400
2000-01-13,29.94,30.13,29.25,29.44,277400
2000-01-14,28.94,29.5,28.81,28.88,246000
2000-01-18,28.63,29.25,28.5,28.88,151100
2000-01-19,28.75,29.63,28.75,29.5,195300
2000-01-20,29.56,29.81,28.94,29.31,257600
2000-01-21,30.13,30.13,29.19,29.44,265200
2000-01-24,29.38,29.44,29.13,29.31,225600
2000-01-25,29.38,29.5,28.38,28.75,461700
2000-01-26,28.81,28.94,28.5,28.88,201900
2000-01-27,29.0,29.0,27.13,27.81,336200
2000-01-28,27.88,27.94,26.0,26.69,278900
2000-01-31,26.69,26.69,25.63,25.94,423500
2000-02-01,26.19,26.44,25.0,26.13,457700
2000-02-02,26.25,26.63,26.0,26.44,327700
2000-02-03,26.5,27.31,26.5,27.0,283400
2000-02-04,27.0,27.0,25.75,25.94,308200
2000-02-07,25.94,26.44,24.94,26.13,288500
2000-02-08,26.13,26.75,25.5,26.0,368700
2000-02-09,26.19,26.81,25.75,26.0,343200
2000-02-10,25.75,25.88,24.44,25.81,423800
2000-02-11,25.63,25.63,24.13,25.0,557700
2000-02-14,25.0,25.38,24.88,25.19,537500
2000-02-15,25.0,25.44,24.63,25.0,495000
2000-02-16,25.0,25.19,24.56,24.75,340400
2000-02-17,24.88,25.19,24.88,25.13,323900
2000-02-18,25.13,25.19,24.94,25.13,536900
2000-02-22,25.06,25.25,24.75,24.94,320200
2000-02-23,24.75,25.81,24.44,24.88,293100
2000-02-24,24.88,24.88,23.31,24.56,461800
2000-02-25,24.63,24.94,22.25,22.94,394600
2000-02-28,23.38,25.19,22.88,24.75,521500
2000-02-29,24.5,24.94,23.69,24.69,317600
2000-03-01,24.63,25.0,23.5,24.94,254000
2000-03-02,25.0,25.0,23.94,24.56,394900
2000-03-03,24.19,24.94,23.69,24.5,201400
2000-03-06,24.06,24.06,22.75,22.94,346200
2000-03-07,22.56,23.13,21.75,22.06,323000
2000-03-08,21.25,22.5,20.94,22.19,452100
2000-03-09,21.94,23.88,21.69,23.88,528400
2000-03-10,23.63,23.69,22.13,23.06,349400
2000-03-13,23.0,23.25,22.44,23.13,342100
2000-03-14,22.69,23.34,22.25,23.0,438100
2000-03-15,22.88,23.88,22.5,23.88,714500
2000-03-16,24.0,27.63,24.0,26.88,448200
2000-03-17,25.75,25.88,25.0,25.5,530800
2000-03-20,25.69,25.94,24.88,25.0,307900
2000-03-21,25.0,25.38,24.38,25.0,280200
2000-03-22,25.25,25.25,24.56,24.94,522800
2000-03-23,24.38,25.56,24.06,25.13,211800
2000-03-24,25.13,25.13,24.31,25.0,253500
2000-03-27,25.0,25.0,24.0,24.88,304800
2000-03-28,24.69,25.13,24.25,24.63,242500
2000-03-29,24.75,25.0,23.88,24.94,160800
2000-03-30,25.06,25.06,24.06,24.69,218700
2000-03-31,24.13,24.88,23.75,24.06,386000
2000-04-03,24.5,25.19,24.06,24.06,286000
2000-04-04,24.44,25.38,24.06,24.88,332300
2000-04-05,25.06,25.38,24.06,24.25,186400
2000-04-06,24.5,25.25,24.06,25.06,219300
2000-04-07,25.13,25.5,24.06,24.13,230900
2000-04-10,24.5,24.75,23.63,24.06,170100
2000-04-11,24.5,26.56,24.38,26.5,597100
2000-04-12,26.5,27.63,26.44,27.13,374100
2000-04-13,26.75,27.81,26.38,27.0,264000
2000-04-14,26.88,27.06,25.88,26.25,370400
2000-04-17,26.38,26.56,25.06,26.31,255700
2000-04-18,26.06,26.94,25.63,26.31,238400
2000-04-19,26.06,26.69,25.63,26.25,113800
2000-04-20,26.19,26.5,25.13,26.25,190500
2000-04-24,26.94,27.63,26.75,27.44,209300
2000-04-25,27.25,29.63,27.25,29.63,392800
2000-04-26,29.38,29.38,27.69,28.31,264400
2000-04-27,28.31,28.75,28.0,28.19,372400
2000-04-28,28.19,28.81,28.0,28.25,404400
2000-05-01,28.13,30.38,28.06,29.75,376500
2000-05-02,29.63,29.63,28.38,28.69,242200
2000-05-03,28.75,29.0,28.44,28.75,328500
2000-05-04,29.0,29.75,28.44,28.63,290800
2000-05-05,28.63,28.88,28.31,28.63,329500
2000-05-08,28.88,29.5,28.0,28.25,290600
2000-05-09,28.56,29.0,28.31,28.88,273300
2000-05-10,28.88,29.06,28.63,28.88,112000
2000-05-11,28.75,29.44,28.63,29.0,533100
2000-05-12,28.94,29.38,28.75,29.0,262600
2000-05-15,29.13,30.13,29.0,29.19,304400
2000-05-16,29.56,29.94,29.25,29.63,128800
2000-05-17,29.19,29.25,28.25,28.75,268100
2000-05-18,28.94,29.31,28.69,29.13,146600
2000-05-19,29.0,29.19,28.63,28.69,228200
2000-05-22,28.94,28.94,28.5,28.75,127200
2000-05-23,28.81,29.75,28.75,29.25,151400
2000-05-24,29.63,30.5,29.56,30.19,258400
2000-05-25,29.94,30.19,28.75,29.0,199800
2000-05-26,29.0,29.63,28.63,28.88,175600
2000-05-30,28.75,28.94,28.31,28.81,315700
2000-05-31,29.06,29.5,28.63,28.69,298300
2000-06-01,28.63,30.0,28.44,29.88,382900
2000-06-02,30.38,31.25,29.94,30.06,529200
2000-06-05,30.13,30.13,28.56,28.69,191000
2000-06-06,28.63,28.63,27.81,27.94,502900
2000-06-07,27.88,28.94,27.75,28.63,525200
2000-06-08,28.88,29.0,26.75,27.38,347000
2000-06-09,27.63,28.0,27.0,27.0,272300
2000-06-12,26.75,27.13,26.56,26.56,188500
2000-06-13,26.69,26.69,25.94,26.19,296700
2000-06-14,26.19,26.5,26.0,26.13,429000
2000-06-15,26.38,26.5,25.06,25.31,534800
2000-06-16,24.81,26.13,24.81,25.81,380500
2000-06-19,26.06,26.31,24.06,24.06,441900
2000-06-20,24.56,24.94,24.06,24.06,272200
2000-06-21,24.5,24.56,23.25,23.44,238800
2000-06-22,23.19,23.94,23.13,23.56,255500
2000-06-23,23.81,23.88,22.88,23.5,145200
2000-06-26,23.63,24.5,23.63,24.06,190400
2000-06-27,24.06,25.0,23.56,24.06,377200
2000-06-28,24.06,24.25,23.44,23.58,276800
2000-06-29,23.5,25.25,23.25,25.0,326200
2000-06-30,24.75,24.81,23.56,23.81,463500
2000-07-03,23.75,24.0,23.56,23.81,158700
2000-07-05,24.06,24.88,23.75,24.31,252300
2000-07-06,24.81,25.25,24.44,24.75,376400
2000-07-07,24.63,26.56,24.38,26.5,309100
2000-07-10,26.94,27.81,25.38,25.38,466600
2000-07-11,25.13,26.81,24.88,26.56,360900
2000-07-12,26.56,26.88,25.25,25.38,307300
2000-07-13,25.13,25.31,24.69,24.75,329800
2000-07-14,24.75,25.06,24.19,24.5,317200
2000-07-17,24.38,25.69,24.38,25.56,246800
2000-07-18,26.0,26.25,25.69,26.19,319000
2000-07-19,26.19,26.44,25.31,25.56,153300
2000-07-20,25.31,25.75,24.88,25.56,187100
2000-07-21,25.44,25.5,24.44,24.44,145100
2000-07-24,24.19,24.19,23.44,23.88,261300
2000-07-25,23.94,24.56,23.06,23.06,297000
2000-07-26,23.0,23.44,22.06,22.06,431400
2000-07-27,22.44,22.69,22.19,22.38,302900
2000-07-28,22.63,22.63,22.0,22.06,127700
2000-07-31,22.06,22.38,21.81,22.0,273300
2000-08-01,22.25,22.5,22.0,22.0,181300
2000-08-02,22.38,23.38,22.31,22.88,254600
2000-08-03,22.63,23.25,22.06,22.06,178200
2000-08-04,22.0,23.13,21.94,22.69,188900
2000-08-07,22.63,24.13,22.5,23.44,274000
2000-08-08,23.63,24.13,23.38,23.75,141600
2000-08-09,23.5,23.94,22.81,23.5,139200
2000-08-10,23.75,23.94,22.75,22.81,76900
2000-08-11,23.0,23.5,22.81,23.0,97100
2000-08-14,23.31,23.88,23.13,23.38,118700
2000-08-15,23.25,23.38,23.0,23.06,113100
2000-08-16,23.0,23.13,22.56,23.06,107000
2000-08-17,23.0,24.13,22.94,23.5,190800
2000-08-18,23.31,23.63,22.69,22.81,178200
2000-08-21,22.63,22.94,22.06,22.94,109000
2000-08-22,23.13,23.31,22.88,23.25,110600
2000-08-23,23.31,23.88,23.25,23.25,134900
2000-08-24,23.06,23.94,23.06,23.56,122500
2000-08-25,23.5,23.81,22.88,23.31,141100
2000-08-28,23.56,23.69,23.0,23.19,238400
2000-08-29,23.13,23.31,22.56,22.69,320800
2000-08-30,22.44,23.19,22.31,23.06,232100
2000-08-31,22.94,23.25,22.75,22.88,189300
2000-09-01,22.94,23.81,22.88,23.56,212300
2000-09-05,23.56,24.31,23.56,23.88,138100
2000-09-06,23.69,24.0,23.5,24.0,373900
2000-09-07,23.88,24.38,23.81,24.38,253800
2000-09-08,24.38,24.94,24.38,24.81,244600
2000-09-11,24.75,24.94,24.31,24.81,276600
2000-09-12,24.63,25.56,24.63,25.56,175200
2000-09-13,25.13,25.75,25.0,25.5,257000
2000-09-14,25.5,25.5,24.94,25.06,162700
2000-09-15,25.0,25.25,24.81,24.94,356500
2000-09-18,25.19,25.19,24.13,24.81,275600
2000-09-19,24.81,24.94,24.19,24.25,295100
2000-09-20,24.38,24.44,23.81,24.0,231300
2000-09-21,24.06,25.88,23.94,24.75,366100
2000-09-22,25.0,25.38,24.06,25.19,207500
2000-09-25,25.06,25.06,23.81,24.0,505300
2000-09-26,24.25,24.94,24.13,24.69,393200
2000-09-27,24.56,25.31,24.5,24.88,189200
2000-09-28,25.06,25.19,24.56,24.69,135000
2000-09-29,24.63,25.0,24.56,24.69,310000
2000-10-02,24.5,24.81,24.44,24.69,422100
2000-10-03,24.69,25.0,24.5,24.75,229900
2000-10-04,24.88,25.25,24.63,24.63,126300
2000-10-05,24.63,26.13,24.56,26.0,195900
2000-10-06,25.94,26.0,25.0,25.19,172100
2000-10-09,25.44,25.63,24.31,24.63,120800
2000-10-10,24.56,25.25,24.56,24.69,101000
2000-10-11,24.56,24.63,23.56,23.88,289200
2000-10-12,23.63,23.63,22.69,23.25,228700
2000-10-13,22.88,23.63,22.63,23.13,370900
2000-10-16,22.94,23.81,22.94,23.81,134700
2000-10-17,23.75,23.75,22.63,23.06,109700
2000-10-18,23.06,23.13,22.5,22.75,108500
2000-10-19,22.5,25.75,22.5,25.75,298000
2000-10-20,25.38,25.38,24.5,24.5,232400
2000-10-23,24.5,25.0,24.25,24.5,164100
2000-10-24,24.5,25.31,24.31,25.31,162000
2000-10-25,25.44,25.44,24.56,24.94,131900
2000-10-26,24.69,25.38,24.31,24.81,200200
2000-10-27,24.81,25.88,24.56,25.81,205900
2000-10-30,25.88,27.19,25.63,27.06,185700
2000-10-31,26.88,27.56,26.63,27.31,215600
2000-11-01,27.06,27.5,26.69,27.13,152600
2000-11-02,26.94,28.5,26.88,28.44,184100
2000-11-03,28.25,28.25,27.5,28.19,180600
2000-11-06,28.0,28.5,27.88,28.19,139200
2000-11-07,28.0,28.19,27.56,28.0,99200
2000-11-08,27.81,28.88,27.75,28.69,180700
2000-11-09,28.75,29.0,27.81,28.69,162500
2000-11-10,28.88,28.88,26.69,27.56,184400
2000-11-13,27.31,28.56,27.31,28.5,136100
2000-11-14,28.19,28.56,27.63,28.25,147600
2000-11-15,28.44,28.63,27.69,27.88,157200
2000-11-16,28.06,28.88,27.56,27.88,138400
2000-11-17,27.75,28.69,27.44,28.31,201500
2000-11-20,28.38,28.69,27.56,28.13,153100
2000-11-21,28.0,28.0,27.0,27.19,160100
2000-11-22,27.19,27.19,26.0,26.38,141200
2000-11-24,26.63,27.13,26.56,26.88,74600
2000-11-27,26.88,28.31,26.88,27.63,163800
2000-11-28,27.75,28.19,27.56,28.0,171200
2000-11-29,28.06,28.56,28.0,28.25,158000
2000-11-30,28.38,28.56,26.75,26.94,294000
2000-12-01,27.19,29.63,27.19,29.44,271300
2000-12-04,29.3,30.36,29.29,29.36,272800
2000-12-05,29.6,29.98,29.47,29.93,159300
2000-12-06,29.7,30.59,29.7,30.12,331500
2000-12-07,29.95,30.2,29.68,30.0,149000
2000-12-08,29.8,30.72,29.66,30.35,196300
2000-12-11,30.25,30.65,29.8,30.33,180200
2000-12-12,30.0,30.85,29.83,30.7,230400
2000-12-13,30.95,30.99,30.33,30.68,176800
2000-12-14,30.68,31.88,30.52,31.66,220700
2000-12-15,32.5,33.0,32.25,32.9,704300
2000-12-18,33.05,34.24,32.7,33.65,595500
2000-12-19,33.65,34.9,33.6,34.77,356000
2000-12-20,34.77,35.65,34.23,35.15,228500
2000-12-21,35.01,35.35,34.65,34.75,346700
2000-12-22,34.25,35.21,34.06,35.12,234400
2000-12-26,35.0,35.99,35.0,35.96,139000
2000-12-27,35.96,36.4,35.69,36.39,244700
2000-12-28,36.14,36.7,35.7,36.56,332800
2000-12-29,36.81,36.9,36.0,36.24,256600
2001-01-02,35.99,36.18,35.08,35.11,274000
2001-01-03,35.12,35.95,34.22,35.87,457600
2001-01-04,35.87,36.64,35.41,36.54,484900
2001-01-05,36.74,36.74,35.55,35.56,156500
2001-01-08,35.56,36.93,35.41,36.75,229400
2001-01-09,36.74,36.74,35.85,36.25,178900
2001-01-10,35.75,35.83,34.85,35.33,257800
2001-01-11,35.33,35.33,33.95,34.11,361100
2001-01-12,34.2,35.04,33.81,34.46,315200
2001-01-16,34.21,35.88,34.12,35.66,174100
2001-01-17,35.76,35.99,35.4,35.63,164500
2001-01-18,35.63,36.25,35.58,35.85,122500
2001-01-19,35.51,35.56,33.23,33.51,303600
2001-01-22,33.51,34.62,33.2,33.82,248800
2001-01-23,34.0,34.42,33.76,33.91,166200
2001-01-24,33.9,34.09,33.32,33.58,201600
2001-01-25,33.08,33.9,32.79,33.58,472400
2001-01-26,33.2,33.7,33.15,33.39,240200
2001-01-29,33.38,34.4,33.38,34.24,140500
2001-01-30,34.0,34.7,33.9,34.37,133500
2001-01-31,34.37,35.44,34.32,34.86,162700
2001-02-01,35.06,35.28,34.77,34.96,96100
2001-02-02,35.2,35.5,34.85,34.88,156100
2001-02-05,35.2,35.29,34.4,34.89,125300
2001-02-06,34.95,35.82,34.92,35.77,209400
2001-02-07,35.4,35.85,34.58,35.71,210900
2001-02-08,35.96,35.96,34.63,35.18,177400
2001-02-09,34.93,35.2,34.38,34.4,110300
2001-02-12,34.65,35.36,34.26,35.2,204200
2001-02-13,35.45,36.24,35.2,36.14,274700
2001-02-14,35.9,35.95,35.58,35.89,177500
2001-02-15,35.55,35.79,35.44,35.71,124900
2001-02-16,35.7,35.9,35.45,35.84,194600
2001-02-20,36.2,36.65,35.72,35.75,257100
2001-02-21,35.76,35.76,34.1,34.14,205800
2001-02-22,34.15,35.16,34.0,34.8,155200
2001-02-23,35.0,35.39,34.73,35.14,178200
2001-02-26,35.15,36.34,34.92,35.81,296200
2001-02-27,35.81,35.96,34.81,35.26,327000
2001-02-28,35.34,36.12,35.05,36.09,238400
2001-03-01,35.67,35.67,34.53,34.71,285500
2001-03-02,34.71,35.43,34.34,35.18,188100
2001-03-05,35.17,35.17,34.35,35.05,171400
2001-03-06,34.9,35.99,34.8,35.56,127400
2001-03-07,35.43,36.13,35.3,36.06,170500
2001-03-08,36.18,36.5,36.0,36.5,128300
2001-03-09,36.4,36.5,35.7,36.29,105700
2001-03-12,36.53,36.53,35.73,35.76,137600
2001-03-13,35.76,35.76,34.1,35.28,174700
2001-03-14,35.13,35.67,33.77,34.14,167600
2001-03-15,34.2,35.3,33.95,35.11,181800
2001-03-16,34.25,35.16,34.25,34.74,331000
2001-03-19,35.2,35.98,35.0,35.39,278500
2001-03-20,35.45,36.6,35.36,35.7,191100
2001-03-21,35.6,35.92,35.26,35.34,192600
2001-03-22,34.87,34.87,33.6,33.9,225100
2001-03-23,33.65,34.65,33.31,34.6,218800
2001-03-26,34.64,35.86,34.64,35.35,147500
2001-03-27,35.55,35.7,34.44,35.43,245400
2001-03-28,35.2,35.63,34.5,35.08,192000
2001-03-29,35.0,35.6,34.75,35.44,131100
2001-03-30,35.5,35.5,34.51,35.0,224600
2001-04-02,34.85,35.88,34.76,35.83,506300
2001-04-03,35.93,35.93,34.29,34.51,200900
2001-04-04,34.21,35.72,34.21,35.44,131800
2001-04-05,35.3,36.19,35.3,36.15,150300
2001-04-06,36.2,37.01,35.73,37.01,328100
2001-04-09,37.41,39.11,37.41,38.84,595100
2001-04-10,39.5,39.84,37.9,38.29,384300
2001-04-11,38.0,38.0,36.85,37.2,246500
2001-04-12,37.2,37.56,36.1,37.56,219800
2001-04-16,37.5,38.5,37.07,37.28,173800
2001-04-17,37.4,38.41,37.35,38.41,186500
2001-04-18,38.8,40.4,38.78,39.66,268000
2001-04-19,39.66,39.66,38.9,39.55,181600
2001-04-20,39.55,39.6,37.9,38.45,156100
2001-04-23,38.75,39.6,38.6,39.18,154900
2001-04-24,38.48,38.95,38.0,38.89,481100
2001-04-25,38.74,39.6,38.1,39.59,213700
2001-04-26,39.5,40.1,39.35,39.96,231500
2001-04-27,40.05,41.17,40.05,40.63,268900
2001-04-30,40.43,40.6,39.6,40.59,391700
2001-05-01,40.59,41.07,40.35,40.83,213400
2001-05-02,40.84,41.13,40.4,40.77,212400
2001-05-03,40.64,40.88,40.24,40.49,183800
2001-05-04,40.75,41.75,40.5,41.32,317300
2001-05-07,41.0,41.38,40.87,40.95,175800
2001-05-08,40.9,40.91,40.14,40.25,229400
2001-05-09,40.4,40.41,39.8,40.03,194600
2001-05-10,40.02,41.4,40.0,40.94,268500
2001-05-11,40.98,40.99,40.05,40.83,146500
2001-05-14,40.7,40.98,40.45,40.57,126800
2001-05-15,40.55,41.04,40.3,40.85,126700
2001-05-16,40.0,41.49,40.0,41.46,236300
2001-05-17,41.47,41.59,40.6,40.95,256400
2001-05-18,40.95,41.16,40.7,41.16,204500
2001-05-21,41.16,41.35,41.05,41.34,150000
2001-05-22,41.35,42.0,41.34,41.9,280500
2001-05-23,41.99,41.99,41.6,41.97,326900
2001-05-24,41.99,42.0,41.4,41.98,175600
2001-05-25,42.0,42.0,41.4,41.9,193300
2001-05-29,41.9,42.7,41.9,41.99,262100
2001-05-30,42.19,42.39,40.86,41.04,258400
2001-05-31,41.04,41.36,40.8,41.36,196100
2001-06-01,41.5,41.85,41.08,41.75,126000
2001-06-04,41.8,41.85,41.08,41.38,122800
2001-06-05,41.48,41.88,40.99,41.12,224700
2001-06-06,40.86,41.0,40.3,40.6,259500
2001-06-07,40.61,40.75,39.9,40.2,178400
2001-06-08,40.16,40.17,39.0,39.75,228400
2001-06-11,39.95,39.95,38.0,38.32,370600
2001-06-12,38.5,38.5,37.0,37.19,392400
2001-06-13,37.25,38.18,37.0,37.7,443700
2001-06-14,37.87,37.99,36.41,36.48,309700
2001-06-15,36.85,37.25,36.52,36.87,562900
2001-06-18,37.3,37.4,36.86,36.86,741900
2001-06-19,36.5,37.3,36.5,37.0,322300
2001-06-20,37.0,37.38,36.96,36.98,307500
2001-06-21,37.1,37.5,37.0,37.05,462300
2001-06-22,37.2,37.2,36.3,36.36,185400
2001-06-25,36.36,37.5,36.0,36.05,251700
2001-06-26,36.0,36.26,35.8,35.95,326500
2001-06-27,36.0,36.17,35.41,35.42,149100
2001-06-28,35.5,36.8,35.45,36.11,150000
2001-06-29,35.9,37.05,35.7,36.38,238100
2001-07-02,36.5,36.93,36.2,36.39,276600
2001-07-03,36.25,36.38,35.77,36.28,88300
2001-07-05,36.28,36.28,35.35,35.72,224400
2001-07-06,35.65,35.65,34.72,35.0,230800
2001-07-09,34.9,35.2,34.7,35.05,178400
2001-07-10,35.06,35.79,34.84,35.35,203800
2001-07-11,35.45,36.0,35.4,35.8,210900
2001-07-12,36.0,36.71,35.9,36.3,293500
2001-07-13,36.35,36.75,36.1,36.53,187100
2001-07-16,36.53,37.41,36.51,37.39,245400
2001-07-17,37.35,37.35,36.95,36.95,146600
2001-07-18,37.45,39.19,37.4,39.19,426100
2001-07-19,39.4,39.85,39.13,39.26,351600
2001-07-20,39.27,39.95,39.04,39.29,172100
2001-07-23,39.93,39.93,39.09,39.1,491000
2001-07-24,39.1,39.2,38.3,38.32,101600
2001-07-25,38.2,38.59,37.7,38.53,202600
2001-07-26,38.33,38.33,37.41,37.72,183600
2001-07-27,37.75,37.84,36.4,36.51,203200
2001-07-30,36.61,37.07,36.3,36.7,188200
2001-07-31,36.6,37.2,36.6,36.61,242500
2001-08-01,36.4,36.41,35.73,36.28,379900
2001-08-02,36.2,37.0,35.9,36.91,226300
2001-08-03,36.9,36.92,36.49,36.83,154400
2001-08-06,37.0,37.0,35.97,35.98,76800
2001-08-07,35.9,36.02,35.1,35.6,364200
2001-08-08,35.4,36.2,35.4,35.65,211500
2001-08-09,35.55,36.4,35.55,36.21,154100
2001-08-10,36.1,36.86,35.76,36.59,135700
2001-08-13,36.55,36.86,36.17,36.73,153500
2001-08-14,36.63,37.1,36.59,36.82,76200
2001-08-15,36.9,37.35,36.74,37.3,109700
2001-08-16,37.3,37.3,36.17,36.28,225800
2001-08-17,36.08,36.18,35.4,35.64,194200
2001-08-20,36.0,36.1,35.45,35.73,262400
2001-08-21,35.95,36.41,35.9,36.09,198900
2001-08-22,35.29,35.29,32.59,34.15,1248900
2001-08-23,33.9,34.15,33.5,33.8,639200
2001-08-24,33.9,34.35,33.85,34.15,234800
2001-08-27,34.1,34.24,33.95,34.08,204500
2001-08-28,34.08,34.19,33.7,33.71,418200
2001-08-29,33.8,34.1,33.76,34.0,384100
2001-08-30,34.01,34.01,33.6,33.69,272500
2001-08-31,33.69,34.7,33.6,34.57,238100
2001-09-04,34.4,35.35,34.4,34.44,257500
2001-09-05,34.04,34.5,33.36,33.94,224200
2001-09-06,33.46,33.6,32.55,32.63,365900
2001-09-07,32.5,32.75,32.0,32.0,465400
2001-09-10,32.0,33.2,31.9,32.68,414600
2001-09-17,31.5,31.61,30.81,30.81,603600
2001-09-18,31.0,31.5,30.9,31.07,426300
2001-09-19,31.56,31.56,30.58,31.32,310700
2001-09-20,31.3,31.3,29.76,29.76,466200
2001-09-21,29.7,29.7,28.9,29.45,503000
2001-09-24,31.79,31.79,29.45,31.71,487100
2001-09-25,31.71,31.75,30.16,30.5,488300
2001-09-26,30.3,30.3,28.92,29.08,549200
2001-09-27,29.15,29.15,28.32,28.75,320700
2001-09-28,29.1,29.85,28.3,29.27,456700
2001-10-01,29.23,29.49,28.56,28.61,315600
2001-10-02,28.6,29.85,28.19,29.52,357000
2001-10-03,31.95,31.95,28.15,31.72,784900
2001-10-04,32.4,32.4,31.45,31.76,413600
2001-10-05,31.75,31.75,30.95,31.33,439600
2001-10-08,31.45,31.45,30.9,31.01,175700
2001-10-09,31.1,31.1,30.75,31.01,121500
2001-10-10,30.94,32.27,30.75,32.25,396300
2001-10-11,32.3,34.09,32.3,33.61,363500
2001-10-12,33.5,33.5,32.02,32.98,242100
