Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,28.625,29.3125,28.5,29.25,20.682384490966797,585000
2000-01-03,28.5,28.6875,27.75,28.5625,20.196260452270508,2095900
2000-01-04,27.8125,28.375,27.125,27.5,19.444976806640625,1709100
2000-01-05,27.75,27.9375,27.3125,27.8125,19.66594123840332,2167800
2000-01-06,27.6875,27.875,26.875,27.0,19.09144401550293,2595400
2000-01-07,27.0625,27.75,26.375,27.6875,19.577556610107422,3629900
2000-01-10,27.5625,28.875,27.25,28.5,20.152061462402344,3296100
2000-01-11,28.875,30.0,28.625,29.625,20.947546005249023,3499800
2000-01-12,30.0,30.375,29.6875,30.25,21.38947296142578,2062800
2000-01-13,30.0,30.625,29.625,30.1875,21.345277786254883,2092100
2000-01-14,29.625,29.875,29.25,29.4375,20.81496238708496,2048700
2000-01-18,29.0,29.5,28.6875,29.25,20.682384490966797,1563000
2000-01-19,29.5,30.375,29.3125,30.1875,21.345277786254883,1985000
2000-01-20,30.25,30.8125,29.8125,30.1875,21.345277786254883,2603900
2000-01-21,30.9375,30.9375,29.75,29.9375,21.168506622314453,2091200
2000-01-24,30.125,30.25,28.75,29.0,20.5056209564209,1712600
2000-01-25,29.1875,29.375,28.1875,28.4375,20.107877731323242,1878800
2000-01-26,27.5,29.3125,27.4375,29.25,20.682384490966797,1614400
2000-01-27,29.5,29.625,28.1875,29.125,20.593990325927734,1420800
2000-01-28,28.25,29.25,28.0625,28.8125,20.373029708862305,1694200
2000-01-31,28.75,28.75,27.625,27.9375,19.75433349609375,2400900
2000-02-01,27.6875,29.0,27.0625,28.8125,20.373029708862305,1820000
2000-02-02,28.4375,29.375,28.1875,28.9375,20.46142578125,1361200
2000-02-03,28.25,29.125,28.25,28.875,20.417224884033203,1603300
2000-02-04,29.125,29.5,29.0,29.1875,20.63819122314453,1313000
2000-02-07,28.625,29.0,28.4375,28.9375,20.46142578125,1358300
2000-02-08,29.25,30.125,28.8125,30.125,21.301088333129883,2262300
2000-02-09,30.0,30.25,29.625,29.9375,21.168506622314453,1424300
2000-02-10,29.9375,30.625,29.875,30.625,21.654638290405273,1878600
2000-02-11,30.375,30.4375,29.5625,29.625,20.947546005249023,1228000
2000-02-14,29.5,29.8125,28.9375,29.8125,21.080116271972656,966100
2000-02-15,29.625,29.75,28.25,28.5,20.152061462402344,1606600
2000-02-16,28.1875,28.3125,27.125,27.5,19.46820640563965,1423500
2000-02-17,27.25,27.625,26.375,27.375,19.379711151123047,1777700
2000-02-18,27.0,27.0,25.9375,26.1875,18.539031982421875,2071400
2000-02-22,25.5,26.5,25.0,26.25,18.583280563354492,1944300
2000-02-23,25.625,26.9375,25.25,26.75,18.937252044677734,2285400
2000-02-24,26.75,26.9375,25.75,26.0625,18.450550079345703,2963300
2000-02-25,26.0625,26.3125,25.5,26.125,18.494792938232422,3820600
2000-02-28,26.1875,26.625,25.125,26.4375,18.716022491455078,2129900
2000-02-29,26.5625,26.5625,25.75,25.8125,18.273569107055664,2776400
2000-03-01,25.875,25.875,25.1875,25.625,18.140832901000977,2720100
2000-03-02,25.125,25.25,24.5,24.6875,17.47713279724121,3261000
2000-03-03,24.5625,24.9375,24.1875,24.515625,17.35546112060547,3165100
2000-03-06,24.5,24.5,23.75,24.25,17.167409896850586,2400600
2000-03-07,24.125,24.125,22.0625,22.75,16.10552215576172,3522300
2000-03-08,22.75,25.0,22.6875,24.875,17.609867095947266,2763600
2000-03-09,24.875,25.875,24.8125,25.625,18.140832901000977,2244200
2000-03-10,25.375,25.375,24.4375,24.5,17.34440040588379,1667100
2000-03-13,23.375,25.125,23.3125,25.0625,17.742616653442383,2111800
2000-03-14,25.0625,25.3125,24.5625,25.0,17.698368072509766,2657900
2000-03-15,24.875,26.25,24.8125,26.0,18.406301498413086,2433100
2000-03-16,26.625,27.75,26.5,27.5,19.46820640563965,3862900
2000-03-17,27.75,28.4375,27.625,27.9375,19.777925491333008,3082500
2000-03-20,28.0,28.0625,27.1875,28.0,19.822166442871094,1508700
2000-03-21,27.75,28.375,27.25,28.0,19.822166442871094,1785300
2000-03-22,27.5,28.0,27.0,27.9375,19.777925491333008,2592100
2000-03-23,27.25,27.3125,26.9375,27.1875,19.246965408325195,2187200
2000-03-24,27.0,28.4375,26.8125,28.0,19.822166442871094,2561700
2000-03-27,26.5,26.5625,25.75,26.4375,18.716022491455078,5142700
2000-03-28,26.375,27.1875,26.25,26.625,18.848756790161133,2953600
2000-03-29,26.6875,27.5,25.9375,26.0,18.406301498413086,3251000
2000-03-30,26.0625,26.0625,24.875,25.125,17.786861419677734,4160000
2000-03-31,25.4375,26.125,24.75,25.75,18.229312896728516,7764900
2000-04-03,26.0,26.0625,25.0,25.4375,18.008087158203125,2710800
2000-04-04,26.0,27.125,25.375,26.75,18.937252044677734,5429700
2000-04-05,26.75,27.4375,26.375,26.9375,19.069992065429688,2186700
2000-04-06,26.8125,27.125,26.3125,26.5625,18.804519653320312,1936800
2000-04-07,26.5625,26.6875,26.4375,26.546875,18.793453216552734,1806900
2000-04-10,26.5,27.375,26.5,27.25,19.291221618652344,2394400
2000-04-11,27.4375,28.0625,27.0625,27.375,19.379711151123047,2921300
2000-04-12,27.25,29.5,27.25,28.25,19.999147415161133,3910300
2000-04-13,28.9375,29.5,27.875,27.875,19.733680725097656,2973600
2000-04-14,27.75,27.875,26.25,26.3125,18.627532958984375,3525800
2000-04-17,26.3125,27.9375,25.5625,27.75,19.645183563232422,3075700
2000-04-18,27.5,27.625,26.75,27.5,19.46820640563965,1767500
2000-04-19,27.4375,27.8125,27.0625,27.5,19.46820640563965,1394300
2000-04-20,27.8125,28.125,27.75,28.0625,19.866418838500977,1515700
2000-04-24,27.875,28.875,27.875,28.75,20.353116989135742,1458600
2000-04-25,28.75,29.375,28.125,29.1875,20.662837982177734,2128200
2000-04-26,29.1875,29.1875,28.625,29.0625,20.574344635009766,1898800
2000-04-27,28.9375,29.0,28.0,28.75,20.353116989135742,1504000
2000-04-28,28.6875,28.75,28.0625,28.125,19.910663604736328,1397800
2000-05-01,27.6875,28.75,27.5,28.0625,19.866418838500977,1938700
2000-05-02,28.0625,29.0,27.9375,28.875,20.441612243652344,2535100
2000-05-03,28.125,28.125,25.75,26.5,18.760263442993164,3501400
2000-05-04,27.0,27.0625,26.1875,26.1875,18.539031982421875,1621400
2000-05-05,26.25,27.5,26.0,26.625,18.848756790161133,1475800
2000-05-08,26.75,28.25,26.125,28.125,19.910663604736328,1386600
2000-05-09,28.125,28.1875,27.5,27.875,19.733680725097656,1252600
2000-05-10,28.0,28.8125,27.8125,28.5,20.176136016845703,3514200
2000-05-11,28.5,29.5625,28.1875,29.125,20.61859703063965,2864100
2000-05-12,29.0,29.0625,28.0625,28.15625,19.93277931213379,1425100
2000-05-15,28.125,29.375,28.0625,28.3125,20.043399810791016,1987900
2000-05-16,28.1875,28.75,27.875,28.4375,20.131885528564453,1555300
2000-05-17,27.875,28.3125,27.625,28.25,20.023088455200195,1547800
2000-05-18,28.0,28.3125,27.9375,28.125,19.93449592590332,1264000
2000-05-19,27.4375,28.1875,27.4375,27.8125,19.71299934387207,1260600
2000-05-22,27.9375,28.0,26.9375,27.5,19.49151611328125,1023900
2000-05-23,27.375,27.6875,27.0,27.5,19.49151611328125,990400
2000-05-24,27.375,27.5,26.625,27.0,19.137109756469727,2055300
2000-05-25,27.75,28.25,27.5,27.9375,19.801605224609375,1874800
2000-05-26,27.9375,28.5,27.875,28.0,19.84589958190918,1500100
2000-05-30,28.0,28.0625,27.625,27.9375,19.801605224609375,1155000
2000-05-31,27.8125,28.6875,27.625,28.375,20.11168098449707,1701000
2000-06-01,28.375,29.125,28.3125,29.0,20.55467987060547,1722800
2000-06-02,28.9375,29.625,28.9375,29.375,20.82048225402832,2130900
2000-06-05,29.375,29.5,28.375,28.6875,20.333189010620117,983500
2000-06-06,28.625,28.6875,27.8125,28.25,20.023088455200195,1097500
2000-06-07,27.875,27.9375,27.5,27.5625,19.535804748535156,1023500
2000-06-08,27.5,28.0,26.75,28.0,19.84589958190918,1452100
2000-06-09,28.25,28.6875,28.1875,28.6875,20.333189010620117,994200
2000-06-12,28.5625,28.75,28.0625,28.28125,20.045246124267578,1085600
2000-06-13,28.375,28.5625,28.0,28.375,20.11168098449707,1113900
2000-06-14,28.375,28.9375,28.0625,28.8125,20.421785354614258,1233300
2000-06-15,28.875,29.4375,28.6875,29.1875,20.687576293945312,1795000
2000-06-16,28.25,29.125,28.25,28.75,20.37748908996582,2117000
2000-06-19,28.75,29.1875,28.3125,29.125,20.643278121948242,944600
2000-06-20,28.3125,28.5,27.8125,28.0,19.84589958190918,1437400
2000-06-21,28.0,28.375,27.6875,28.0,19.84589958190918,882400
2000-06-22,28.25,28.3125,27.75,28.0625,19.890195846557617,1197500
2000-06-23,28.1875,28.5,27.875,28.5,20.200288772583008,1434100
2000-06-26,28.9375,29.125,28.0625,29.0625,20.59898567199707,1526400
2000-06-27,29.375,30.0625,29.25,30.0,21.263465881347656,4082100
2000-06-28,30.0,30.4375,29.6875,29.78125,21.108417510986328,2443600
2000-06-29,29.3125,30.625,29.125,30.0625,21.307762145996094,2476600
2000-06-30,30.5,32.296875,30.4375,32.1875,22.813919067382812,3311400
2000-07-03,31.6875,32.1875,31.3125,31.75,22.50383186340332,1012700
2000-07-05,32.25,32.25,29.0,30.0,21.263465881347656,4257000
2000-07-06,30.375,31.625,30.125,31.625,22.41523551940918,2525100
2000-07-07,31.75,32.5,31.375,32.3125,22.902517318725586,2012000
2000-07-10,32.125,33.5,31.9375,32.625,23.12401008605957,2224900
2000-07-11,33.125,33.5,32.9375,33.375,23.655601501464844,1727300
2000-07-12,33.25,33.375,31.75,32.625,23.12401008605957,1685400
2000-07-13,32.3125,32.3125,30.8125,30.9375,21.927940368652344,2067500
2000-07-14,30.4375,31.5625,30.4375,31.25,22.149431228637695,1884000
2000-07-17,31.125,31.6875,30.9375,31.21875,22.12729263305664,1946900
2000-07-18,30.875,31.5,30.8125,31.1875,22.10513687133789,1306700
2000-07-19,31.125,31.375,31.0,31.3125,22.193735122680664,984400
2000-07-20,31.375,31.6875,30.875,31.625,22.41523551940918,1246700
2000-07-21,31.6875,32.0625,31.5625,32.0,22.681026458740234,1645200
2000-07-24,32.0625,32.25,31.1875,31.3125,22.193735122680664,1334000
2000-07-25,31.5,31.5,30.5625,31.1875,22.10513687133789,1071400
2000-07-26,31.0,31.25,30.625,30.8125,21.839353561401367,1683600
2000-07-27,31.5,31.9375,31.375,31.8125,22.548126220703125,1264000
2000-07-28,32.0,32.0,31.25,31.625,22.41523551940918,2421100
2000-07-31,31.375,31.6875,30.875,31.1875,22.10513687133789,2472300
2000-08-01,31.3125,31.3125,30.1875,30.9375,21.927940368652344,2334300
2000-08-02,30.625,31.3125,30.5625,31.3125,22.193735122680664,1320200
2000-08-03,31.6875,31.8125,30.8125,31.0625,22.016542434692383,1784000
2000-08-04,31.0625,32.1875,30.8125,32.0,22.681026458740234,1712200
2000-08-07,31.9375,32.375,31.6875,31.875,22.59242820739746,1552800
2000-08-08,32.1875,32.875,32.0,32.875,23.301212310791016,1621700
2000-08-09,32.5625,32.6875,31.8125,32.25,22.858219146728516,1410600
2000-08-10,32.1875,32.375,32.0625,32.125,22.76962661743164,967000
