,open,high,low,close,volume
2015-06-24,63.45,63.45,63.38,63.38,3300
2015-06-25,62.9,62.9,61.9,61.9,3700
2015-06-26,61.9,61.9,61.9,61.9,100
2015-06-29,60.92,60.92,60.8,60.8,300
2015-06-30,61.33,61.4,60.33,60.9,1815500
2015-07-01,60.74,62.4,60.63,62.4,192400
2015-07-02,63.0,65.0,62.4,64.99,1744987
2015-07-06,65.12,66.4,62.99,63.75,2092257
2015-07-07,63.91,63.99,61.54,62.47,3053125
2015-07-08,62.5,63.9,59.5,59.71,3784289
2015-07-09,59.5,60.93,58.51,59.51,2284226
2015-07-10,59.97,61.6,59.4,61.4,2237703
2015-07-13,62.04,62.25,61.61,62.12,1248987
2015-07-14,62.1,63.05,61.44,62.19,994808
2015-07-15,62.25,62.93,61.13,61.62,1209854
2015-07-16,61.7,63.68,61.536,62.32,1365863
2015-07-17,62.62,63.25,61.64,61.75,1213162
2015-07-20,62.0,62.93,61.5,61.55,1977775
2015-07-21,61.84,62.86,59.62,59.85,1808280
2015-07-22,60.35,61.14,59.57,60.14,900133
2015-07-23,59.77,60.78,59.35,59.85,1124672
2015-07-24,59.55,59.95,57.66,58.91,1154608
2015-07-27,58.45,59.42,57.865,58.19,1255150
2015-07-28,58.52,59.75,57.49,59.34,1636666
2015-07-29,58.88,59.73,58.08,59.39,1790204
2015-07-30,61.36,63.19,61.04,62.83,3530135
2015-07-31,61.5,63.75,61.16,63.06,1624924
2015-08-03,63.37,64.74,62.39,63.17,2128045
2015-08-04,62.25,63.45,62.24,62.57,702962
2015-08-05,63.29,63.96,62.22,62.75,1495186
2015-08-06,62.0,62.5,60.48,61.74,2536887
2015-08-07,61.68,62.61,60.98,62.56,2060919
2015-08-10,62.99,63.5,61.9,62.98,1424070
2015-08-11,64.0,64.0,61.71,63.4,1727206
2015-08-12,63.4,63.87,61.71,63.31,1396295
2015-08-13,63.26,63.7975,62.35,63.13,844266
2015-08-14,63.13,63.81,61.959,63.23,938717
2015-08-17,62.63,63.41,62.63,63.34,714354
2015-08-18,63.02,63.58,62.91,63.16,806543
2015-08-19,62.98,63.29,62.07,62.07,1078040
2015-08-20,61.75,61.75,60.38,60.68,1297576
2015-08-21,60.22,60.265,58.63,59.01,1959044
2015-08-24,56.66,60.29,53.48,56.46,2146015
2015-08-25,58.3,58.37,55.01,55.5,2348724
2015-08-26,57.13,57.94,55.15,56.45,1860463
2015-08-27,57.86,59.25,57.74,59.22,1874589
2015-08-28,59.23,60.42,59.22,60.26,1508710
2015-08-31,60.1,60.23,58.64,59.35,1681708
2015-09-01,58.89,59.12,57.66,58.43,1851549
2015-09-02,59.34,59.44,57.45,58.17,1237808
2015-09-03,58.35,59.64,58.18,58.72,1106028
2015-09-04,57.26,58.33,57.25,57.35,821081
2015-09-08,58.14,58.68,57.69,58.6,625521
2015-09-09,59.0,60.06,58.13,58.25,1079371
2015-09-10,58.13,59.41,58.03,58.74,1662988
2015-09-11,58.5,59.78,58.02,58.75,1032846
2015-09-14,58.75,59.62,57.55,59.58,1485322
2015-09-15,62.99,62.99,58.67,59.68,1422948
2015-09-16,59.23,59.23,57.01,58.79,1964997
2015-09-17,58.68,59.18,57.38,57.73,1228568
2015-09-18,56.97,57.33,55.6,55.7,2215412
2015-09-21,57.68,57.68,55.49,55.86,1649264
2015-09-22,56.99,56.99,53.45,53.94,1991919
2015-09-23,53.83,55.02,52.58,52.79,1841632
2015-09-24,51.01,52.45,50.5,52.31,2477608
2015-09-25,52.57,52.78,51.67,51.95,1469232
2015-09-28,51.36,51.92,49.9,49.97,1764772
2015-09-29,49.38,51.27,48.8,50.57,1774599
2015-09-30,54.76,54.76,50.62,51.44,1582963
2015-10-01,55.22,56.05,51.09,52.0,2199753
2015-10-02,49.99,53.05,49.99,53.01,1927921
2015-10-05,53.4,54.38,53.11,54.1,1544706
2015-10-06,54.36,55.05,53.97,54.31,2165271
2015-10-07,51.54,54.83,51.54,54.06,2463152
2015-10-08,53.92,54.64,53.56,54.19,1810711
2015-10-09,55.01,57.72,55.01,57.57,3475499
2015-10-12,57.53,57.59,55.48,56.33,1297338
2015-10-13,55.66,56.8,55.45,55.54,1768995
2015-10-14,55.58,56.19,55.28,55.76,1020990
2015-10-15,55.57,56.13,54.95,56.01,877067
2015-10-16,57.85,57.85,54.76,55.79,1397040
2015-10-19,55.19,55.729,53.6616,54.27,1440255
2015-10-20,53.84,54.4399,51.36,53.76,1125935
2015-10-21,54.2,54.2,51.75,52.57,1562911
2015-10-22,53.17,53.76,51.93,52.5,1879332
2015-10-23,52.69,53.71,52.64,53.37,1502294
2015-10-26,53.3,53.355,52.19,53.26,1164100
2015-10-27,52.79,53.31,52.17,53.07,1021770
2015-10-28,54.8,54.92,52.96,54.41,1828714
2015-10-29,52.71,54.83,52.02,54.06,1101222
2015-10-30,54.11,54.56,53.76,53.76,1046013
2015-11-02,53.56,54.65,53.52,54.1,1169850
2015-11-03,51.02,53.82,51.02,53.22,1388184
2015-11-04,54.84,54.84,53.12,53.25,1021852
2015-11-05,49.98,52.59,48.2,51.38,3935048
2015-11-06,50.92,53.73,50.92,53.66,1404944
2015-11-09,51.13,54.09,51.12,51.9,1477481
2015-11-10,52.59,52.59,50.33,51.33,1202625
2015-11-11,50.44,51.9499,50.44,51.56,801704
2015-11-12,50.4,50.92,49.24,49.27,1346459
2015-11-13,48.92,49.98,48.43,48.55,1641965
2015-11-16,48.6,48.745,47.65,47.93,2369737
2015-11-17,46.29,49.04,46.29,47.75,2299688
2015-11-18,47.64,49.62,47.64,49.57,1771495
2015-11-19,49.29,50.5,48.98,50.18,1538448
2015-11-20,50.36,50.7,49.84,50.11,986829
2015-11-23,49.11,50.89,49.11,50.4,1194504
2015-11-24,52.62,52.62,50.04,50.5,1721667
2015-11-25,49.93,51.02,48.99,50.28,926120
2015-11-27,50.12,50.68,49.9907,50.41,289048
2015-11-30,52.1,52.1,50.52,50.63,1460819
2015-12-01,50.78,51.72,50.4,51.02,1056317
2015-12-02,49.77,51.57,49.77,50.37,1084265
2015-12-03,52.1,52.1,50.01,50.53,1244232
2015-12-04,50.67,50.78,49.78,50.42,827737
2015-12-07,49.31,50.42,48.9,48.96,1541524
2015-12-08,48.86,49.18,47.98,48.0,1232173
2015-12-09,48.14,48.82,47.5,48.05,1529283
2015-12-10,47.03,48.34,46.5,46.91,3138895
2015-12-11,46.18,46.98,45.61,45.76,1569255
2015-12-14,45.65,45.93,43.9,44.15,2077936
2015-12-15,44.67,45.562,43.55,43.57,3263628
2015-12-16,44.01,45.01,42.75,44.92,3985499
2015-12-17,44.79,45.29,44.42,44.87,3345609
2015-12-18,44.98,45.382,44.04,44.09,4951264
2015-12-21,44.25,44.85,44.02,44.48,3419447
2015-12-22,44.54,44.76,43.325,44.04,2501617
2015-12-23,44.46,45.625,44.07,45.51,1720045
2015-12-24,45.69,46.11,45.29,45.51,442078
2015-12-28,45.41,45.66,44.9101,45.63,943502
2015-12-29,45.94,46.3,45.68,45.87,881896
2015-12-30,45.71,46.075,45.5201,45.76,1051118
2015-12-31,45.45,46.355,45.4,45.62,972200
2016-01-04,44.81,45.53,44.3949,45.52,1646254
2016-01-05,45.57,45.705,45.24,45.49,1566922
2016-01-06,44.7,44.895,44.0,44.23,1378315
2016-01-07,43.32,44.58,43.15,43.79,1994407
2016-01-08,43.54,43.67,41.74,41.93,2958780
2016-01-11,42.07,42.2,39.41,39.76,3725662
2016-01-12,40.02,40.44,37.9,38.35,3538004
2016-01-13,37.92,40.02,37.89,37.96,4673555
2016-01-14,38.14,38.93,37.42,38.5,1770883
2016-01-15,37.55,38.16,36.9,37.05,2434447
2016-01-19,37.44,37.58,36.218,36.46,2377798
2016-01-20,35.88,36.77,34.52,36.05,2680409
2016-01-21,36.23,37.36,35.78,36.41,1647912
2016-01-22,37.25,38.18,36.91,37.74,1873201
2016-01-25,34.07,34.19,31.53,32.11,8386684
2016-01-26,32.4,32.94,31.86,32.08,2887274
2016-01-27,31.73,33.7099,31.73,32.6,2064444
2016-01-28,32.8,33.3,31.63,31.65,2466838
2016-01-29,31.86,35.41,31.7,35.28,5158792
2016-02-01,34.79,35.26,33.4,35.01,3585805
2016-02-02,34.14,34.39,33.32,33.36,3029772
2016-02-03,33.95,34.31,32.89,33.31,3747026
2016-02-04,33.13,34.55,33.11,34.43,3319042
2016-02-05,34.21,34.86,33.3,33.4,1402320
2016-02-08,33.2,33.39,31.8,32.19,2066269
2016-02-09,31.67,32.927,31.63,32.69,3128848
2016-02-10,31.63,33.15,31.29,31.35,3092819
2016-02-11,30.82,31.3,29.73,29.94,2988264
2016-02-12,30.38,31.09,30.12,31.03,2271281
2016-02-16,31.5,31.69,30.6903,31.51,2352671
2016-02-17,32.07,33.12,31.71,32.71,2006866
2016-02-18,32.85,33.16,32.0,32.73,1989132
2016-02-19,31.67,32.49,30.56,31.56,3522612
2016-02-22,32.97,32.97,31.76,32.35,1492379
2016-02-23,32.17,32.68,31.93,32.58,1446714
2016-02-24,32.01,32.63,31.66,32.31,1663941
2016-02-25,32.56,32.99,31.84,32.42,1435968
2016-02-26,32.54,34.093,32.19,33.56,2113596
2016-02-29,32.54,35.19,32.54,33.77,2816120
2016-03-01,34.18,35.415,33.98,35.4,1932642
2016-03-02,35.2,36.98,35.07,36.9,2884122
2016-03-03,36.73,37.83,36.73,37.68,2447455
2016-03-04,37.91,38.0,36.23,36.76,3203757
2016-03-07,36.64,37.19,35.63,36.24,2099353
2016-03-08,35.84,36.135,34.66,35.36,2393392
2016-03-09,35.65,36.04,35.28,35.6,2395293
2016-03-10,35.64,35.92,34.56,35.04,1716136
2016-03-11,35.53,36.99,35.165,36.96,1555194
2016-03-14,36.3,38.41,36.3,38.02,2476718
2016-03-15,37.93,37.93,36.4,37.02,1277932
2016-03-16,37.05,38.25,36.605,37.99,2021710
2016-03-17,37.75,39.59,37.75,39.39,2604935
2016-03-18,39.5,39.9,38.29,39.43,8024556
2016-03-21,39.27,40.647,39.27,40.11,2768376
2016-03-22,39.68,40.44,39.52,40.19,2172964
2016-03-23,39.86,40.12,39.03,39.2,1255647
2016-03-24,38.63,38.74,38.15,38.53,1519127
2016-03-28,38.66,38.76,38.05,38.46,1116612
2016-03-29,38.09,38.98,37.4,38.96,1378286
2016-03-30,38.99,39.32,37.5,38.25,1509728
2016-03-31,38.16,39.07,38.08,39.03,2292068
2016-04-01,38.78,39.48,38.46,39.2,1975259
2016-04-04,39.0,39.39,37.78,37.84,1351319
2016-04-05,37.47,37.65,36.19,36.47,1503686
2016-04-06,36.39,37.37,36.39,37.35,1355102
2016-04-07,36.94,37.45,36.785,37.0,1816216
2016-04-08,35.52,37.4,35.52,37.19,1877984
2016-04-11,37.59,38.06,37.03,37.23,1039877
2016-04-12,37.21,38.05,36.96,37.94,1543639
2016-04-13,38.23,39.15,38.09,39.11,1352569
2016-04-14,39.2,39.2,38.04,38.31,1500186
2016-04-15,38.12,38.98,38.12,38.62,1760421
2016-04-18,38.06,39.01,38.06,39.01,1380363
2016-04-19,39.25,40.31,39.21,39.79,1680250
2016-04-20,39.79,40.07,39.425,39.55,1455749
2016-04-21,39.41,40.18,39.35,39.41,1647061
2016-04-22,38.84,40.97,38.84,40.74,2868999
2016-04-25,40.25,40.5,38.97,39.74,1776866
2016-04-26,39.73,40.92,39.73,40.8,2161450
2016-04-27,40.73,41.88,40.66,41.63,2021620
