,open,high,low,close,volume
2000-01-03,38.56,38.56,37.06,37.31,545200
2000-01-04,37.0,37.5,36.0,36.56,595800
2000-01-05,36.75,36.88,36.56,36.81,834400
2000-01-06,36.5,36.81,36.38,36.44,709500
2000-01-07,36.44,36.5,35.38,35.63,1089800
2000-01-10,35.56,37.5,35.5,37.06,994100
2000-01-11,36.75,37.5,36.31,36.81,759300
2000-01-12,37.0,37.5,36.44,36.44,1766400
2000-01-13,36.88,37.94,36.75,37.0,992600
2000-01-14,37.0,37.06,35.81,36.0,573000
2000-01-18,35.5,35.75,34.63,34.94,1347500
2000-01-19,34.69,34.75,33.38,33.63,1749400
2000-01-20,33.44,33.44,31.69,31.81,1624600
2000-01-21,31.81,32.19,31.75,31.88,1289900
2000-01-24,32.13,32.38,31.06,31.19,1003100
2000-01-25,31.19,31.19,29.63,30.38,1308600
2000-01-26,30.38,30.56,30.0,30.06,817600
2000-01-27,30.13,30.56,30.0,30.13,975500
2000-01-28,30.38,30.38,28.75,28.88,708600
2000-01-31,29.25,29.38,28.5,28.63,508100
2000-02-01,29.38,32.25,29.38,30.75,2220900
2000-02-02,30.0,30.44,28.44,28.94,1844200
2000-02-03,29.31,29.88,29.13,29.69,744400
2000-02-04,29.69,29.75,29.31,29.63,783800
2000-02-07,29.44,30.0,29.0,29.44,759900
2000-02-08,29.44,29.94,29.38,29.88,782700
2000-02-09,29.56,31.0,29.06,30.0,968000
2000-02-10,30.0,30.69,26.94,28.5,3407700
2000-02-11,27.13,28.38,26.88,27.94,1376100
2000-02-14,28.38,28.38,27.5,28.06,923600
2000-02-15,27.88,28.56,27.06,28.38,860800
2000-02-16,28.25,28.63,27.69,27.94,359400
2000-02-17,28.25,29.94,27.75,29.38,944700
2000-02-18,29.0,29.0,27.94,28.0,775100
2000-02-22,28.19,28.19,26.25,27.0,860500
2000-02-23,27.13,27.5,26.81,26.81,317100
2000-02-24,26.56,26.56,25.81,26.0,768000
2000-02-25,26.0,26.19,25.75,25.88,624900
2000-02-28,25.94,26.63,25.25,25.69,586600
2000-02-29,26.06,27.0,26.0,26.63,737800
2000-03-01,26.56,28.44,26.56,28.19,915600
2000-03-02,28.06,28.13,27.31,27.69,512200
2000-03-03,28.19,28.19,26.0,26.13,859700
2000-03-06,26.63,27.94,26.13,27.69,572200
2000-03-07,27.0,27.19,26.25,26.44,665200
2000-03-08,26.5,26.88,26.0,26.44,488700
2000-03-09,26.69,28.13,26.5,27.94,626000
2000-03-10,27.88,28.25,27.5,27.75,448600
2000-03-13,27.31,28.13,27.25,27.5,466600
2000-03-14,27.56,27.56,26.31,26.5,811000
2000-03-15,26.75,29.0,26.44,28.5,1724700
2000-03-16,27.75,33.0,27.56,32.88,2112900
2000-03-17,32.88,32.88,31.25,31.25,1386100
2000-03-20,30.75,31.25,29.81,30.13,679000
2000-03-21,30.13,31.06,30.13,30.69,504300
2000-03-22,29.75,30.5,29.06,29.19,563200
2000-03-23,28.94,29.31,28.19,29.19,719000
2000-03-24,29.5,30.13,29.06,29.81,520700
2000-03-27,29.94,30.31,29.69,29.69,998900
2000-03-28,29.69,29.75,28.75,29.5,634700
2000-03-29,29.31,29.63,29.0,29.0,680000
2000-03-30,28.5,31.44,28.44,31.31,1242800
2000-03-31,31.06,32.0,30.06,31.06,689400
2000-04-03,31.19,31.44,29.5,30.31,698300
2000-04-04,30.81,32.63,30.31,31.19,1217200
2000-04-05,30.94,32.75,30.94,32.25,1020400
2000-04-06,32.25,32.25,31.25,31.56,1244900
2000-04-07,31.75,31.81,31.44,31.63,497100
2000-04-10,31.38,32.19,31.31,31.56,458200
2000-04-11,31.5,32.75,31.5,32.5,408300
2000-04-12,32.75,34.25,32.63,32.88,762100
2000-04-13,33.31,33.38,31.75,31.75,583500
2000-04-14,31.5,31.5,28.75,30.5,1225200
2000-04-17,29.63,31.88,29.63,30.31,754300
2000-04-18,30.13,30.75,30.0,30.25,279600
2000-04-19,30.06,30.63,29.56,29.63,375300
2000-04-20,29.38,32.38,29.38,32.06,654900
2000-04-24,31.19,33.13,31.19,33.06,905900
2000-04-25,32.94,33.31,32.06,33.25,600900
2000-04-26,33.13,35.13,33.0,34.44,1235500
2000-04-27,33.44,35.56,32.38,35.56,1931600
2000-04-28,35.56,35.56,33.19,33.88,788800
2000-05-01,33.94,34.19,33.56,33.69,671600
2000-05-02,33.63,34.38,33.63,33.81,685500
2000-05-03,33.44,33.94,32.06,33.19,441100
2000-05-04,33.0,33.5,30.25,31.06,885700
2000-05-05,31.56,32.75,31.06,32.31,485400
2000-05-08,32.0,32.19,31.13,31.38,406700
2000-05-09,31.38,31.56,30.69,31.56,675600
2000-05-10,31.44,31.88,31.38,31.63,517200
2000-05-11,31.88,32.88,31.88,32.38,433700
2000-05-12,32.31,32.44,31.0,31.25,467900
2000-05-15,31.25,31.88,30.81,30.88,374800
2000-05-16,31.0,33.38,30.94,32.38,754500
2000-05-17,32.0,32.81,31.5,32.19,335200
2000-05-18,32.25,33.0,32.13,32.38,446700
2000-05-19,32.75,32.75,30.75,30.88,653100
2000-05-22,31.0,31.06,30.5,30.88,553700
2000-05-23,31.0,32.0,30.94,31.69,628300
2000-05-24,31.75,32.81,31.75,32.75,710000
2000-05-25,32.5,33.25,31.19,31.25,875700
2000-05-26,31.13,31.94,30.5,30.69,772100
2000-05-30,30.5,30.63,29.06,29.88,1109900
2000-05-31,30.0,30.0,29.25,29.31,1293700
2000-06-01,29.25,30.0,29.25,29.88,365400
2000-06-02,29.81,30.69,29.81,30.38,514100
2000-06-05,30.13,30.19,29.63,29.88,585400
2000-06-06,29.75,30.0,29.63,29.63,559600
2000-06-07,29.63,29.75,29.13,29.25,557300
2000-06-08,29.31,30.0,28.88,29.81,641300
2000-06-09,29.81,30.25,29.25,29.38,929300
2000-06-12,29.38,29.44,28.69,28.69,493600
2000-06-13,28.63,28.69,28.13,28.19,588600
2000-06-14,28.25,28.38,28.0,28.13,776700
2000-06-15,28.0,29.13,28.0,28.5,959800
2000-06-16,28.25,28.69,28.0,28.13,962300
2000-06-19,28.06,28.63,28.06,28.19,698500
2000-06-20,28.25,28.44,27.0,27.0,3474300
2000-06-21,27.0,27.56,27.0,27.31,580600
2000-06-22,27.06,27.38,27.06,27.13,637200
2000-06-23,27.19,27.25,27.0,27.06,584000
2000-06-26,27.06,27.5,27.06,27.44,458600
2000-06-27,27.69,27.94,27.38,27.38,400300
2000-06-28,27.38,27.81,27.25,27.31,228400
2000-06-29,27.31,27.63,26.63,26.88,541300
2000-06-30,27.25,28.94,27.19,28.25,719600
2000-07-03,28.31,28.81,27.63,28.63,199500
2000-07-05,28.0,29.13,28.0,29.06,707800
2000-07-06,29.13,30.63,29.0,29.75,851000
2000-07-07,29.94,32.44,29.75,32.0,1047000
2000-07-10,31.63,31.69,30.88,31.44,553200
2000-07-11,31.13,31.94,31.13,31.38,455600
2000-07-12,31.5,31.5,30.25,30.38,583300
2000-07-13,30.38,30.38,28.88,28.88,866800
2000-07-14,28.88,29.63,27.88,29.19,887200
2000-07-17,28.38,29.0,28.38,28.78,917500
2000-07-18,28.75,28.94,27.5,27.5,1024700
2000-07-19,27.0,28.38,26.13,28.06,1298300
2000-07-20,28.25,29.25,27.63,27.81,934700
2000-07-21,27.88,27.88,26.94,26.94,913300
2000-07-24,26.81,27.06,26.5,26.5,869600
2000-07-25,26.5,26.63,26.0,26.06,579700
2000-07-26,26.06,26.13,25.31,25.38,1492000
2000-07-27,25.13,25.38,23.94,24.0,2484900
2000-07-28,24.0,24.0,23.56,23.75,1311500
2000-07-31,23.88,24.88,23.81,24.25,1049300
2000-08-01,24.25,26.06,24.25,25.81,707400
2000-08-02,25.63,27.5,25.63,27.44,924800
2000-08-03,27.0,27.5,26.88,27.44,535500
2000-08-04,27.5,28.31,27.5,27.75,1243100
2000-08-07,27.56,27.75,27.5,27.69,428500
2000-08-08,27.69,28.75,27.63,28.5,803200
2000-08-09,28.94,28.94,27.81,28.0,687600
2000-08-10,28.0,29.19,28.0,29.0,655300
2000-08-11,29.0,30.0,29.0,30.0,807700
2000-08-14,30.0,30.19,29.44,29.81,539300
2000-08-15,29.75,30.06,29.63,29.88,614700
2000-08-16,29.75,29.81,29.13,29.19,968200
2000-08-17,29.25,29.25,28.94,29.0,387000
2000-08-18,30.25,31.38,30.06,30.88,1427600
2000-08-21,31.38,32.5,31.31,32.38,1269000
2000-08-22,32.0,32.25,31.0,31.25,682100
2000-08-23,31.19,31.5,30.44,31.5,449700
2000-08-24,30.88,30.88,30.19,30.25,784800
2000-08-25,30.31,30.44,29.63,30.06,659800
2000-08-28,30.13,30.31,29.38,29.69,537500
2000-08-29,29.56,29.88,29.44,29.75,527500
2000-08-30,29.5,29.56,29.0,29.44,576200
2000-08-31,29.44,29.44,29.06,29.14,814900
2000-09-01,29.13,29.94,29.13,29.88,656400
2000-09-05,29.88,30.06,29.63,29.94,767800
2000-09-06,29.75,30.19,29.72,30.06,745800
2000-09-07,30.06,32.0,30.06,32.0,1261400
2000-09-08,32.0,32.0,30.69,31.19,643400
2000-09-11,31.06,31.56,30.94,31.06,1078300
2000-09-12,31.06,31.13,30.06,30.63,729500
2000-09-13,30.69,30.88,30.44,30.69,349800
2000-09-14,30.19,30.31,29.75,30.31,930100
2000-09-15,30.5,31.31,30.5,30.88,1275700
2000-09-18,30.75,30.81,30.19,30.25,401000
2000-09-19,29.75,30.19,29.06,29.13,726900
2000-09-20,28.56,29.25,28.56,29.19,439500
2000-09-21,29.0,29.81,28.75,29.63,498200
2000-09-22,29.56,30.25,28.69,29.13,405400
2000-09-25,28.88,30.0,28.88,29.69,390200
2000-09-26,29.75,29.94,29.5,29.69,449300
2000-09-27,29.25,29.44,28.81,29.19,351500
2000-09-28,29.19,29.81,29.19,29.69,621800
2000-09-29,29.63,31.06,29.63,30.63,646800
2000-10-02,30.69,30.94,30.5,30.81,646000
2000-10-03,30.75,31.13,29.25,29.56,557400
2000-10-04,29.56,30.81,29.5,30.0,399800
2000-10-05,30.13,31.13,30.0,31.13,949700
2000-10-06,31.06,31.69,29.56,29.94,626600
2000-10-09,29.94,30.69,29.88,30.5,291600
2000-10-10,30.69,30.69,29.88,30.13,320700
2000-10-11,30.13,30.5,29.69,29.81,408600
2000-10-12,29.94,29.94,26.69,26.69,1464700
2000-10-13,26.75,28.56,26.63,27.56,954500
