Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",102.09,0.070000000000007,+0.07%,102.35,100.65,2310001,10/30/20
AAL,"American Airlines Gp",11.28,0.12,+1.08%,11.41,10.98,51348301,10/30/20
AAP,"Advance Auto Parts Inc",147.28,1.28,+0.88%,147.4,144.6,821962,10/30/20
AAPL,"Apple Inc",108.86,-6.46,-5.60%,111.99,107.72,190573406,10/30/20
ABBV,"Abbvie Inc",85.1,4.43,+5.49%,86.14,83,18095146,10/30/20
ABC,"Amerisourcebergen Corp",96.07,1.48,+1.56%,96.48,94.03,1218750,10/30/20
ABMD,"Abiomed Inc",251.88,-2.73,-1.07%,258.18,242.73,426300,10/30/20
ABT,"Abbott Laboratories",105.11,0.11,+0.10%,105.55,103.13,4434640,10/30/20
ACN,"Accenture Plc",216.91,0.47,+0.22%,217.81,213.64,1972663,10/30/20
ADBE,"Adobe Systems Inc",447.1,-14.01,-3.04%,459.5,442.51,3128700,10/30/20
ADI,"Analog Devices",118.53,0.05,+0.04%,118.66,116.33,3099100,10/30/20
ADM,"Archer Daniels Midland",46.24,-3.68,-7.37%,49.58,45.68,6630166,10/30/20
ADP,"Automatic Data Procs",157.96,-0.23,-0.15%,159.42,155.79,2894600,10/30/20
ADSK,"Autodesk Inc",235.54,-7.3,-3.01%,241.5,233.32,1514600,10/30/20
AEE,"Ameren Corp",81.12,-0.22,-0.27%,82.23,80.37,1330350,10/30/20
AEP,"American Electric Power Company",89.93,-0.61,-0.67%,91.14,88.75,2415000,10/30/20
AES,"The Aes Corp",19.5,-0.030000000000001,-0.15%,19.81,19.31,5949754,10/30/20
AFL,"Aflac Inc",33.95,-0.27,-0.79%,34.42,33.37,5321251,10/30/20
AIG,"American International Group",31.49,0.2,+0.64%,31.76,30.77,6373919,10/30/20
AIV,"Apartment Investment and Management",31.9,1.06,+3.44%,32.31,30.81,3220536,10/30/20
AIZ,"Assurant Inc",124.37,-0.83,-0.66%,125.81,122.92,286286,10/30/20
AJG,"Arthur J. Gallagher & Company",103.71,0.70999999999999,+0.69%,105.36,102.03,1528007,10/30/20
AKAM,"Akamai Technologies",95.12,-0.7,-0.73%,96.64,94.12,2692100,10/30/20
ALB,"Albemarle Corp",93.21,-0.56,-0.60%,94.06,90.86,1275018,10/30/20
ALGN,"Align Technology",426.08,-10.49,-2.40%,435.9,417.36,767400,10/30/20
ALK,"Alaska Air Group",37.89,1.11,+3.02%,37.95,36.26,2886606,10/30/20
ALL,"Allstate Corp",88.75,0.16,+0.18%,89.4,87.7,1796409,10/30/20
ALLE,"Allegion Plc",98.5,0.39,+0.40%,98.57,95.8,912168,10/30/20
ALXN,"Alexion Pharm Inc",115.14,-3.07,-2.60%,117.23,113.24,1820200,10/30/20
AMAT,"Applied Materials",59.23,-0.27,-0.45%,59.28,58.26,7338600,10/30/20
AMCR,"Amcor Plc",10.43,-0.07,-0.67%,10.55,10.31,7502014,10/30/20
AMD,"Adv Micro Devices",75.29,-2.73,-3.50%,77.7,74.23,51426098,10/30/20
AME,"Amtek Inc",98.2,-0.70999999999999,-0.72%,99.25,96.86,981942,10/30/20
AMGN,"Amgen Inc",216.94,-0.88,-0.40%,217.27,213.96,3262700,10/30/20
AMP,"Ameriprise Financial Services",160.83,-0.28,-0.17%,161.49,157.83,656261,10/30/20
AMT,"American Tower Corp",229.65,-2,-0.86%,232.5,226.5,1621440,10/30/20
AMZN,"Amazon.com Inc",3036.15,-174.86,-5.45%,3167,3019,8396000,10/30/20
ANET,"Arista Networks Inc",208.9,5.74,+2.83%,212.69,200.35,1661324,10/30/20
ANSS,"Ansys Inc",304.37,-6.48,-2.08%,309.28,301.26,422600,10/30/20
ANTM,"Anthem Inc",272.8,-0.45999999999998,-0.17%,275.03,269.01,1567701,10/30/20
AON,"AON Plc",184.01,-2.79,-1.49%,188.61,180.56,3079695,10/30/20
AOS,"Smith [A.O.] Corp",51.69,-1.69,-3.17%,53.76,51.04,1448733,10/30/20
APA,"Apache Corp",8.3,0.11,+1.34%,8.3,7.96,11479700,10/30/20
APD,"Air Products and Chemicals",276.24,-0.52999999999997,-0.19%,278.05,271.67,827453,10/30/20
APH,"Amphenol Corp",112.84,-0.33,-0.29%,112.9,111.01,1109208,10/30/20
APTV,"Aptiv Plc",96.49,-1.83,-1.86%,99.41,95.72,2019812,10/30/20
ARE,"Alexandria Real Estate Equities",151.52,0.010000000000019,+0.01%,152.45,150.08,832813,10/30/20
ATO,"Atmos Energy Corp",91.67,-0.41,-0.45%,92.22,91.05,1482966,10/30/20
ATVI,"Activision Blizzard",75.73,-2.04,-2.62%,78.28,74.37,11979399,10/30/20
AVB,"Avalonbay Communities",139.13,3,+2.20%,140.09,135.28,1330504,10/30/20
AVGO,"Broadcom Ltd",349.63,-5.38,-1.52%,352.99,344.42,1853000,10/30/20
AVY,"Avery Dennison Corp",138.39,-1.42,-1.02%,140.29,136.68,550230,10/30/20
AWK,"American Water Works",150.51,-1.65,-1.08%,152.34,149.23,831779,10/30/20
AXP,"American Express Company",91.24,0.17,+0.19%,91.32,89.11,4736471,10/30/20
AZO,Autozone,1128.98,-0.77999999999997,-0.07%,1135.44,1115.35,198224,10/30/20
BA,"Boeing Company",144.39,-3.9,-2.63%,149.17,141.58,15392753,10/30/20
