,open,high,low,close,volume
2000-01-03,19.5,19.5,19.06,19.06,296400
2000-01-04,19.0,19.25,18.94,19.19,267900
2000-01-05,19.25,20.25,19.19,20.13,354200
2000-01-06,20.31,20.31,19.88,20.0,340200
2000-01-07,20.06,20.31,20.0,20.25,188100
2000-01-10,20.5,20.5,20.13,20.25,455700
2000-01-11,20.38,20.38,20.0,20.0,475300
2000-01-12,20.13,20.44,20.13,20.38,314200
2000-01-13,20.5,20.5,20.13,20.19,242600
2000-01-14,20.31,20.31,19.88,19.88,314400
2000-01-18,19.88,19.94,19.31,19.5,302600
2000-01-19,19.63,20.0,19.5,20.0,191000
2000-01-20,19.88,20.0,19.75,19.88,237600
2000-01-21,19.94,20.44,19.88,20.31,310400
2000-01-24,20.38,20.63,20.31,20.31,440400
2000-01-25,20.31,20.44,20.06,20.19,376200
2000-01-26,20.13,20.31,20.06,20.13,234300
2000-01-27,20.19,20.25,19.81,20.0,283300
2000-01-28,20.25,20.25,19.56,19.81,426100
2000-01-31,19.88,19.94,19.75,19.75,393400
2000-02-01,19.88,20.0,19.69,19.88,233700
2000-02-02,20.13,20.31,20.0,20.19,250600
2000-02-03,20.25,21.19,20.19,20.94,397900
2000-02-04,20.75,20.81,20.13,20.38,237100
2000-02-07,20.38,20.38,19.75,19.75,421000
2000-02-08,20.13,20.44,20.0,20.06,210400
2000-02-09,20.0,20.25,19.94,20.06,2794400
2000-02-10,19.63,19.94,19.13,19.31,537900
2000-02-11,19.38,19.5,18.81,18.88,446100
2000-02-14,18.94,19.0,18.88,19.0,303900
2000-02-15,19.0,19.0,18.88,18.88,291000
2000-02-16,18.81,18.88,18.75,18.81,197400
2000-02-17,18.88,18.94,18.69,18.88,222200
2000-02-18,18.75,18.88,18.44,18.69,171900
2000-02-22,18.81,18.81,18.56,18.56,248700
2000-02-23,18.63,18.63,18.25,18.44,259500
2000-02-24,18.44,18.5,17.44,17.63,440300
2000-02-25,17.5,17.69,17.38,17.5,592800
2000-02-28,17.5,17.75,17.31,17.69,686400
2000-02-29,17.75,17.81,17.56,17.69,373700
2000-03-01,17.69,17.75,17.38,17.38,257500
2000-03-02,17.69,17.94,17.56,17.88,262000
2000-03-03,17.88,17.94,17.63,17.69,264400
2000-03-06,17.69,17.75,17.0,17.06,430300
2000-03-07,17.06,17.31,17.06,17.13,443600
2000-03-08,17.31,17.38,16.81,16.81,622300
2000-03-09,16.88,17.31,16.88,17.19,309700
2000-03-10,17.19,17.31,17.0,17.13,231100
2000-03-13,17.19,17.25,17.0,17.19,213400
2000-03-14,17.19,17.44,17.06,17.31,282300
2000-03-15,17.44,18.38,17.38,18.0,378400
2000-03-16,18.5,19.5,18.38,19.19,489500
2000-03-17,18.94,19.31,18.56,19.0,335500
2000-03-20,19.06,19.25,19.0,19.0,160500
2000-03-21,19.06,19.19,19.0,19.13,222100
2000-03-22,19.06,19.13,18.06,18.44,630800
2000-03-23,18.56,18.75,18.5,18.75,367400
2000-03-24,18.75,18.94,18.63,18.63,173000
2000-03-27,18.56,18.88,18.56,18.75,262700
2000-03-28,18.81,18.94,18.56,18.81,248600
2000-03-29,19.0,19.31,19.0,19.31,327300
2000-03-30,19.38,19.94,19.38,19.63,313600
2000-03-31,19.81,19.94,19.56,19.94,403700
2000-04-03,19.94,20.13,19.81,20.13,453200
2000-04-04,20.0,20.56,20.0,20.19,456400
2000-04-05,20.25,20.88,20.13,20.44,271700
2000-04-06,20.5,20.75,20.13,20.31,208500
2000-04-07,20.06,20.31,19.88,20.06,172300
2000-04-10,20.06,20.44,19.81,20.38,202200
2000-04-11,20.44,20.63,20.31,20.56,243100
2000-04-12,20.63,21.25,20.56,20.94,237100
2000-04-13,20.63,21.5,20.63,21.44,243300
2000-04-14,21.5,21.63,20.75,20.88,215500
2000-04-17,20.88,21.25,20.44,21.25,289000
2000-04-18,21.31,21.31,20.94,21.25,175400
2000-04-19,21.13,21.19,20.5,21.06,307800
2000-04-20,21.06,21.13,20.75,20.88,536100
2000-04-24,20.94,21.81,20.88,21.56,296200
2000-04-25,21.56,22.56,21.56,22.44,400400
2000-04-26,22.5,22.94,22.44,22.81,308500
2000-04-27,22.5,22.56,21.69,21.81,520300
2000-04-28,21.75,21.75,21.25,21.38,306800
2000-05-01,21.38,21.5,21.06,21.5,336700
2000-05-02,21.19,21.25,20.25,20.31,893900
2000-05-03,20.44,20.56,20.19,20.5,404200
2000-05-04,20.5,20.81,20.31,20.81,466700
2000-05-05,20.81,20.81,20.19,20.25,371400
2000-05-08,20.5,21.31,20.38,21.0,429000
2000-05-09,21.19,21.25,20.88,21.25,2868400
2000-05-10,21.0,21.0,20.81,20.88,446200
2000-05-11,20.88,21.25,20.88,21.25,250000
2000-05-12,21.25,21.31,20.63,20.75,170200
2000-05-15,20.94,21.19,20.63,20.81,229100
2000-05-16,20.94,20.94,20.63,20.94,174700
2000-05-17,20.88,20.88,20.06,20.31,220300
2000-05-18,20.5,20.94,20.19,20.5,185500
2000-05-19,20.56,20.88,20.38,20.56,262900
2000-05-22,20.69,21.19,20.56,20.94,241300
2000-05-23,21.0,21.06,20.75,20.81,225300
2000-05-24,20.81,21.44,20.81,21.06,360000
2000-05-25,21.13,21.19,20.69,20.75,190800
2000-05-26,21.0,21.44,20.94,21.19,349800
2000-05-30,21.19,21.31,20.56,20.88,195200
2000-05-31,21.13,21.25,21.0,21.13,244600
2000-06-01,21.25,21.25,20.94,21.06,245000
2000-06-02,21.25,21.38,20.63,20.63,457800
