,open,high,low,close,volume
2000-01-03,4.25,4.25,4.0,4.0,17100
2000-01-04,4.0,4.0,3.938,4.0,39800
2000-01-05,3.938,4.063,3.938,4.0,30400
2000-01-06,3.938,4.125,3.938,4.0,27500
2000-01-07,3.938,4.0,3.875,3.938,84500
2000-01-10,3.938,4.125,3.938,4.0,54100
2000-01-11,3.875,3.938,3.875,3.938,52300
2000-01-12,3.875,3.938,3.875,3.875,15600
2000-01-13,3.875,4.063,3.875,3.938,31000
2000-01-14,3.938,4.0,3.938,4.0,36200
2000-01-18,4.0,4.063,3.938,4.063,20600
2000-01-19,4.0,4.063,3.938,4.063,28300
2000-01-20,4.063,4.063,4.0,4.0,32100
2000-01-21,4.0,4.0,3.938,3.938,40600
2000-01-24,3.938,4.0,3.688,3.688,104500
2000-01-25,3.75,3.75,3.438,3.5,357600
2000-01-26,3.438,3.625,3.375,3.5,74100
2000-01-27,3.5,3.625,3.375,3.5,108200
2000-01-28,3.438,3.5,3.375,3.438,126200
2000-01-31,3.5,3.75,3.375,3.625,226600
2000-02-01,3.625,3.75,3.563,3.688,91500
2000-02-02,3.625,3.813,3.625,3.75,39100
2000-02-03,3.688,3.875,3.625,3.688,175400
2000-02-04,3.625,3.625,3.5,3.5,125700
2000-02-07,3.75,3.813,3.563,3.688,40900
2000-02-08,3.625,3.813,3.375,3.5,62800
2000-02-09,3.5,3.563,3.5,3.5,60400
2000-02-10,3.5,3.5,3.438,3.438,124800
2000-02-11,3.375,3.438,3.188,3.25,125000
2000-02-14,3.25,3.25,3.125,3.188,65900
2000-02-15,3.125,3.188,3.125,3.188,68100
2000-02-16,3.125,3.313,3.125,3.313,63400
2000-02-17,3.25,3.438,3.25,3.313,41500
2000-02-18,3.375,3.375,3.313,3.313,12400
2000-02-22,3.313,3.375,3.313,3.313,25000
2000-02-23,3.313,3.313,3.313,3.313,9800
2000-02-24,3.313,3.375,3.25,3.313,29300
2000-02-25,3.25,3.5,3.25,3.375,101300
2000-02-28,3.375,3.438,3.375,3.438,14100
2000-02-29,3.438,3.563,3.375,3.375,624000
2000-03-01,3.375,3.5,3.313,3.313,218700
2000-03-02,3.313,3.375,3.313,3.375,96300
2000-03-03,3.438,3.688,3.438,3.563,60900
2000-03-06,3.438,3.625,3.313,3.563,42300
2000-03-07,3.5,3.625,3.375,3.5,303300
2000-03-08,3.5,3.5,3.375,3.375,21300
2000-03-09,3.375,3.375,3.125,3.25,141000
