,open,high,low,close,volume
2000-01-03,39.0,39.0,38.06,38.13,1036700
2000-01-04,38.13,39.13,37.75,39.06,1665400
2000-01-05,39.5,40.69,39.5,40.38,3203300
2000-01-06,40.63,41.13,40.31,40.56,2416800
2000-01-07,40.5,40.94,40.38,40.56,1667600
2000-01-10,41.0,41.0,40.5,40.56,1306200
2000-01-11,40.5,40.94,40.38,40.69,1188300
2000-01-12,40.69,41.63,40.69,41.0,1765000
2000-01-13,41.0,41.63,41.0,41.56,2410000
2000-01-14,41.69,41.75,41.38,41.63,1970400
2000-01-18,41.63,41.75,41.25,41.56,1155400
2000-01-19,41.94,42.5,41.75,42.25,1889900
2000-01-20,42.25,42.5,42.13,42.44,1549900
2000-01-21,42.44,42.63,42.25,42.31,2292100
2000-01-24,42.56,43.13,42.31,42.44,395000
2000-01-25,42.44,42.63,41.75,42.0,645000
2000-01-26,42.63,42.69,42.25,42.69,552800
2000-01-27,42.69,42.69,42.5,42.56,451500
2000-01-28,40.75,41.5,40.25,40.63,2766400
2000-01-31,40.88,41.75,40.69,41.75,1731000
2000-02-01,41.75,41.75,40.81,41.06,1136600
2000-02-02,41.13,41.44,40.88,41.38,667800
2000-02-03,42.25,42.44,41.88,41.94,3297400
2000-02-04,42.06,42.25,41.19,41.19,1842900
2000-02-07,41.38,41.5,40.75,40.88,1194100
2000-02-08,40.75,41.31,40.69,40.81,1492500
2000-02-09,40.88,40.94,40.56,40.69,1070500
2000-02-10,41.38,41.38,40.69,40.81,897100
2000-02-11,40.56,40.75,40.25,40.44,732500
2000-02-14,40.25,40.94,40.06,40.31,783800
2000-02-15,40.56,40.75,40.5,40.63,1225200
2000-02-16,40.75,40.81,40.56,40.69,1005900
2000-02-17,40.69,40.94,40.56,40.81,819200
2000-02-18,40.75,40.94,40.38,40.69,1121500
2000-02-22,40.63,40.69,40.44,40.63,904800
2000-02-23,40.31,40.56,39.0,39.0,1484800
2000-02-24,39.25,39.25,37.81,38.63,979200
2000-02-25,38.63,38.63,37.13,37.13,851800
2000-02-28,36.5,37.38,36.06,37.0,2315900
