,open,high,low,close,volume
2001-01-02,29.5,29.88,29.0,29.56,164000
2001-01-03,29.44,32.0,29.44,31.94,342900
2001-01-04,31.63,34.0,31.63,34.0,544900
2001-01-05,34.0,34.06,33.31,33.81,361800
2001-01-08,34.0,35.25,33.44,33.88,400100
2001-01-09,32.75,32.75,30.81,30.94,600800
2001-01-10,30.88,30.88,30.13,30.88,234200
2001-01-11,30.94,31.25,29.94,30.19,206700
2001-01-12,30.19,30.25,29.25,29.88,262100
2001-01-16,29.94,30.0,29.69,30.0,116300
2001-01-17,29.88,29.94,29.31,29.5,77700
2001-01-18,29.5,30.0,29.19,29.81,128200
2001-01-19,29.75,30.0,29.63,30.0,173700
2001-01-22,29.75,30.44,29.5,30.31,124500
2001-01-23,30.31,32.19,30.13,32.19,275800
2001-01-24,32.06,32.38,30.5,30.5,118500
2001-01-25,30.38,31.94,30.38,31.56,103200
2001-01-26,30.56,31.19,30.31,30.38,170500
2001-01-29,30.4,31.32,30.36,31.2,125100
2001-01-30,31.35,31.8,31.05,31.8,83300
2001-01-31,31.75,32.6,31.75,32.34,153600
2001-02-01,32.3,32.35,31.6,31.98,85700
2001-02-02,31.98,32.63,31.9,32.3,130100
2001-02-05,32.45,33.0,32.38,32.88,117800
2001-02-06,32.75,33.65,32.75,33.31,149400
2001-02-07,33.1,33.29,33.0,33.16,74400
2001-02-08,32.95,33.0,31.95,32.48,88100
2001-02-09,32.4,32.4,31.66,31.86,70800
2001-02-12,31.7,32.29,31.67,31.9,70800
2001-02-13,31.9,31.95,31.64,31.85,61100
2001-02-14,31.84,31.84,31.65,31.73,70300
2001-02-15,31.6,31.65,30.9,31.2,274500
2001-02-16,31.0,31.05,30.15,30.46,170000
2001-02-20,30.45,30.54,28.99,29.0,222400
2001-02-21,29.15,29.49,29.0,29.12,188200
2001-02-22,29.11,29.11,28.4,28.85,255900
2001-02-23,28.85,28.85,28.06,28.5,132600
2001-02-26,28.45,29.6,28.45,29.59,141500
2001-02-27,29.55,29.55,28.75,29.02,102900
2001-02-28,29.02,29.4,28.14,28.58,139100
2001-03-01,28.1,28.11,26.4,27.3,318800
2001-03-02,27.1,28.39,27.0,28.24,156000
2001-03-05,28.24,28.24,27.65,27.86,252700
2001-03-06,27.95,28.1,27.45,28.1,437200
2001-03-07,28.0,28.25,27.6,28.24,146400
2001-03-08,28.24,29.0,28.22,28.85,178200
2001-03-09,28.65,28.65,28.25,28.45,150300
2001-03-12,28.3,28.49,28.0,28.0,151800
2001-03-13,27.5,28.38,27.45,28.38,273000
2001-03-14,28.13,28.13,27.4,27.75,251300
2001-03-15,27.5,27.85,27.5,27.6,93900
2001-03-16,27.35,27.45,26.65,26.69,237900
2001-03-19,26.69,26.75,25.65,25.75,477000
2001-03-20,26.0,26.15,25.9,25.96,282800
2001-03-21,25.75,26.0,25.3,25.48,131900
2001-03-22,25.5,25.5,24.4,25.05,130700
2001-03-23,25.3,25.55,25.15,25.55,213900
2001-03-26,25.35,26.51,25.34,26.3,309400
2001-03-27,26.5,26.5,25.7,26.15,199300
2001-03-28,26.15,26.15,25.4,25.82,85100
2001-03-29,25.82,26.26,25.23,25.45,125800
2001-03-30,25.25,25.87,25.25,25.7,139000
2001-04-02,25.7,25.85,25.04,25.25,242400
2001-04-03,25.1,25.18,24.75,25.11,211800
2001-04-04,25.11,25.6,24.9,25.49,180000
2001-04-05,25.7,26.0,25.45,25.95,114800
2001-04-06,25.75,25.75,24.96,25.1,140300
2001-04-09,25.15,25.61,24.6,25.02,185000
2001-04-10,25.1,26.53,25.0,26.21,125600
2001-04-11,26.4,26.4,25.55,26.1,102000
2001-04-12,26.0,26.3,25.4,26.05,107700
2001-04-16,26.2,26.4,25.85,26.12,107500
2001-04-17,26.2,26.65,26.03,26.55,99800
2001-04-18,26.87,28.19,26.7,27.1,182700
2001-04-19,27.7,28.2,26.65,27.99,229100
2001-04-20,27.9,27.9,26.8,27.37,75600
2001-04-23,27.12,27.2,26.6,27.0,274600
2001-04-24,26.95,26.97,26.7,26.82,106600
2001-04-25,26.82,27.25,26.76,26.99,154300
2001-04-26,26.95,27.9,26.87,27.5,268100
2001-04-27,27.51,28.5,27.51,28.29,146900
2001-04-30,28.29,28.92,28.15,28.15,143200
2001-05-01,28.16,28.16,27.91,27.94,108200
2001-05-02,27.94,28.31,27.8,28.19,119700
2001-05-03,28.2,28.52,27.46,28.4,88400
2001-05-04,28.4,28.63,28.0,28.62,133700
2001-05-07,28.62,29.4,28.6,29.0,155500
2001-05-08,28.85,29.0,28.2,28.7,125500
2001-05-09,28.9,29.45,28.63,28.65,64800
2001-05-10,29.0,29.0,28.52,28.77,46900
2001-05-11,28.78,28.78,28.09,28.47,77800
2001-05-14,28.46,28.62,28.25,28.57,36800
2001-05-15,28.57,28.57,27.15,27.49,251200
2001-05-16,27.5,28.0,27.45,27.94,103400
2001-05-17,28.1,28.7,28.09,28.7,152300
2001-05-18,28.5,28.98,28.48,28.6,65800
2001-05-21,28.7,28.9,28.63,28.79,48400
2001-05-22,28.79,29.5,28.66,29.47,157300
2001-05-23,29.48,29.5,28.75,28.88,90400
2001-05-24,28.65,28.88,28.25,28.6,61600
2001-05-25,28.6,28.8,28.36,28.77,65500
2001-05-29,28.7,29.1,28.18,28.9,74900
2001-05-30,28.91,28.91,28.26,28.43,53500
2001-05-31,28.6,28.85,28.3,28.73,67500
2001-06-01,28.6,28.6,27.96,28.02,119400
2001-06-04,27.9,28.2,27.9,28.09,44500
2001-06-05,28.0,28.36,27.7,28.26,162200
2001-06-06,28.2,28.27,28.01,28.02,58100
2001-06-07,27.85,28.1,27.85,27.95,96100
2001-06-08,27.95,28.23,27.85,27.98,111300
2001-06-11,27.9,28.05,27.89,27.89,75200
2001-06-12,27.75,27.8,27.16,27.3,70300
2001-06-13,27.25,27.81,27.25,27.71,44600
2001-06-14,27.67,27.68,27.49,27.49,112900
2001-06-15,27.25,27.45,26.82,26.82,109500
2001-06-18,27.05,27.29,26.8,27.16,63800
2001-06-19,27.05,27.1,26.54,26.66,103800
2001-06-20,26.45,26.45,26.0,26.16,136600
2001-06-21,26.0,26.53,25.95,26.3,135100
2001-06-22,26.3,26.63,26.05,26.44,68900
2001-06-25,27.75,27.75,25.8,25.83,272000
2001-06-26,25.4,26.36,25.4,26.26,119000
2001-06-27,26.27,27.55,26.27,27.46,147400
2001-06-28,27.46,28.15,27.44,27.82,178900
2001-06-29,27.75,28.9,27.7,28.9,155700
2001-07-02,28.65,29.05,28.4,28.8,149700
2001-07-03,28.75,28.94,28.56,28.68,50900
2001-07-05,28.55,28.7,28.3,28.65,67000
2001-07-06,28.65,28.65,28.13,28.2,85500
2001-07-09,28.2,29.0,28.15,28.6,87700
2001-07-10,29.1,29.81,29.05,29.3,242700
2001-07-11,29.25,29.6,29.1,29.4,153200
2001-07-12,29.42,29.99,29.32,29.98,186700
2001-07-13,29.85,30.73,29.75,30.73,125700
2001-07-16,30.73,31.5,30.73,31.31,380700
2001-07-17,31.31,31.5,31.25,31.32,226800
2001-07-18,31.25,31.31,30.52,30.61,307500
2001-07-19,30.8,31.63,30.7,30.8,336600
2001-07-20,30.8,32.1,30.72,31.55,258300
